,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
0,星辰大厦,松江-松江- 沪松公路1221号, 纯写字楼(甲级), , 0, 12元/m²•月,,,松江,松江,松江 松江 星辰大厦,31.0212440491,121.226791382
1,扬子江大厦,虹口-北外滩- 东长治路299弄, 纯写字楼(甲级), 2000 12, 25, ,,,虹口,北外滩,虹口 北外滩 扬子江大厦,31.2545566559,121.500801086
2,上企置业广场,徐汇-漕河泾- 虹梅路1123号, 纯写字楼(乙级), , 3, 12元/m²•月,,,徐汇,漕河泾,徐汇 漕河泾 上企置业广场,31.1658821106,121.409370422
3,外滩22号,黄浦-外滩- 中山东二路22号, 纯写字楼(甲级), 2000 1, 6, 40元/m²•月,,,黄浦,外滩,黄浦 外滩 外滩22号,31.2363853455,121.500480652
4,三林世博创意园,浦东-上南地区- 灵岩南路295号, 纯写字楼(乙级), 2011 1, 6, 20元/m²•月,,,浦东,上南地区,浦东 上南地区 三林世博创意园,31.161901474,121.502853394
5,瑅香广场,嘉定-嘉定城区- 双单路云谷路口, 纯写字楼(甲级), 2014 11, , ,3.55元/m²•天,,嘉定,嘉定城区,嘉定 嘉定城区 瑅香广场,31.3894863129,121.259674072
6,福克斯(银都)商务中心,闵行-莘庄- 春东路508号, 纯写字楼(乙级), , 4, 8元/m²•月,,,闵行,莘庄,闵行 莘庄 福克斯(银都)商务中心,31.1119861603,121.38520813
7,银历大厦,闸北-火车站- 虹口区河南北路485号, 纯写字楼(甲级), , 0, 12元/m²•月,3.04元/m²•天,,闸北,火车站,闸北 火车站 银历大厦,31.2553215027,121.486152649
8,昇PARK创意园,宝山-上海大学- 真大路520号, 纯写字楼(甲级), 2016 10, 5, 9元/m²•月,2.54元/m²•天,,宝山,上海大学,宝山 上海大学 昇PARK创意园,31.3027877808,121.414245605
9,51号商务园,徐汇-万体馆- 龙吴路51号, 纯写字楼(甲级), , 0, 12元/m²•月,,,徐汇,万体馆,徐汇 万体馆 51号商务园,31.1946277618,121.448524475
10,美森公馆,静安-曹家渡- 万航渡路858弄15号, 综合写字楼(甲级), 2012 12, 6, 15元/m²•月,,,静安,曹家渡,静安 曹家渡 美森公馆,31.2347450256,121.435371399
11,良友大厦,浦东-八佰伴- 商城路618号, 纯写字楼(甲级), 1997 1, 28, 24元/m²•月,4.56元/m²•天,18908元/m²,浦东,八佰伴,浦东 八佰伴 良友大厦,31.2360458374,121.524757385
12,上海嘉定工业区,嘉定-嘉定城区- 汇源路200号, 纯写字楼(丙级), 2010 1, 8, 2元/m²•月,,,嘉定,嘉定城区,嘉定 嘉定城区 上海嘉定工业区,31.3894863129,121.259674072
13,龙峰大厦,长宁-延安西路- 延安西路1566号, 纯写字楼(甲级), 2004 1, 20, 23元/m²•月,5.27元/m²•天,,长宁,延安西路,长宁 延安西路 龙峰大厦,31.2145252228,121.427154541
14,移动智地,青浦-青浦- 沪青平公路3938弄, 纯写字楼(甲级), , , ,,,青浦,青浦,青浦 青浦 移动智地,31.1538791656,121.180496216
15,天星城,长宁-中山公园- 凯旋路1669号, 纯写字楼(乙级), 1996 10, 7, 4.3元/m²•月,,,长宁,中山公园,长宁 中山公园 天星城,31.2278347015,121.426574707
16,张江国创中心,浦东-张江高科- 浦东新区张江丹桂路899号, 纯写字楼(甲级), 2017 04, 4, 18.8元/m²•月,4.06元/m²•天,,浦东,张江高科,浦东 张江高科 张江国创中心,31.2253074646,121.634056091
17,中铁中环时代广场,闸北-大宁绿地- 江场西路299弄, 纯写字楼(甲级), 2012 2, 16, 13.5元/m²•月,3.24元/m²•天,27365元/m²,闸北,大宁绿地,闸北 大宁绿地 中铁中环时代广场,31.3034992218,121.449134827
18,上海中电大楼,浦东-八佰伴- 南泉北路1029号, 纯写字楼(甲级), 1997 6, 18, 15元/m²•月,4.06元/m²•天,,浦东,八佰伴,浦东 八佰伴 上海中电大楼,31.234172821,121.522903442
19,御上海青橙,"松江-松江- 谷阳北路,近梅家浜路", 纯写字楼(甲级), 2017 12, 25, 4.8元/m²•月,1.57元/m²•天,,松江,松江,松江 松江 御上海青橙,31.0544147491,121.240638733
20,兰溪路,普陀-曹杨- 兰溪路200弄, 纯写字楼(甲级), 1980 06, 6, ,,,普陀,曹杨,普陀 曹杨 兰溪路,31.2449645996,121.412712097
21,佳信都市花园,长宁-延安西路- 延安西路1030弄, 纯写字楼(甲级), 1997 1, 8, 1.8元/m²•月,,,长宁,延安西路,长宁 延安西路 佳信都市花园,31.2176742554,121.438117981
22,国展388,浦东-上南地区- 国展路388号, 纯写字楼(甲级), , 3, 26元/m²•月,,,浦东,上南地区,浦东 上南地区 国展388,31.1841430664,121.482757568
23,金沙江商务广场,普陀-真如- 金沙江路2009弄, 纯写字楼(甲级), 2009 3, 13, 11元/m²•月,null,,普陀,真如,普陀 真如 金沙江商务广场,31.2373275757,121.405990601
24,中国煤炭大厦,浦东-竹园商贸区- 东方路899号, 酒店写字楼(甲级), 2001 1, 28, 24元/m²•月,5.07元/m²•天,,浦东,竹园商贸区,浦东 竹园商贸区 中国煤炭大厦,31.2290992737,121.535423279
25,御翠坊,浦东-世纪公园- 花木路1883弄, 纯写字楼(甲级), 2004 12, 3, 8元/m²•月,,,浦东,世纪公园,浦东 世纪公园 御翠坊,31.2208366394,121.570755005
26,徐汇商务大厦,徐汇-万体馆- 文定路199号, 纯写字楼(乙级), 2009 1, 21, 10元/m²•月,3.55元/m²•天,,徐汇,万体馆,徐汇 万体馆 徐汇商务大厦,31.1917362213,121.438873291
27,锦银创意园,嘉定-丰庄- 曹安公路1901号, 纯写字楼(乙级), , 4, ,,,嘉定,丰庄,嘉定 丰庄 锦银创意园,31.258234024,121.367530823
28,金牛大厦,浦东-北蔡/塘桥- 峨山路77号, 纯写字楼(乙级), 1997 10, 12, 6元/m²•月,4.26元/m²•天,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 金牛大厦,31.2208786011,121.539245605
29,寰启商务园,闵行-浦江- 闵行区江月路1188号, 纯写字楼(甲级), , 0, 6元/m²•月,1.62元/m²•天,,闵行,浦江,闵行 浦江 寰启商务园,31.0935382843,121.42502594
30,时亦创新园,闵行-颛桥- 沪光东路88号, 纯写字楼(甲级), 2015 12, 4, ,1.32元/m²•天,,闵行,颛桥,闵行 颛桥 时亦创新园,31.0740127563,121.407485962
31,福克斯（都庄）商务大厦,闵行-颛桥- 都庄路4226号, 纯写字楼(甲级), 2005 10, 5, 8元/m²•月,,,闵行,颛桥,闵行 颛桥 福克斯（都庄）商务大厦,31.0740127563,121.407485962
32,东海商业中心二期,黄浦-人民广场- 延安东路618号, 纯写字楼(甲级), 1997 1, 26, 25元/m²•月,4.56元/m²•天,27000元/m²,黄浦,人民广场,黄浦 人民广场 东海商业中心二期,31.2361907959,121.487030029
33,唐公馆,浦东-川沙- 春源路唐安路路口交汇处, 纯写字楼(甲级), , , ,,,浦东,川沙,浦东 川沙 唐公馆,31.2201957703,121.653945923
34,信达大厦,静安-静安寺- 北京西路1399号, 纯写字楼(乙级), 1998 1, 25, 25.2元/m²•月,4.06元/m²•天,,静安,静安寺,静安 静安寺 信达大厦,31.2337551117,121.455032349
35,莱茵•虹景中心,闵行-龙柏- 吴中路1439号, 纯写字楼(甲级), 2014 08, 10, 18元/m²•月,4.06元/m²•天,,闵行,龙柏,闵行 龙柏 莱茵•虹景中心,31.1775913239,121.380264282
36,立明大厦,徐汇-漕河泾- 桂箐路111号, 纯写字楼(乙级), 2008 10, 15, 6.9元/m²•月,3.55元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 立明大厦,31.1833553314,121.410484314
37,新城金郡,嘉定-嘉定城区- 嘉定临泽路89弄, 纯写字楼(甲级), 2011 10, 0, ,null,,嘉定,嘉定城区,嘉定 嘉定城区 新城金郡,31.3508777618,121.246780396
38,新平公寓,静安-静安寺- 延平路81弄, 纯写字楼(乙级), 2004 04, 28, ,null,,静安,静安寺,静安 静安寺 新平公寓,31.2344589233,121.447769165
39,怡富商务广场,杨浦-五角场- 黄兴路1725号, 纯写字楼(甲级), 2007 3, 26, 15元/m²•月,3.35元/m²•天,,杨浦,五角场,杨浦 五角场 怡富商务广场,31.2962226868,121.525932312
40,时尚谷创意园,松江-松江- 鼎源路618弄, 纯写字楼(甲级), , , ,0.91元/m²•天,10000元/m²,松江,松江,松江 松江 时尚谷创意园,31.0367221832,121.175331116
41,银龙大厦,长宁-中山公园- 延安西路1358号, 商业综合体楼(甲级), 2002 8, 8, 5元/m²•月,,,长宁,中山公园,长宁 中山公园 银龙大厦,31.2278347015,121.426574707
42,伯爵居,卢湾-打浦桥- 瑞金二路411号, 纯写字楼(甲级), , 20, ,5.58元/m²•天,,卢湾,打浦桥,卢湾 打浦桥 伯爵居,31.21301651,121.474136353
43,两岸新天地,上海周边-昆山- 花桥东城大道312国道交叉口, 纯写字楼(甲级), , 24, ,,,上海周边,昆山,上海周边 昆山 两岸新天地,31.3254585266,121.07270813
44,碧云国际,浦东-金桥开发区- 浙桥路278号, 纯写字楼(乙级), , 30, ,2.03元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 碧云国际,31.2581615448,121.607795715
45,绿地汇方广场,杨浦-平凉/杨浦外滩- 平凉路1318弄, 纯写字楼(甲级), 2017 12, 6, 5元/m²•月,4.36元/m²•天,,杨浦,平凉/杨浦外滩,杨浦 平凉/杨浦外滩 绿地汇方广场,31.3045101166,121.535713196
46,东渡国际嘉庭广场,普陀-长风商务区- 云岭东路391弄, 纯写字楼(甲级), 2017 10, 18, 18元/m²•月,4.06元/m²•天,26000元/m²,普陀,长风商务区,普陀 长风商务区 东渡国际嘉庭广场,31.2275276184,121.394172668
47,东方众鑫大厦,静安-南京西路- 南京西路699号, 纯写字楼(甲级), 2003 1, 31, 25元/m²•月,6.59元/m²•天,,静安,南京西路,静安 南京西路 东方众鑫大厦,31.2365608215,121.469810486
48,中国人寿保险大厦,黄浦-外滩- 福佑路8号, 纯写字楼(甲级), , 15, 30元/m²•月,6.59元/m²•天,,黄浦,外滩,黄浦 外滩 中国人寿保险大厦,31.2360496521,121.500724792
49,中华门大厦,徐汇-万体馆- 宜山路520号, 纯写字楼(乙级), 2000 12, 24, 5元/m²•月,3.04元/m²•天,,徐汇,万体馆,徐汇 万体馆 中华门大厦,31.1876735687,121.431785583
50,越界世博园,卢湾-淮海路/新天地- 半淞园路388号, 纯写字楼(甲级), 2016 10, 6, 34元/m²•月,6.49元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 越界世博园,31.2268238068,121.480873108
51,太阳广场,长宁-虹桥开发区- 上海长宁区仙霞路88号, 综合写字楼(丙级), 1995 1, 5, 21元/m²•月,null,,长宁,虹桥开发区,长宁 虹桥开发区 太阳广场,31.20195961,121.403488159
52,鸿海大厦,普陀-真如- 真北路2167号, 纯写字楼(甲级), , 27, 16元/m²•月,3.93元/m²•天,,普陀,真如,普陀 真如 鸿海大厦,31.2593193054,121.397712708
53,虹桥协信中心,闵行-华漕- 兴虹路108弄, 纯写字楼(甲级), , 4, 15元/m²•月,4.06元/m²•天,,闵行,华漕,闵行 华漕 虹桥协信中心,31.2090873718,121.321350098
54,上海明珠创意园,虹口-曲阳- 汶水东路291号, 纯写字楼(乙级), 2011 2, 6, 15元/m²•月,,,虹口,曲阳,虹口 曲阳 上海明珠创意园,31.2986049652,121.491706848
55,绿地滨江国际中心,徐汇-龙华- 龙华路1775号, 纯写字楼(甲级), 2011 , 30, 27元/m²•月,,,徐汇,龙华,徐汇 龙华 绿地滨江国际中心,31.1691513062,121.446235657
56,东华时尚创意园,长宁-中山公园- 延安西路1882号, 纯写字楼(甲级), 2011 06, 15, 18元/m²•月,4.06元/m²•天,,长宁,中山公园,长宁 中山公园 东华时尚创意园,31.2278347015,121.426574707
57,科技大厂文盛楼,宝山-上海大学- 沪太路1888号, 纯写字楼(甲级), , 0, 10元/m²•月,,,宝山,上海大学,宝山 上海大学 科技大厂文盛楼,31.3213233948,121.400016785
58,久富工业区,松江-九亭- 九新公路339号, 纯写字楼(乙级), , 3, ,,,松江,九亭,松江 九亭 久富工业区,31.1349163055,121.334281921
59,铜仁88,静安-南京西路- 静安区南京西路商圈铜仁路88号, 纯写字楼(甲级), 2016 5, 10, 15元/m²•月,5.41元/m²•天,,静安,南京西路,静安 南京西路 铜仁88,31.2344989777,121.46308136
60,春申创意园,闵行-春申/老闵行- 梅富路29号, 纯写字楼(甲级), , 5, 8元/m²•月,2.23元/m²•天,,闵行,春申/老闵行,闵行 春申/老闵行 春申创意园,31.1148395538,121.424858093
61,上海纺运物流商务中心,徐汇-龙华- 龙吴路410号, 纯写字楼(乙级), , 0, 15元/m²•月,3.45元/m²•天,,徐汇,龙华,徐汇 龙华 上海纺运物流商务中心,31.1650314331,121.458244324
62,中冶祥腾城市广场,嘉定-南翔- 真南路4368号, (乙级), 2011 4, 4, 1.75元/m²•月,,,嘉定,南翔,嘉定 南翔 中冶祥腾城市广场,31.3028926849,121.328529358
63,武宁881号创意园,静安-静安寺- 武定路881号, 纯写字楼(甲级), 2012 2, 6, 17元/m²•月,5.07元/m²•天,,静安,静安寺,静安 静安寺 武宁881号创意园,31.2297477722,121.451797485
64,宏基/创邑河,长宁-中山公园- 万航渡路2170号, 纯写字楼(乙级), , 5, 6.5元/m²•月,4.06元/m²•天,,长宁,中山公园,长宁 中山公园 宏基/创邑河,31.2179222107,121.423599243
65,江苏商务大厦,浦东-竹园商贸区- 东方路778号(张杨路和东方路交界处), 纯写字楼(甲级), 1997 12, 42, 26元/m²•月,,,浦东,竹园商贸区,浦东 竹园商贸区 江苏商务大厦,30.8843860626,121.40864563
66,莘庄产学研基地,闵行-莘庄- 莘凌路211号, 纯写字楼(甲级), 2011 5, 6, 9元/m²•月,4.24元/m²•天,,闵行,莘庄,闵行 莘庄 莘庄产学研基地,31.1119861603,121.38520813
67,法华门大厦,长宁-延安西路- 法华镇路555号, 纯写字楼(丙级), , 15, 4.8元/m²•月,2.64元/m²•天,,长宁,延安西路,长宁 延安西路 法华门大厦,31.2119922638,121.430351257
68,日樱路厂房,浦东-外高桥- 日樱路750号, 纯写字楼(甲级), , , ,,,浦东,外高桥,浦东 外高桥 日樱路厂房,31.3483295441,121.593742371
69,晶钢商务馆,宝山-罗店- 友谊路1508号, 综合写字楼(甲级), 2006 10, 14, 2元/m²•月,null,,宝山,罗店,宝山 罗店 晶钢商务馆,31.3994426727,121.462623596
70,微格创意园,闵行-莘庄- 金都西路418号, 纯写字楼(甲级), 2015 03, 3, 5元/m²•月,1.01元/m²•天,,闵行,莘庄,闵行 莘庄 微格创意园,31.1973152161,121.272193909
71,全华信息大楼,浦东-竹园商贸区- 福山路455号, 纯写字楼(乙级), 2000 4, 8, 30元/m²•月,5.58元/m²•天,,浦东,竹园商贸区,浦东 竹园商贸区 全华信息大楼,31.2368621826,121.35559845
72,福都商厦,黄浦-城隍庙- 人民路399号, 纯写字楼(乙级), 2009 5, 6, 3.8元/m²•月,,,黄浦,城隍庙,黄浦 城隍庙 福都商厦,31.2347564697,121.498329163
73,广兴大厦,闸北-火车站- 共和新路688弄2号楼, 纯写字楼(丙级), , 20, ,,,闸北,火车站,闸北 火车站 广兴大厦,31.2880439758,121.457771301
74,智慧园,闵行-莘庄- 莘松路380号, 纯写字楼(乙级), 2009 12, 12, 8元/m²•月,3.04元/m²•天,,闵行,莘庄,闵行 莘庄 智慧园,31.1832294464,121.406776428
75,德必WE静安文化创意园,静安-静安寺- 延平路135号, 纯写字楼(甲级), , 0, 18.2元/m²•月,7.1元/m²•天,,静安,静安寺,静安 静安寺 德必WE静安文化创意园,31.2297477722,121.451797485
76,中环滨江大厦,浦东-金桥开发区- 浦东大道2740号, 纯写字楼(乙级), 2008 6, 14, 4.5元/m²•月,1.47元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 中环滨江大厦,31.2725448608,121.578521729
77,远东国际大厦,浦东-北蔡/塘桥- 向城路80号, 纯写字楼(甲级), 1998 7, 31, 26元/m²•月,null,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 远东国际大厦,31.2297115326,121.538490295
78,光大会展中心D座,徐汇-漕河泾- 漕宝路80号, 纯写字楼(甲级), 2005 6, 30, 10元/m²•月,3.04元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 光大会展中心D座,31.1739501953,121.435333252
79,宝丰大厦,闸北-火车站- 共和新路340号, 纯写字楼(丙级), 1999 12, 20, 8元/m²•月,,,闸北,火车站,闸北 火车站 宝丰大厦,31.2552204132,121.469268799
80,华良创艺园,闵行-莘庄- 春申路2351号, 纯写字楼(甲级), , 0, 6元/m²•月,,,闵行,莘庄,闵行 莘庄 华良创艺园,31.1119861603,121.38520813
81,兴展大厦,闸北-闸北公园- 柳营路185号, 纯写字楼(乙级), 2002 3, 4, 2元/m²•月,,,闸北,闸北公园,闸北 闸北公园 兴展大厦,31.2764530182,121.473106384
82,兰村大厦,浦东-北蔡/塘桥- 东方路1381号, 纯写字楼(乙级), 1998 10, 28, 15元/m²•月,2.84元/m²•天,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 兰村大厦,31.2172737122,121.534996033
83,古树园商务楼,松江-松江- 沪松路211号, 纯写字楼(甲级), 2010 2, 26, 3.8元/m²•月,,,松江,松江,松江 松江 古树园商务楼,31.0304222107,121.247596741
84,冉东商务中心,徐汇-漕河泾- 合川路, 纯写字楼(乙级), , 5, 10元/m²•月,3.04元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 冉东商务中心,31.1743907928,121.390823364
85,士林华苑,黄浦-城隍庙- 河南南路555弄, 纯写字楼(甲级), 2007 12, 28, ,,,黄浦,城隍庙,黄浦 城隍庙 士林华苑,31.2267360687,121.498054504
86,城投控股大厦,虹口-北外滩- 吴淞路150号, 纯写字楼(甲级), 2011 11, 21, 30元/m²•月,6.08元/m²•天,,虹口,北外滩,虹口 北外滩 城投控股大厦,31.2522659302,121.496894836
87,绿地世纪城,虹口-北外滩- 宁夏路251号, 纯写字楼(乙级), 2006 6, 18, 3.8元/m²•月,,,虹口,北外滩,虹口 北外滩 绿地世纪城,31.252866745,121.50201416
88,星光耀广场,"普陀-真如- 潮州路,近礼尚路", 纯写字楼(甲级), 2017 1, 10, 5.5元/m²•月,3.55元/m²•天,,普陀,真如,普陀 真如 星光耀广场,31.2632408142,121.413108826
89,慧创国际,嘉定-江桥- 金沙江西路1555弄, 纯写字楼(甲级), 2008 3, 10, 6元/m²•月,2.2元/m²•天,,嘉定,江桥,嘉定 江桥 慧创国际,31.2458667755,121.336463928
90,欣怡小区,长宁-中山公园- 武夷路423弄1-12号, 纯写字楼(甲级), 1991 02, 4, ,,,长宁-中山公园, 武夷路423弄1,长宁-中山公园  武夷路423弄1 欣怡小区,31.2201843262,121.428588867
91,鑫桥创意园,浦东-金桥开发区- 云山路银山路口, 纯写字楼(甲级), , 5, 18元/m²•月,4.06元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 鑫桥创意园,31.2520370483,121.631591797
92,静安创展中心,静安-江宁路- 西康路928号, 纯写字楼(甲级), 2007 12, 11, 30元/m²•月,3.55元/m²•天,26960元/m²,静安,江宁路,静安 江宁路 静安创展中心,31.2457695007,121.449440002
93,泰德科技园,宝山-共富- 蕰川路516号（近泰和西路路口）, 纯写字楼(甲级), 2016 1, 11, 12元/m²•月,2.33元/m²•天,,宝山,共富,宝山 共富 泰德科技园,31.3595314026,121.439796448
94,力宝广场,卢湾-淮海路/新天地- 淮海中路222号, 纯写字楼(甲级), 1999 1, 39, 32元/m²•月,7.91元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 力宝广场,31.2301712036,121.482200623
95,中信虹港名庭,虹口-四川北路- 物华路118弄, 纯写字楼(甲级), 2012 10, 13, 3.2元/m²•月,,,虹口,四川北路,虹口 四川北路 中信虹港名庭,31.265668869,121.500457764
96,九久青年城二期,松江-九亭- 沪松公路1519号, 综合写字楼(甲级), 2012 9, 38, 3.9元/m²•月,null,,松江,九亭,松江 九亭 九久青年城二期,31.1444187164,121.327209473
97,复旦创业中心大厦二期,杨浦-五角场- 国定路315号, 纯写字楼(乙级), 2009 10, 24, 11元/m²•月,2.94元/m²•天,,杨浦,五角场,杨浦 五角场 复旦创业中心大厦二期,31.3028945923,121.515533447
98,上海科技京城大厦西座,黄浦-人民广场- 北京东路668号, 纯写字楼(甲级), 1998 1, 31, 23.2元/m²•月,3.04元/m²•天,20000元/m²,黄浦,人民广场,黄浦 人民广场 上海科技京城大厦西座,31.2447929382,121.484077454
99,开开广场,静安-曹家渡- 上海万行渡路888号, 纯写字楼(甲级), 1998 1, 30, 27元/m²•月,3.04元/m²•天,21822元/m²,静安,曹家渡,静安 曹家渡 开开广场,31.2345066071,121.435089111
100,汇鑫国际大厦,徐汇-徐家汇- 宜山路333号, 纯写字楼(甲级), 2010 12, 22, 26元/m²•月,4.56元/m²•天,30009元/m²,徐汇,徐家汇,徐汇 徐家汇 汇鑫国际大厦,31.1939678192,121.437164307
101,佳预信息科技大厦,松江-九亭- 上海市沪松公路1177号, 纯写字楼(甲级), 2011 9, 10, 15元/m²•月,3.04元/m²•天,,松江,九亭,松江 九亭 佳预信息科技大厦,31.1507205963,121.336013794
102,舜元产业园,长宁-北新泾- 天山西路799号, 纯写字楼(乙级), 2004 5, 6, 20元/m²•月,,,长宁,北新泾,长宁 北新泾 舜元产业园,31.2243690491,121.360481262
103,东方国际科技大厦,浦东-竹园商贸区- 向城路58号, 纯写字楼(甲级), , 20, 19.6元/m²•月,4.56元/m²•天,,浦东,竹园商贸区,浦东 竹园商贸区 东方国际科技大厦,31.2295227051,121.536804199
104,钦江大楼,徐汇-田林- 钦江路15号, 纯写字楼(乙级), 2008 9, 16, 1.5元/m²•月,,,徐汇,田林,徐汇 田林 钦江大楼,31.1691513062,121.446235657
105,绿地・国际设计广场,宝山-上海大学- 真陈路1188号, 纯写字楼(甲级), 2008 12, 16, 3元/m²•月,,,宝山,上海大学,宝山 上海大学 绿地・国际设计广场,31.3199462891,121.35874176
106,大班商务中心,徐汇-淮海西路- 东湖路20号, 纯写字楼(乙级), 1995 5, 7, 3元/m²•月,,,徐汇,淮海西路,徐汇 淮海西路 大班商务中心,31.2225284576,121.46131134
107,绿地和创大厦,普陀-曹杨- 曹杨路450号, 纯写字楼(甲级), 2007 5, 25, 21元/m²•月,4.66元/m²•天,29000元/m²,普陀,曹杨,普陀 曹杨 绿地和创大厦,31.2432403564,121.426589966
108,南利企业大楼,卢湾-淮海路/新天地- 雁荡路99-105号, 酒店写字楼(甲级), , 10, ,,,卢湾-淮海路/新天地, 雁荡路99,卢湾-淮海路/新天地  雁荡路99 南利企业大楼,31.2248516083,121.47668457
109,凯滨国际大厦,徐汇-龙华- 凯滨路199号, 纯写字楼(甲级), 2016 1, 18, 30元/m²•月,5.88元/m²•天,,徐汇,龙华,徐汇 龙华 凯滨国际大厦,31.1887931824,121.461250305
110,华盛国际商务花园,普陀-真如- 绥德路613弄1号～22号西区, 纯写字楼(甲级), 2004 6, 7, 1.8元/m²•月,2.92元/m²•天,11000元/m²,普陀,真如,普陀 真如 华盛国际商务花园,31.2697143555,121.377853394
111,国际鞋城商务中心,嘉定-江桥- 曹安公路1777号，1775号, 纯写字楼(甲级), 2006 8, 14, 4元/m²•月,,,嘉定,江桥,嘉定 江桥 国际鞋城商务中心,31.2618865967,121.361076355
112,上海国际汽车城大厦,嘉定-安亭- 墨玉南路888号, 纯写字楼(甲级), , , 18元/m²•月,2.44元/m²•天,,嘉定,安亭,嘉定 安亭 上海国际汽车城大厦,31.287733078,121.171577454
113,嘉兰大厦,虹口-四川北路- 四川北路2261、2263号, 纯写字楼(乙级), 1995 12, 24, 2元/m²•月,null,,虹口,四川北路,虹口 四川北路 嘉兰大厦,31.2743453979,121.488052368
114,康吉大厦,闸北-火车站- 天目西路290号, 纯写字楼(丙级), 2002 7, 22, 12元/m²•月,2.98元/m²•天,16360元/m²,闸北,火车站,闸北 火车站 康吉大厦,31.2518482208,121.461868286
115,齐来工业城大厦,徐汇-漕河泾- 宜山路899号, 纯写字楼(丙级), 1994 12, 6, 2.5元/m²•月,,,徐汇,漕河泾,徐汇 漕河泾 齐来工业城大厦,31.1765537262,121.411132812
116,惠德大厦,黄浦-老西门- 黄家阙路65号, 纯写字楼(甲级), 2004 8, 16, 5元/m²•月,,,黄浦,老西门,黄浦 老西门 惠德大厦,31.2214202881,121.49382782
117,绿亮松江科创园,松江-松江- 高技路655号, 纯写字楼(甲级), , 0, 5元/m²•月,1.42元/m²•天,,松江,松江,松江 松江 绿亮松江科创园,31.0212440491,121.226791382
118,徐汇大树下新媒体创意园,徐汇-龙华- 石龙路345弄28号, 纯写字楼(甲级), 2017 06, 6, 16元/m²•月,3.67元/m²•天,,徐汇,龙华,徐汇 龙华 徐汇大树下新媒体创意园,31.1600284576,121.454490662
119,文通商务中心,浦东-八佰伴- 浦东南路1630, 纯写字楼(甲级), , 0, 12元/m²•月,,,浦东,八佰伴,浦东 八佰伴 文通商务中心,31.234172821,121.522903442
120,创业家园,嘉定-江桥- 张掖路355号, 商业综合体楼(乙级), 2011 4, 25, 2元/m²•月,,,嘉定,江桥,嘉定 江桥 创业家园,31.2654533386,121.339477539
121,复旦软件园高境园,杨浦-新江湾城- 三门路561号, 纯写字楼(乙级), , 3, 10元/m²•月,2.54元/m²•天,,杨浦,新江湾城,杨浦 新江湾城 复旦软件园高境园,31.3450126648,121.50138092
122,康桥EONE,浦东-浦东外环- 康桥东路111号, 纯写字楼(甲级), 2017 8, 5, 15元/m²•月,2.5元/m²•天,27000元/m²,浦东,浦东外环,浦东 浦东外环 康桥EONE,30.8843860626,121.40864563
123,新理想大厦,闸北-火车站- 中兴路1500号, 纯写字楼(甲级), , 0, 30元/m²•月,5.95元/m²•天,,闸北,火车站,闸北 火车站 新理想大厦,31.2582416534,121.464393616
124,慧利商务大厦,浦东-浦东外环- 沪南公路3665号, 商业综合体楼(乙级), 2008 9, 10, 5元/m²•月,,,浦东,浦东外环,浦东 浦东外环 慧利商务大厦,31.1111946106,121.577011108
125,红石商务大楼,宝山-共富- 蕴川路512号, 纯写字楼(甲级), 2011 11, 10, 12元/m²•月,3.28元/m²•天,,宝山,共富,宝山 共富 红石商务大楼,31.3986225128,121.409042358
126,汤源科技园,闵行-春申/老闵行- 川路951号、953号, 纯写字楼(甲级), , , ,,,闵行,春申/老闵行,闵行 春申/老闵行 汤源科技园,31.0148181915,121.424430847
127,现代通信大厦,浦东-金桥开发区- 新金桥路201号, 纯写字楼(乙级), 2010 2, 11, 17.5元/m²•月,2.03元/m²•天,17000元/m²,浦东,金桥开发区,浦东 金桥开发区 现代通信大厦,31.2540187836,121.605308533
128,越界智汇园,宝山-共康- 呼兰路701号, 纯写字楼(甲级), , 4, 15元/m²•月,2.03元/m²•天,,宝山,共康,宝山 共康 越界智汇园,31.3496570587,121.448822021
129,汇景天地,卢湾-淮海路/新天地- 瞿溪路968号, 纯写字楼(甲级), , 6, ,,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 汇景天地,31.204957962,121.484718323
130,宝华国际广场,闸北-彭浦- 广中西路555号, 纯写字楼(甲级), 2011 3, 23, 25元/m²•月,5.07元/m²•天,,闸北,彭浦,闸北 彭浦 宝华国际广场,31.285484314,121.448936462
131,新虹桥中心大厦,长宁-虹桥开发区- 娄山关路83号, 纯写字楼(甲级), 1998 5, 36, 29元/m²•月,5.07元/m²•天,21007元/m²,长宁,虹桥开发区,长宁 虹桥开发区 新虹桥中心大厦,31.2101917267,121.409049988
