,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
1820,中关村虹桥创新中心,长宁-虹桥开发区- 临虹路金轮路路口, 纯写字楼(甲级), 2013 12, 9, 24元/m²•月,null,,长宁,虹桥开发区,长宁 虹桥开发区 中关村虹桥创新中心,31.2361564636,121.356636047
1821,创智空间康桥信息园区,"闵行-龙柏- 秀沿路,近周园路", 纯写字楼(甲级), 2017 10, 6, 10元/m²•月,,,闵行,龙柏,闵行 龙柏 创智空间康桥信息园区,31.159948349,121.570037842
1822,锦绣申江,浦东-金桥开发区- 锦绣东路2777弄, 纯写字楼(甲级), 2012 12, 12, 6元/m²•月,3.04元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 锦绣申江,31.2520370483,121.631591797
1823,申乐大厦,静安-静安寺- 愚园路300号, 纯写字楼(丙级), , 32, 3.5元/m²•月,,,静安,静安寺,静安 静安寺 申乐大厦,31.2301273346,121.449165344
1824,舜元财智中心,长宁-中山公园- 宣化路28号, 纯写字楼(甲级), 2008 1, 33, 25元/m²•月,,,长宁,中山公园,长宁 中山公园 舜元财智中心,31.2278347015,121.426574707
1825,财富金融广场,浦东-陆家嘴- 浦明路198号, 纯写字楼(甲级), , 4, ,,,浦东,陆家嘴,浦东 陆家嘴 财富金融广场,31.2343521118,121.512199402
1826,高腾大厦,黄浦-外滩- 福州路318号, 纯写字楼(甲级), 2006 1, 24, 28元/m²•月,,,黄浦,外滩,黄浦 外滩 高腾大厦,31.2403488159,121.490905762
1827,新弘国际城,松江-松江- 明中路1777弄, 纯写字楼(丙级), 2013 12, 11, 1.85元/m²•月,,,松江,松江,松江 松江 新弘国际城,31.0798797607,121.332679749
1828,创智良仓,浦东-张江高科- 康桥东路298号, 纯写字楼(甲级), 2015 1, 26, 2元/m²•月,3.65元/m²•天,,浦东,张江高科,浦东 张江高科 创智良仓,31.1570110321,121.609146118
1829,长清路高青路独幢办公别墅,浦东-三林- 长清路高青路交口, 纯写字楼(甲级), , , ,,,浦东,三林,浦东 三林 长清路高青路独幢办公别墅,31.1496887207,121.531303406
1830,凯硕广场,长宁-延安西路- 天山路1900号, 纯写字楼(乙级), 2012 12, 9, ,,,长宁,延安西路,长宁 延安西路 凯硕广场,31.2163734436,121.433296204
1831,盛大天地源创谷,浦东-张江高科- 华夏中路958弄, 纯写字楼(甲级), 2016 03, 3, 21元/m²•月,3.25元/m²•天,,浦东,张江高科,浦东 张江高科 盛大天地源创谷,31.2108249664,121.591850281
1832,宝名大厦,静安-曹家渡- 康定路988号, 纯写字楼(甲级), , , ,,,静安,曹家渡,静安 曹家渡 宝名大厦,31.2347450256,121.435371399
1833,鑫和大厦,静安-曹家渡- 武定路1135弄, 纯写字楼(乙级), 2003 6, 21, 10元/m²•月,,,静安,曹家渡,静安 曹家渡 鑫和大厦,31.2341651917,121.444885254
1834,浦江智谷商务园,闵行-浦江- 联航路1188号, 商业综合体楼(乙级), 2008 1, 4, 12元/m²•月,1.62元/m²•天,,闵行,浦江,闵行 浦江 浦江智谷商务园,29.526266098,119.910484314
1835,武康庭,徐汇-淮海西路- 武康路376号, 纯写字楼(甲级), , 5, 20元/m²•月,6.13元/m²•天,,徐汇,淮海西路,徐汇 淮海西路 武康庭,31.212846756,121.445449829
1836,上海理工科技楼,闵行-莘庄- 莘北路211号, 纯写字楼(乙级), 2003 5, 8, 12元/m²•月,,,闵行,莘庄,闵行 莘庄 上海理工科技楼,31.1119861603,121.38520813
1837,兆丰环球大厦,徐汇-万体馆- 中山西路1800号, 纯写字楼(甲级), 1998 5, 28, 20元/m²•月,5.21元/m²•天,25000元/m²,徐汇,万体馆,徐汇 万体馆 兆丰环球大厦,31.1896038055,121.430732727
1838,复华商业大厦,杨浦-五角场- 国顺路131弄10号, 纯写字楼(甲级), , 0, 19元/m²•月,3.14元/m²•天,,杨浦,五角场,杨浦 五角场 复华商业大厦,31.295841217,121.521728516
1839,万科广场,长宁-古北- 水城南路37号, 纯写字楼(乙级), 1995 5, 19, 10.5元/m²•月,,,长宁,古北,长宁 古北 万科广场,31.1995830536,121.400222778
1840,福龙大厦,虹口-临平/和平公园- 四平路273号, 综合写字楼(乙级), 2002 8, 25, 22元/m²•月,2.07元/m²•天,,虹口,临平/和平公园,虹口 临平/和平公园 福龙大厦,31.2763652802,121.509803772
1841,康定路独栋,静安-南京西路- 康定路623号, 纯写字楼(甲级), , , ,,,静安,南京西路,静安 南京西路 康定路独栋,31.2406349182,121.454780579
1842,同济联合广场B座,杨浦-控江- 彰武路63号, 纯写字楼(乙级), 2006 11, 22, 15元/m²•月,3.85元/m²•天,20000元/m²,杨浦,控江,杨浦 控江 同济联合广场B座,31.2878055573,121.513397217
1843,金山蓝色蔚蓝城,青浦-青浦- 金山区板桥东路1000号, 纯写字楼(甲级), , , ,,,青浦,青浦,青浦 青浦 金山蓝色蔚蓝城,30.7583560944,121.351112366
1844,康琳创意园二期,浦东-上南地区- 浦东新区杨高南路2877弄, 纯写字楼(甲级), , , ,,,浦东,上南地区,浦东 上南地区 康琳创意园二期,31.1820907593,121.526901245
1845,富容大厦,静安-江宁路- 江宁路838号(海防路口), 综合写字楼(乙级), 1997 5, 28, 1.9元/m²•月,5.3元/m²•天,,静安,江宁路,静安 江宁路 富容大厦,31.2464313507,121.454185486
1846,悦晟时代购物商场,闸北-闸北公园- 共和新路3230号, 纯写字楼(甲级), , , ,,,闸北,闸北公园,闸北 闸北公园 悦晟时代购物商场,31.3036594391,121.455154419
1847,华敏翰尊国际,长宁-延安西路- 延安西路726号，728号, 纯写字楼(甲级), 2004 7, 28, 25元/m²•月,4.87元/m²•天,30000元/m²,长宁,延安西路,长宁 延安西路 华敏翰尊国际,31.2219085693,121.440193176
