,Unnamed: 0,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
842,845,福兴大厦,浦东-八佰伴- 张杨路655号, 纯写字楼(乙级), 1998 5, 16, 20元/m²•月,4.26元/m²•天,23000元/m²,浦东,八佰伴,浦东 八佰伴 福兴大厦,31.2345066071,121.526077271
843,846,虹桥世家花园写字楼,长宁-中山公园- 中山西路179号, 纯写字楼(甲级), 1995 6, 12, 30元/m²•月,2.84元/m²•天,,长宁,中山公园,长宁 中山公园 虹桥世家花园写字楼,31.2255496979,121.417861938
844,847,绿地风尚天地,宝山-共康- 共康路5号, 纯写字楼(甲级), 2011 1, 28, 11元/m²•月,3.04元/m²•天,,宝山,共康,宝山 共康 绿地风尚天地,31.3279304504,121.45174408
846,849,钦江园,徐汇-漕河泾- 钦江路333号, 纯写字楼(乙级), 2010 5, 6, 3.3元/m²•月,4.06元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 钦江园,31.1830043793,121.417129517
850,853,汇银广场,徐汇-徐家汇- 华山路2018号, 商业综合体楼(甲级), 1998 12, 27, 7.5元/m²•月,4.06元/m²•天,,徐汇,徐家汇,徐汇 徐家汇 汇银广场,31.2039775848,121.443122864
853,856,沪办大厦,虹口-曲阳- 中山北一路1250号, 纯写字楼(乙级), 1997 6, 21, 3元/m²•月,2.52元/m²•天,11111元/m²,虹口,曲阳,虹口 曲阳 沪办大厦,31.2969799042,121.49622345
854,857,蓝天大厦,杨浦-五角场- 黄兴路2077号, 纯写字楼(甲级), 2008 5, 27, 24元/m²•月,3.85元/m²•天,21000元/m²,杨浦,五角场,杨浦 五角场 蓝天大厦,31.3036575317,121.522834778
862,865,虹桥良华购物广场,闵行-华漕- 申滨路宁虹路, 纯写字楼(甲级), 2011 7, 10, ,4.15元/m²•天,,闵行,华漕,闵行 华漕 虹桥良华购物广场,31.2157096863,121.314361572
864,867,大树下创意园,闵行-龙柏- 程家桥路168弄39号, 纯写字楼(甲级), , 0, 11.9元/m²•月,3.55元/m²•天,,闵行,龙柏,闵行 龙柏 大树下创意园,31.2548942566,121.455688477
865,868,晓富金融大厦,浦东-外高桥- 新兰路9号, 纯写字楼(甲级), , , ,3.65元/m²•天,,浦东,外高桥,浦东 外高桥 晓富金融大厦,31.3575534821,121.595787048
867,870,金钟大厦,徐汇-徐家汇- 肇嘉浜路680号, 纯写字楼(乙级), 1995 10, 9, 24元/m²•月,5.66元/m²•天,,徐汇,徐家汇,徐汇 徐家汇 金钟大厦,31.2059116364,121.455627441
868,871,天杉•易园,长宁-延安西路- 天山路1900号, 纯写字楼(甲级), 2012 11, 9, 25元/m²•月,4.87元/m²•天,,长宁,延安西路,长宁 延安西路 天杉•易园,31.2182369232,121.430404663
869,872,永旭商务中心,浦东-北蔡/塘桥- 杨高南路１６８５号, 纯写字楼(甲级), , 0, 7元/m²•月,3.04元/m²•天,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 永旭商务中心,31.20079422,121.53414917
870,873,百乐门大都会,静安-静安寺- 南京西路1728号, 纯写字楼(甲级), , 0, 30元/m²•月,5元/m²•天,,静安,静安寺,静安 静安寺 百乐门大都会,31.229057312,121.450958252
871,874,淮海中华大厦,黄浦-人民广场- 人民路885号－889号, 纯写字楼(乙级), 2003 3, 28, 8元/m²•月,3.65元/m²•天,28500元/m²,黄浦,人民广场,黄浦 人民广场 淮海中华大厦,31.2360095978,121.478942871
873,876,新意城,徐汇-漕河泾- 莲花路1978号, 纯写字楼(甲级), 2014 10, 16, 15元/m²•月,4.26元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 新意城,31.1762561798,121.399284363
877,880,中成智谷,宝山-淞南高境- 上海市宝山区长江路258号, 纯写字楼(甲级), 2016 2, , ,1.62元/m²•天,,宝山,淞南高境,宝山 淞南高境 中成智谷,31.3542785645,121.50214386
880,883,绿捷中心大厦,闵行-莘庄- 莘东路505号, 纯写字楼(甲级), , 0, 12元/m²•月,4.06元/m²•天,,闵行,莘庄,闵行 莘庄 绿捷中心大厦,31.1183815002,121.380119324
881,884,东方国信商务广场,长宁-虹桥开发区- 福泉北路388号, 纯写字楼(甲级), , 0, 21元/m²•月,5.07元/m²•天,,长宁,虹桥开发区,长宁 虹桥开发区 东方国信商务广场,31.20794487,121.411468506
882,885,汉中广场,闸北-火车站- 汉中路158号, 纯写字楼(甲级), 1992 12, 19, 30元/m²•月,3.07元/m²•天,19867元/m²,闸北,火车站,闸北 火车站 汉中广场,31.2485237122,121.464401245
883,886,世博宝钢大厦,浦东-世博- 浦东世博大道1859号, 纯写字楼(甲级), 2011 07, 24, 35元/m²•月,6.08元/m²•天,,浦东,世博,浦东 世博 世博宝钢大厦,31.2281970978,121.537574768
887,890,江山大厦,徐汇-衡山路/肇嘉浜- 肇嘉浜路1065号, 纯写字楼(甲级), 2005 2, 31, 26元/m²•月,1.72元/m²•天,,徐汇,衡山路/肇嘉浜,徐汇 衡山路/肇嘉浜 江山大厦,31.2006664276,121.447395325
889,892,五洲国际大厦,徐汇-徐家汇- 肇嘉浜路807号, 纯写字楼(甲级), 2000 12, 30, 6.5元/m²•月,3.65元/m²•天,,徐汇,徐家汇,徐汇 徐家汇 五洲国际大厦,31.204334259,121.454193115
