,Unnamed: 0,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
5,5,瑅香广场,嘉定-嘉定城区- 双单路云谷路口, 纯写字楼(甲级), 2014 11, , ,3.55元/m²•天,,嘉定,嘉定城区,嘉定 嘉定城区 瑅香广场,31.3894863129,121.259674072
7,7,银历大厦,闸北-火车站- 虹口区河南北路485号, 纯写字楼(甲级), , 0, 12元/m²•月,3.04元/m²•天,,闸北,火车站,闸北 火车站 银历大厦,31.2553215027,121.486152649
8,8,昇PARK创意园,宝山-上海大学- 真大路520号, 纯写字楼(甲级), 2016 10, 5, 9元/m²•月,2.54元/m²•天,,宝山,上海大学,宝山 上海大学 昇PARK创意园,31.3027877808,121.414245605
11,11,良友大厦,浦东-八佰伴- 商城路618号, 纯写字楼(甲级), 1997 1, 28, 24元/m²•月,4.56元/m²•天,18908元/m²,浦东,八佰伴,浦东 八佰伴 良友大厦,31.2360458374,121.524757385
13,13,龙峰大厦,长宁-延安西路- 延安西路1566号, 纯写字楼(甲级), 2004 1, 20, 23元/m²•月,5.27元/m²•天,,长宁,延安西路,长宁 延安西路 龙峰大厦,31.2145252228,121.427154541
16,16,张江国创中心,浦东-张江高科- 浦东新区张江丹桂路899号, 纯写字楼(甲级), 2017 04, 4, 18.8元/m²•月,4.06元/m²•天,,浦东,张江高科,浦东 张江高科 张江国创中心,31.2253074646,121.634056091
17,17,中铁中环时代广场,闸北-大宁绿地- 江场西路299弄, 纯写字楼(甲级), 2012 2, 16, 13.5元/m²•月,3.24元/m²•天,27365元/m²,闸北,大宁绿地,闸北 大宁绿地 中铁中环时代广场,31.3034992218,121.449134827
18,18,上海中电大楼,浦东-八佰伴- 南泉北路1029号, 纯写字楼(甲级), 1997 6, 18, 15元/m²•月,4.06元/m²•天,,浦东,八佰伴,浦东 八佰伴 上海中电大楼,31.234172821,121.522903442
19,19,御上海青橙,"松江-松江- 谷阳北路,近梅家浜路", 纯写字楼(甲级), 2017 12, 25, 4.8元/m²•月,1.57元/m²•天,,松江,松江,松江 松江 御上海青橙,31.0544147491,121.240638733
24,24,中国煤炭大厦,浦东-竹园商贸区- 东方路899号, 酒店写字楼(甲级), 2001 1, 28, 24元/m²•月,5.07元/m²•天,,浦东,竹园商贸区,浦东 竹园商贸区 中国煤炭大厦,31.2290992737,121.535423279
26,26,徐汇商务大厦,徐汇-万体馆- 文定路199号, 纯写字楼(乙级), 2009 1, 21, 10元/m²•月,3.55元/m²•天,,徐汇,万体馆,徐汇 万体馆 徐汇商务大厦,31.1917362213,121.438873291
28,28,金牛大厦,浦东-北蔡/塘桥- 峨山路77号, 纯写字楼(乙级), 1997 10, 12, 6元/m²•月,4.26元/m²•天,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 金牛大厦,31.2208786011,121.539245605
29,29,寰启商务园,闵行-浦江- 闵行区江月路1188号, 纯写字楼(甲级), , 0, 6元/m²•月,1.62元/m²•天,,闵行,浦江,闵行 浦江 寰启商务园,31.0935382843,121.42502594
30,30,时亦创新园,闵行-颛桥- 沪光东路88号, 纯写字楼(甲级), 2015 12, 4, ,1.32元/m²•天,,闵行,颛桥,闵行 颛桥 时亦创新园,31.0740127563,121.407485962
32,32,东海商业中心二期,黄浦-人民广场- 延安东路618号, 纯写字楼(甲级), 1997 1, 26, 25元/m²•月,4.56元/m²•天,27000元/m²,黄浦,人民广场,黄浦 人民广场 东海商业中心二期,31.2361907959,121.487030029
34,34,信达大厦,静安-静安寺- 北京西路1399号, 纯写字楼(乙级), 1998 1, 25, 25.2元/m²•月,4.06元/m²•天,,静安,静安寺,静安 静安寺 信达大厦,31.2337551117,121.455032349
35,35,莱茵•虹景中心,闵行-龙柏- 吴中路1439号, 纯写字楼(甲级), 2014 08, 10, 18元/m²•月,4.06元/m²•天,,闵行,龙柏,闵行 龙柏 莱茵•虹景中心,31.1775913239,121.380264282
36,36,立明大厦,徐汇-漕河泾- 桂箐路111号, 纯写字楼(乙级), 2008 10, 15, 6.9元/m²•月,3.55元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 立明大厦,31.1833553314,121.410484314
39,39,怡富商务广场,杨浦-五角场- 黄兴路1725号, 纯写字楼(甲级), 2007 3, 26, 15元/m²•月,3.35元/m²•天,,杨浦,五角场,杨浦 五角场 怡富商务广场,31.2962226868,121.525932312
40,40,时尚谷创意园,松江-松江- 鼎源路618弄, 纯写字楼(甲级), , , ,0.91元/m²•天,10000元/m²,松江,松江,松江 松江 时尚谷创意园,31.0367221832,121.175331116
42,42,伯爵居,卢湾-打浦桥- 瑞金二路411号, 纯写字楼(甲级), , 20, ,5.58元/m²•天,,卢湾,打浦桥,卢湾 打浦桥 伯爵居,31.21301651,121.474136353
44,44,碧云国际,浦东-金桥开发区- 浙桥路278号, 纯写字楼(乙级), , 30, ,2.03元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 碧云国际,31.2581615448,121.607795715
45,45,绿地汇方广场,杨浦-平凉/杨浦外滩- 平凉路1318弄, 纯写字楼(甲级), 2017 12, 6, 5元/m²•月,4.36元/m²•天,,杨浦,平凉/杨浦外滩,杨浦 平凉/杨浦外滩 绿地汇方广场,31.3045101166,121.535713196
46,46,东渡国际嘉庭广场,普陀-长风商务区- 云岭东路391弄, 纯写字楼(甲级), 2017 10, 18, 18元/m²•月,4.06元/m²•天,26000元/m²,普陀,长风商务区,普陀 长风商务区 东渡国际嘉庭广场,31.2275276184,121.394172668
47,47,东方众鑫大厦,静安-南京西路- 南京西路699号, 纯写字楼(甲级), 2003 1, 31, 25元/m²•月,6.59元/m²•天,,静安,南京西路,静安 南京西路 东方众鑫大厦,31.2365608215,121.469810486
48,48,中国人寿保险大厦,黄浦-外滩- 福佑路8号, 纯写字楼(甲级), , 15, 30元/m²•月,6.59元/m²•天,,黄浦,外滩,黄浦 外滩 中国人寿保险大厦,31.2360496521,121.500724792
49,49,中华门大厦,徐汇-万体馆- 宜山路520号, 纯写字楼(乙级), 2000 12, 24, 5元/m²•月,3.04元/m²•天,,徐汇,万体馆,徐汇 万体馆 中华门大厦,31.1876735687,121.431785583
50,50,越界世博园,卢湾-淮海路/新天地- 半淞园路388号, 纯写字楼(甲级), 2016 10, 6, 34元/m²•月,6.49元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 越界世博园,31.2268238068,121.480873108
52,52,鸿海大厦,普陀-真如- 真北路2167号, 纯写字楼(甲级), , 27, 16元/m²•月,3.93元/m²•天,,普陀,真如,普陀 真如 鸿海大厦,31.2593193054,121.397712708
53,53,虹桥协信中心,闵行-华漕- 兴虹路108弄, 纯写字楼(甲级), , 4, 15元/m²•月,4.06元/m²•天,,闵行,华漕,闵行 华漕 虹桥协信中心,31.2090873718,121.321350098
56,56,东华时尚创意园,长宁-中山公园- 延安西路1882号, 纯写字楼(甲级), 2011 06, 15, 18元/m²•月,4.06元/m²•天,,长宁,中山公园,长宁 中山公园 东华时尚创意园,31.2278347015,121.426574707
59,59,铜仁88,静安-南京西路- 静安区南京西路商圈铜仁路88号, 纯写字楼(甲级), 2016 5, 10, 15元/m²•月,5.41元/m²•天,,静安,南京西路,静安 南京西路 铜仁88,31.2344989777,121.46308136
60,60,春申创意园,闵行-春申/老闵行- 梅富路29号, 纯写字楼(甲级), , 5, 8元/m²•月,2.23元/m²•天,,闵行,春申/老闵行,闵行 春申/老闵行 春申创意园,31.1148395538,121.424858093
61,61,上海纺运物流商务中心,徐汇-龙华- 龙吴路410号, 纯写字楼(乙级), , 0, 15元/m²•月,3.45元/m²•天,,徐汇,龙华,徐汇 龙华 上海纺运物流商务中心,31.1650314331,121.458244324
63,63,武宁881号创意园,静安-静安寺- 武定路881号, 纯写字楼(甲级), 2012 2, 6, 17元/m²•月,5.07元/m²•天,,静安,静安寺,静安 静安寺 武宁881号创意园,31.2297477722,121.451797485
64,64,宏基/创邑河,长宁-中山公园- 万航渡路2170号, 纯写字楼(乙级), , 5, 6.5元/m²•月,4.06元/m²•天,,长宁,中山公园,长宁 中山公园 宏基/创邑河,31.2179222107,121.423599243
66,66,莘庄产学研基地,闵行-莘庄- 莘凌路211号, 纯写字楼(甲级), 2011 5, 6, 9元/m²•月,4.24元/m²•天,,闵行,莘庄,闵行 莘庄 莘庄产学研基地,31.1119861603,121.38520813
67,67,法华门大厦,长宁-延安西路- 法华镇路555号, 纯写字楼(丙级), , 15, 4.8元/m²•月,2.64元/m²•天,,长宁,延安西路,长宁 延安西路 法华门大厦,31.2119922638,121.430351257
70,70,微格创意园,闵行-莘庄- 金都西路418号, 纯写字楼(甲级), 2015 03, 3, 5元/m²•月,1.01元/m²•天,,闵行,莘庄,闵行 莘庄 微格创意园,31.1973152161,121.272193909
71,71,全华信息大楼,浦东-竹园商贸区- 福山路455号, 纯写字楼(乙级), 2000 4, 8, 30元/m²•月,5.58元/m²•天,,浦东,竹园商贸区,浦东 竹园商贸区 全华信息大楼,31.2368621826,121.35559845
74,74,智慧园,闵行-莘庄- 莘松路380号, 纯写字楼(乙级), 2009 12, 12, 8元/m²•月,3.04元/m²•天,,闵行,莘庄,闵行 莘庄 智慧园,31.1832294464,121.406776428
75,75,德必WE静安文化创意园,静安-静安寺- 延平路135号, 纯写字楼(甲级), , 0, 18.2元/m²•月,7.1元/m²•天,,静安,静安寺,静安 静安寺 德必WE静安文化创意园,31.2297477722,121.451797485
76,76,中环滨江大厦,浦东-金桥开发区- 浦东大道2740号, 纯写字楼(乙级), 2008 6, 14, 4.5元/m²•月,1.47元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 中环滨江大厦,31.2725448608,121.578521729
78,78,光大会展中心D座,徐汇-漕河泾- 漕宝路80号, 纯写字楼(甲级), 2005 6, 30, 10元/m²•月,3.04元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 光大会展中心D座,31.1739501953,121.435333252
82,82,兰村大厦,浦东-北蔡/塘桥- 东方路1381号, 纯写字楼(乙级), 1998 10, 28, 15元/m²•月,2.84元/m²•天,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 兰村大厦,31.2172737122,121.534996033
84,84,冉东商务中心,徐汇-漕河泾- 合川路, 纯写字楼(乙级), , 5, 10元/m²•月,3.04元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 冉东商务中心,31.1743907928,121.390823364
86,86,城投控股大厦,虹口-北外滩- 吴淞路150号, 纯写字楼(甲级), 2011 11, 21, 30元/m²•月,6.08元/m²•天,,虹口,北外滩,虹口 北外滩 城投控股大厦,31.2522659302,121.496894836
88,88,星光耀广场,"普陀-真如- 潮州路,近礼尚路", 纯写字楼(甲级), 2017 1, 10, 5.5元/m²•月,3.55元/m²•天,,普陀,真如,普陀 真如 星光耀广场,31.2632408142,121.413108826
89,89,慧创国际,嘉定-江桥- 金沙江西路1555弄, 纯写字楼(甲级), 2008 3, 10, 6元/m²•月,2.2元/m²•天,,嘉定,江桥,嘉定 江桥 慧创国际,31.2458667755,121.336463928
91,91,鑫桥创意园,浦东-金桥开发区- 云山路银山路口, 纯写字楼(甲级), , 5, 18元/m²•月,4.06元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 鑫桥创意园,31.2520370483,121.631591797
92,92,静安创展中心,静安-江宁路- 西康路928号, 纯写字楼(甲级), 2007 12, 11, 30元/m²•月,3.55元/m²•天,26960元/m²,静安,江宁路,静安 江宁路 静安创展中心,31.2457695007,121.449440002
93,93,泰德科技园,宝山-共富- 蕰川路516号（近泰和西路路口）, 纯写字楼(甲级), 2016 1, 11, 12元/m²•月,2.33元/m²•天,,宝山,共富,宝山 共富 泰德科技园,31.3595314026,121.439796448
94,94,力宝广场,卢湾-淮海路/新天地- 淮海中路222号, 纯写字楼(甲级), 1999 1, 39, 32元/m²•月,7.91元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 力宝广场,31.2301712036,121.482200623
97,97,复旦创业中心大厦二期,杨浦-五角场- 国定路315号, 纯写字楼(乙级), 2009 10, 24, 11元/m²•月,2.94元/m²•天,,杨浦,五角场,杨浦 五角场 复旦创业中心大厦二期,31.3028945923,121.515533447
98,98,上海科技京城大厦西座,黄浦-人民广场- 北京东路668号, 纯写字楼(甲级), 1998 1, 31, 23.2元/m²•月,3.04元/m²•天,20000元/m²,黄浦,人民广场,黄浦 人民广场 上海科技京城大厦西座,31.2447929382,121.484077454
99,99,开开广场,静安-曹家渡- 上海万行渡路888号, 纯写字楼(甲级), 1998 1, 30, 27元/m²•月,3.04元/m²•天,21822元/m²,静安,曹家渡,静安 曹家渡 开开广场,31.2345066071,121.435089111
100,100,汇鑫国际大厦,徐汇-徐家汇- 宜山路333号, 纯写字楼(甲级), 2010 12, 22, 26元/m²•月,4.56元/m²•天,30009元/m²,徐汇,徐家汇,徐汇 徐家汇 汇鑫国际大厦,31.1939678192,121.437164307
101,101,佳预信息科技大厦,松江-九亭- 上海市沪松公路1177号, 纯写字楼(甲级), 2011 9, 10, 15元/m²•月,3.04元/m²•天,,松江,九亭,松江 九亭 佳预信息科技大厦,31.1507205963,121.336013794
103,103,东方国际科技大厦,浦东-竹园商贸区- 向城路58号, 纯写字楼(甲级), , 20, 19.6元/m²•月,4.56元/m²•天,,浦东,竹园商贸区,浦东 竹园商贸区 东方国际科技大厦,31.2295227051,121.536804199
107,107,绿地和创大厦,普陀-曹杨- 曹杨路450号, 纯写字楼(甲级), 2007 5, 25, 21元/m²•月,4.66元/m²•天,29000元/m²,普陀,曹杨,普陀 曹杨 绿地和创大厦,31.2432403564,121.426589966
109,109,凯滨国际大厦,徐汇-龙华- 凯滨路199号, 纯写字楼(甲级), 2016 1, 18, 30元/m²•月,5.88元/m²•天,,徐汇,龙华,徐汇 龙华 凯滨国际大厦,31.1887931824,121.461250305
110,110,华盛国际商务花园,普陀-真如- 绥德路613弄1号～22号西区, 纯写字楼(甲级), 2004 6, 7, 1.8元/m²•月,2.92元/m²•天,11000元/m²,普陀,真如,普陀 真如 华盛国际商务花园,31.2697143555,121.377853394
112,112,上海国际汽车城大厦,嘉定-安亭- 墨玉南路888号, 纯写字楼(甲级), , , 18元/m²•月,2.44元/m²•天,,嘉定,安亭,嘉定 安亭 上海国际汽车城大厦,31.287733078,121.171577454
114,114,康吉大厦,闸北-火车站- 天目西路290号, 纯写字楼(丙级), 2002 7, 22, 12元/m²•月,2.98元/m²•天,16360元/m²,闸北,火车站,闸北 火车站 康吉大厦,31.2518482208,121.461868286
117,117,绿亮松江科创园,松江-松江- 高技路655号, 纯写字楼(甲级), , 0, 5元/m²•月,1.42元/m²•天,,松江,松江,松江 松江 绿亮松江科创园,31.0212440491,121.226791382
118,118,徐汇大树下新媒体创意园,徐汇-龙华- 石龙路345弄28号, 纯写字楼(甲级), 2017 06, 6, 16元/m²•月,3.67元/m²•天,,徐汇,龙华,徐汇 龙华 徐汇大树下新媒体创意园,31.1600284576,121.454490662
121,121,复旦软件园高境园,杨浦-新江湾城- 三门路561号, 纯写字楼(乙级), , 3, 10元/m²•月,2.54元/m²•天,,杨浦,新江湾城,杨浦 新江湾城 复旦软件园高境园,31.3450126648,121.50138092
122,122,康桥EONE,浦东-浦东外环- 康桥东路111号, 纯写字楼(甲级), 2017 8, 5, 15元/m²•月,2.5元/m²•天,27000元/m²,浦东,浦东外环,浦东 浦东外环 康桥EONE,30.8843860626,121.40864563
123,123,新理想大厦,闸北-火车站- 中兴路1500号, 纯写字楼(甲级), , 0, 30元/m²•月,5.95元/m²•天,,闸北,火车站,闸北 火车站 新理想大厦,31.2582416534,121.464393616
125,125,红石商务大楼,宝山-共富- 蕴川路512号, 纯写字楼(甲级), 2011 11, 10, 12元/m²•月,3.28元/m²•天,,宝山,共富,宝山 共富 红石商务大楼,31.3986225128,121.409042358
127,127,现代通信大厦,浦东-金桥开发区- 新金桥路201号, 纯写字楼(乙级), 2010 2, 11, 17.5元/m²•月,2.03元/m²•天,17000元/m²,浦东,金桥开发区,浦东 金桥开发区 现代通信大厦,31.2540187836,121.605308533
128,128,越界智汇园,宝山-共康- 呼兰路701号, 纯写字楼(甲级), , 4, 15元/m²•月,2.03元/m²•天,,宝山,共康,宝山 共康 越界智汇园,31.3496570587,121.448822021
130,130,宝华国际广场,闸北-彭浦- 广中西路555号, 纯写字楼(甲级), 2011 3, 23, 25元/m²•月,5.07元/m²•天,,闸北,彭浦,闸北 彭浦 宝华国际广场,31.285484314,121.448936462
131,131,新虹桥中心大厦,长宁-虹桥开发区- 娄山关路83号, 纯写字楼(甲级), 1998 5, 36, 29元/m²•月,5.07元/m²•天,21007元/m²,长宁,虹桥开发区,长宁 虹桥开发区 新虹桥中心大厦,31.2101917267,121.409049988
134,134,科海大楼,浦东-张江高科- 纳贤路800号, 纯写字楼(甲级), 2016 6, 11, 13.72元/m²•月,3.85元/m²•天,,浦东,张江高科,浦东 张江高科 科海大楼,31.1839504242,121.612304688
136,136,耀江国际广场,虹口-北外滩- 吴淞路308号, 纯写字楼(甲级), 2010 6, 28, 14元/m²•月,3.55元/m²•天,26500元/m²,虹口,北外滩,虹口 北外滩 耀江国际广场,31.2553081512,121.496444702
137,137,美奥菲斯创意产业园,闸北-彭浦- 少年村路415弄, 纯写字楼(甲级), , 0, 10元/m²•月,2.44元/m²•天,,闸北,彭浦,闸北 彭浦 美奥菲斯创意产业园,31.2729454041,121.487182617
139,139,苏河湾跨界工坊,闸北-火车站- 光复路555号, 纯写字楼(甲级), , 0, 15元/m²•月,4.17元/m²•天,,闸北,火车站,闸北 火车站 苏河湾跨界工坊,31.2880439758,121.457771301
141,141,威海696,静安-南京西路- 威海路696号, 纯写字楼(甲级), , , ,1.83元/m²•天,,静安,南京西路,静安 南京西路 威海696,31.2344989777,121.46308136
142,142,证大立方大厦,浦东-世纪公园- 长柳路58号, 纯写字楼(甲级), 2007 6, 23, 19元/m²•月,6.08元/m²•天,40000元/m²,浦东,世纪公园,浦东 世纪公园 证大立方大厦,31.2307662964,121.558799744
144,144,绿亮科创园,闵行-莘庄- 虹梅南路2588(靠近景联路), 纯写字楼(乙级), 2016 10, 5, 6元/m²•月,1.72元/m²•天,,闵行,莘庄,闵行 莘庄 绿亮科创园,31.1029224396,121.441139221
148,148,宜嘉坊,长宁-北新泾- 北渔路82弄, 纯写字楼(甲级), 2004 1, 6, 3.5元/m²•月,3.1元/m²•天,,长宁,北新泾,长宁 北新泾 宜嘉坊,31.2220172882,121.380104065
152,152,上海传奇商业广场,浦东-张江高科- 碧波路635号, 纯写字楼(甲级), 2017 5, 3, 2.5元/m²•月,4.36元/m²•天,,浦东,张江高科,浦东 张江高科 上海传奇商业广场,30.8843860626,121.40864563
154,154,凯科国际大厦,徐汇-漕河泾- 虹梅路1801号A区, 纯写字楼(甲级), 2009 6, 28, 29.8元/m²•月,5.07元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 凯科国际大厦,31.1741962433,121.404319763
155,155,上海世茂大厦,"浦东-陆家嘴- 潍坊西路,近浦城路", 纯写字楼(甲级), 2018 3, 27, 36元/m²•月,8.11元/m²•天,,浦东,陆家嘴,浦东 陆家嘴 上海世茂大厦,31.2445545197,121.509902954
156,156,漕河泾浦江科技广场,闵行-浦江- 陈行路2388号, 纯写字楼(甲级), 2011 9, 14, 7.5元/m²•月,2.84元/m²•天,,闵行,浦江,闵行 浦江 漕河泾浦江科技广场,31.1026821136,121.515739441
158,158,金博尚品,浦东-世纪公园- 张杨路1518、1528号, 纯写字楼(甲级), 2007 6, 12, 25元/m²•月,4.06元/m²•天,26500元/m²,浦东,世纪公园,浦东 世纪公园 金博尚品,31.2227668762,121.559333801
159,159,越界明园,徐汇-衡山路/肇嘉浜- 复兴中路1199号靠近嘉善路, 纯写字楼(甲级), 2004 9, 6, 18元/m²•月,4.06元/m²•天,,徐汇,衡山路/肇嘉浜,徐汇 衡山路/肇嘉浜 越界明园,31.2016716003,121.448776245
161,161,屹源产业园,闵行-春申/老闵行- 闵行区金都路1288弄, 纯写字楼(甲级), 2008 6, 8, 3元/m²•月,1.83元/m²•天,,闵行,春申/老闵行,闵行 春申/老闵行 屹源产业园,31.0148181915,121.424430847
163,163,智苑文创空间,闸北-大宁绿地- 闸北区共和路2802号, 纯写字楼(甲级), , 0, 12元/m²•月,3.49元/m²•天,,闸北,大宁绿地,闸北 大宁绿地 智苑文创空间,31.290977478,121.456634521
165,165,上海华电大厦,浦东-世博- 国展路839号, 纯写字楼(甲级), 2017 1, 26, 35元/m²•月,6.08元/m²•天,,浦东,世博,浦东 世博 上海华电大厦,30.8843860626,121.40864563
166,166,雅居乐国际广场,黄浦-人民广场- 西藏中路525号, 酒店写字楼(甲级), 2009 12, 37, 45元/m²•月,3.33元/m²•天,,黄浦,人民广场,黄浦 人民广场 雅居乐国际广场,31.2421798706,121.479621887
169,169,800秀创意园区,静安-静安寺- 常德路800号(靠近昌平路), 商业综合体楼(甲级), 2009 8, 6, 20元/m²•月,6.08元/m²•天,,静安,静安寺,静安 静安寺 800秀创意园区,31.2537517548,121.45539093
173,173,华融大厦,浦东-八佰伴- 浦东南路1271号, 纯写字楼(甲级), 1905 6, 31, 23元/m²•月,5.07元/m²•天,,浦东,八佰伴,浦东 八佰伴 华融大厦,31.2321662903,121.523948669
175,175,悦达国际大厦,普陀-长寿路- 长寿路1118号A栋、B栋, 纯写字楼(甲级), 2005 6, 26, 6.8元/m²•月,3.85元/m²•天,19800元/m²,普陀,长寿路,普陀 长寿路 悦达国际大厦,31.2369747162,121.433670044
178,178,沧源科技园,闵行-春申/老闵行- 剑川路951号, 纯写字楼(乙级), , 8, 4元/m²•月,1.62元/m²•天,,闵行,春申/老闵行,闵行 春申/老闵行 沧源科技园,31.0329666138,121.427482605
181,181,瑞金大厦,卢湾-淮海路/新天地- 茂名南路与复兴中路交叉口, 纯写字楼(乙级), 1998 5, 27, 31元/m²•月,6.26元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 瑞金大厦,31.2198467255,121.469482422
182,182,全方位数码城,闵行-颛桥- 都会路1699号, 纯写字楼(甲级), 2016 , 15, 6元/m²•月,1.72元/m²•天,,闵行,颛桥,闵行 颛桥 全方位数码城,31.0740127563,121.407485962
185,185,D1国际创意空间,徐汇-徐家汇- 天钥桥路909-915号, 纯写字楼(甲级), 2001 4, 7, 6元/m²•月,4.06元/m²•天,,徐汇-徐家汇, 天钥桥路909,徐汇-徐家汇  天钥桥路909 D1国际创意空间,31.1850605011,121.45161438
186,186,新业大楼,徐汇-漕河泾- 田林路388号, 纯写字楼(甲级), 1995 1, 12, 4.7元/m²•月,3.55元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 新业大楼,31.1729717255,121.40511322
187,187,东方金融广场,浦东-八佰伴- 世纪大道1168号, 纯写字楼(甲级), 2011 10, 23, 28元/m²•月,7.61元/m²•天,,浦东,八佰伴,浦东 八佰伴 东方金融广场,31.2274017334,121.509429932
188,188,优房商务中心,闵行-七宝- 中春路7628号, 纯写字楼(乙级), , 5, 8元/m²•月,2.23元/m²•天,,闵行,七宝,闵行 七宝 优房商务中心,31.1518478394,121.34979248
190,190,华敏翰尊国际商务大厦,长宁-中山公园- 长宁-地铁中山公园-华敏翰尊国际商务大厦 长宁附近或中山公园, 纯写字楼(甲级), , 1, 25元/m²•月,4.87元/m²•天,32000元/m²,长宁-中山公园- 长宁,地铁中山公园,长宁-中山公园- 长宁 地铁中山公园 华敏翰尊国际商务大厦,31.2298221588,121.425445557
191,191,北上海创意港,宝山-共康- 泰和路2038号, 纯写字楼(甲级), , 0, 9元/m²•月,1.83元/m²•天,,宝山,共康,宝山 共康 北上海创意港,31.3619194031,121.44493866
195,195,万科时一区,闵行-华漕- 申长路泰虹路, 纯写字楼(甲级), , 15, 33元/m²•月,3.65元/m²•天,,闵行,华漕,闵行 华漕 万科时一区,31.2069072723,121.317100525
196,196,东华大学科技园,长宁-虹桥临空经济园区- 金钟路658号, 纯写字楼(乙级), 2004 9, 6, 2.2元/m²•月,3.5元/m²•天,,长宁,虹桥临空经济园区,长宁 虹桥临空经济园区 东华大学科技园,31.2283191681,121.364845276
197,197,燕兴大厦,普陀-长寿路- 江宁路1306弄12号, 纯写字楼(丙级), 2002 6, 24, 3元/m²•月,2.84元/m²•天,25800元/m²,普陀,长寿路,普陀 长寿路 燕兴大厦,31.2528305054,121.44834137
198,198,明园商务中心,徐汇-淮海西路- 复兴中路1199号, 纯写字楼(乙级), 2007 3, 6, 22元/m²•月,4.15元/m²•天,,徐汇,淮海西路,徐汇 淮海西路 明园商务中心,31.2182312012,121.465301514
199,199,SOHO天山广场,长宁-天山路- 遵义路与天山路交汇处, 纯写字楼(甲级), 2016 12, 31, 38元/m²•月,6.08元/m²•天,,长宁,天山路,长宁 天山路 SOHO天山广场,31.2152557373,121.414924622
200,200,灿虹精英大厦,闵行-虹桥镇- 吴中路1049号, 纯写字楼(甲级), , 0, 9元/m²•月,3.04元/m²•天,,闵行,虹桥镇,闵行 虹桥镇 灿虹精英大厦,31.1824398041,121.395065308
202,202,众城大厦,浦东-八佰伴- 东方路818号, 纯写字楼(乙级), 1996 1, 25, 19.5元/m²•月,4.06元/m²•天,25000元/m²,浦东,八佰伴,浦东 八佰伴 众城大厦,31.232465744,121.532058716
203,203,长峰名光大厦,长宁-中山公园- 定西路1277号, 纯写字楼(丙级), 1998 1, 32, 30元/m²•月,2.64元/m²•天,,长宁,中山公园,长宁 中山公园 长峰名光大厦,31.2217350006,121.42855072
205,205,大来大楼,黄浦-外滩- 广东路51号, 纯写字楼(甲级), , 0, 37元/m²•月,7.79元/m²•天,,黄浦,外滩,黄浦 外滩 大来大楼,31.2396144867,121.496665955
208,208,尚凯商务大厦,杨浦-平凉/杨浦外滩- 江浦路1000号, 纯写字楼(乙级), 2008 6, 21, 8.9元/m²•月,3.55元/m²•天,,杨浦,平凉/杨浦外滩,杨浦 平凉/杨浦外滩 尚凯商务大厦,31.2728271484,121.52910614
210,210,海德堡中心,浦东-张江高科- 张江路75号, 纯写字楼(甲级), 2017 10, 5, 15元/m²•月,4.06元/m²•天,,浦东,张江高科,浦东 张江高科 海德堡中心,30.8843860626,121.40864563
211,211,东华金融大厦,浦东-外高桥- 马吉路28号, 纯写字楼(甲级), 2012 1, 34, 8.9元/m²•月,1.72元/m²•天,,浦东,外高桥,浦东 外高桥 东华金融大厦,31.3544597626,121.595275879
213,213,和平国际商务港,浦东-浦东外环- 沪南路2651号, 商业综合体楼(甲级), 2012 11, 15, ,4.22元/m²•天,,浦东,浦东外环,浦东 浦东外环 和平国际商务港,31.1532382965,121.574806213
215,215,解放日报大厦（闵行）,闵行-莘庄- 都市路4855号, 纯写字楼(甲级), , 0, 23元/m²•月,4.26元/m²•天,,闵行,莘庄,闵行 莘庄 解放日报大厦（闵行）,31.1098022461,121.395317078
216,216,海洋石油大厦,徐汇-万体馆- 零陵路583号, 纯写字楼(乙级), 1992 1, 28, 12元/m²•月,3.55元/m²•天,,徐汇,万体馆,徐汇 万体馆 海洋石油大厦,31.1951179504,121.454124451
217,217,江苏路老洋房,长宁-中山公园- 江苏路488弄, 纯写字楼(甲级), , 0, 5元/m²•月,4元/m²•天,,长宁,中山公园,长宁 中山公园 江苏路老洋房,31.2198944092,121.435005188
219,219,文景楼,宝山-共康- 上大路1号, 纯写字楼(甲级), , 0, 10.7元/m²•月,3.04元/m²•天,,宝山,共康,宝山 共康 文景楼,31.3196926117,121.414665222
221,221,经纬国际大厦,黄浦-人民广场- 鲁班路558号, 纯写字楼(甲级), , 0, 1元/m²•月,5元/m²•天,,黄浦,人民广场,黄浦 人民广场 经纬国际大厦,31.2048530579,121.482711792
