,name,age,floors,rent,type_jia, type_yi,type_bing,Shanghai,LuWan,JiaDing,FengXian,BaoShan,XuHui,PuTuo,YangPu,SongJiang,PuDong,HongKou,jinjiao,ChangNing,MinHang,ZhaBei,QingPu,JingAn,HuangPu,hotel,hospital,mall,park1500,store,underground,POIs
34,武宁881号创意园,6.0,6.0,5.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,6.0,15.0,6.0,36.0,1.0,27
35,宏基/创邑河,,5.0,4.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54.0,13.0,0.0,0.0,36.0,1.0,25
36,莘庄产学研基地,7.0,6.0,4.24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.0,8.0,9.0,6.0,0.0,0.0,25
37,法华门大厦,,15.0,2.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70.0,0.0,3.0,0.0,23.0,0.0,24
38,微格创意园,3.0,3.0,1.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,2.0,0.0,23
39,全华信息大楼,18.0,8.0,5.58,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,5.0,0.0,24
40,智慧园,9.0,12.0,3.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0,0.0,0.0,1.0,7.0,0.0,24
41,德必WE静安文化创意园,,,7.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,6.0,10.0,6.0,36.0,1.0,27
42,中环滨江大厦,10.0,14.0,1.47,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0,3.0,0.0,2.0,7.0,0.0,25
43,光大会展中心D座,13.0,30.0,3.04,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.0,8.0,3.0,8.0,22.0,0.0,26
44,兰村大厦,20.0,28.0,2.84,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32.0,6.0,1.0,2.0,13.0,1.0,27
45,冉东商务中心,,5.0,3.04,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,3.0,1.0,5.0,0.0,26
46,城投控股大厦,7.0,21.0,6.08,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,106.0,4.0,6.0,0.0,58.0,0.0,25
47,星光耀广场,1.0,10.0,3.55,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0,1.0,2.0,6.0,16.0,0.0,26
