,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,mean_rent
34,武宁881号创意园,3,6.0,6.0,5.07,100.0,6.0,15.0,6.0,36.0,1.0,7,2.5
35,宏基/创邑河,2,,5.0,4.06,54.0,13.0,0.0,0.0,36.0,1.0,5,
36,莘庄产学研基地,3,7.0,6.0,4.24,24.0,8.0,9.0,6.0,0.0,0.0,5,
37,法华门大厦,1,,15.0,2.64,70.0,0.0,3.0,0.0,23.0,0.0,4,1.92
38,微格创意园,3,3.0,3.0,1.01,3.0,0.0,0.0,0.0,2.0,0.0,3,
39,全华信息大楼,2,18.0,8.0,5.58,1.0,0.0,0.0,1.0,5.0,0.0,4,
40,智慧园,2,9.0,12.0,3.04,9.0,0.0,0.0,1.0,7.0,0.0,4,6.57
41,德必WE静安文化创意园,3,,,7.1,100.0,6.0,10.0,6.0,36.0,1.0,7,5.77
42,中环滨江大厦,2,10.0,14.0,1.47,12.0,3.0,0.0,2.0,7.0,0.0,5,4.6
43,光大会展中心D座,3,13.0,30.0,3.04,35.0,8.0,3.0,8.0,22.0,0.0,6,6.69
44,兰村大厦,2,20.0,28.0,2.84,32.0,6.0,1.0,2.0,13.0,1.0,7,5.95
45,冉东商务中心,2,,5.0,3.04,3.0,1.0,3.0,1.0,5.0,0.0,6,3.73
46,城投控股大厦,3,7.0,21.0,6.08,106.0,4.0,6.0,0.0,58.0,0.0,5,
47,星光耀广场,3,1.0,10.0,3.55,10.0,1.0,2.0,6.0,16.0,0.0,6,8.4
48,慧创国际,3,10.0,10.0,2.2,10.0,0.0,0.0,3.0,8.0,0.0,4,3.8
49,鑫桥创意园,3,,5.0,4.06,3.0,0.0,0.0,1.0,1.0,0.0,4,3.83
50,静安创展中心,3,11.0,11.0,3.55,76.0,4.0,2.0,5.0,38.0,2.0,7,1.62
51,泰德科技园,3,2.0,11.0,2.33,3.0,1.0,0.0,0.0,13.0,1.0,5,1.5
52,力宝广场,3,19.0,39.0,7.91,56.0,8.0,17.0,16.0,20.0,3.0,7,4.0
53,复旦创业中心大厦二期,2,9.0,24.0,2.94,31.0,4.0,9.0,5.0,21.0,2.0,7,9.27
54,上海科技京城大厦西座,3,20.0,31.0,3.04,109.0,2.0,12.0,6.0,56.0,0.0,6,3.86
55,开开广场,3,20.0,30.0,3.04,59.0,4.0,7.0,2.0,27.0,2.0,7,3.5
56,汇鑫国际大厦,3,8.0,22.0,4.56,58.0,5.0,3.0,7.0,19.0,2.0,7,2.94
57,佳预信息科技大厦,3,7.0,10.0,3.04,12.0,0.0,0.0,1.0,5.0,0.0,4,
58,东方国际科技大厦,3,,20.0,4.56,39.0,0.0,0.0,5.0,24.0,2.0,5,4.0
59,绿地和创大厦,3,11.0,25.0,4.66,40.0,3.0,6.0,5.0,36.0,3.0,7,
60,凯滨国际大厦,3,2.0,18.0,5.88,26.0,5.0,2.0,4.0,17.0,0.0,6,7.0
61,华盛国际商务花园,3,14.0,7.0,2.92,7.0,0.0,3.0,3.0,4.0,0.0,5,3.81
62,上海国际汽车城大厦,3,,,2.44,5.0,0.0,0.0,0.0,1.0,0.0,3,3.85
63,康吉大厦,1,16.0,22.0,2.98,104.0,3.0,8.0,5.0,40.0,1.0,7,3.2
64,绿亮松江科创园,3,,,1.42,0.0,2.0,0.0,3.0,6.0,0.0,4,4.6
65,徐汇大树下新媒体创意园,3,1.0,6.0,3.67,12.0,2.0,0.0,4.0,15.0,1.0,6,2.63
66,复旦软件园高境园,2,,3.0,2.54,8.0,2.0,2.0,1.0,8.0,0.0,6,3.3
67,康桥EONE,3,1.0,5.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,2,3.65
68,新理想大厦,3,,,5.95,103.0,4.0,2.0,3.0,0.0,1.0,6,
69,红石商务大楼,3,7.0,10.0,3.28,1.0,0.0,0.0,0.0,3.0,0.0,3,
70,现代通信大厦,2,8.0,11.0,2.03,24.0,0.0,1.0,1.0,6.0,0.0,5,
71,越界智汇园,3,,4.0,2.03,3.0,1.0,0.0,4.0,13.0,1.0,6,
72,宝华国际广场,3,7.0,23.0,5.07,1.0,3.0,3.0,4.0,9.0,0.0,6,
73,新虹桥中心大厦,3,20.0,36.0,5.07,19.0,0.0,5.0,10.0,14.0,0.0,5,3.27
74,科海大楼,3,2.0,11.0,3.85,9.0,0.0,0.0,0.0,4.0,0.0,3,3.63
75,耀江国际广场,3,8.0,28.0,3.55,96.0,13.0,11.0,11.0,74.0,1.0,7,3.0
76,美奥菲斯创意产业园,3,,,2.44,35.0,0.0,9.0,3.0,39.0,1.0,6,2.3
77,苏河湾跨界工坊,3,,,4.17,18.0,0.0,1.0,2.0,12.0,1.0,6,3.68
78,威海696,3,,,1.83,167.0,4.0,19.0,12.0,39.0,2.0,7,
79,证大立方大厦,3,11.0,23.0,6.08,16.0,1.0,5.0,18.0,6.0,2.0,7,
80,绿亮科创园,2,2.0,5.0,1.72,3.0,0.0,1.0,1.0,7.0,0.0,5,5.26
81,宜嘉坊,3,14.0,6.0,3.1,28.0,4.0,4.0,0.0,20.0,1.0,6,
82,上海传奇商业广场,3,1.0,3.0,4.36,1.0,0.0,0.0,0.0,0.0,0.0,2,
83,凯科国际大厦,3,9.0,28.0,5.07,3.0,1.0,0.0,1.0,9.0,1.0,6,
84,上海世茂大厦,3,0.0,27.0,8.11,13.0,2.0,6.0,10.0,18.0,1.0,7,4.3
85,漕河泾浦江科技广场,3,7.0,14.0,2.84,0.0,0.0,2.0,1.0,2.0,1.0,5,3.0
86,金博尚品,3,11.0,12.0,4.06,2.0,0.0,0.0,20.0,11.0,0.0,4,
87,越界明园,3,14.0,6.0,4.06,81.0,4.0,0.0,12.0,28.0,1.0,6,
88,屹源产业园,3,10.0,8.0,1.83,13.0,0.0,3.0,2.0,23.0,0.0,5,1.1
89,智苑文创空间,3,,,3.49,19.0,0.0,0.0,3.0,14.0,0.0,4,
90,上海华电大厦,3,1.0,26.0,6.08,1.0,0.0,0.0,0.0,0.0,0.0,2,
91,雅居乐国际广场,3,9.0,37.0,3.33,180.0,4.0,10.0,11.0,58.0,2.0,7,
92,800秀创意园区,3,9.0,6.0,6.08,63.0,2.0,2.0,5.0,0.0,1.0,6,4.3
93,华融大厦,3,113.0,31.0,5.07,63.0,6.0,13.0,5.0,0.0,1.0,6,5.67
94,悦达国际大厦,3,13.0,26.0,3.85,55.0,5.0,8.0,3.0,21.0,3.0,7,4.5
95,沧源科技园,2,,8.0,1.62,4.0,1.0,0.0,1.0,4.0,0.0,5,
96,瑞金大厦,2,20.0,27.0,6.26,189.0,19.0,5.0,12.0,39.0,1.0,7,2.42
97,全方位数码城,3,2.0,15.0,1.72,12.0,3.0,1.0,1.0,0.0,1.0,6,14.31
98,D1国际创意空间,3,17.0,7.0,4.06,29.0,4.0,1.0,2.0,12.0,2.0,7,
99,新业大楼,3,23.0,12.0,3.55,2.0,1.0,0.0,3.0,8.0,1.0,6,3.61
100,东方金融广场,3,7.0,23.0,7.61,37.0,1.0,3.0,4.0,18.0,0.0,6,6.0
101,优房商务中心,2,,5.0,2.23,7.0,0.0,0.0,2.0,5.0,1.0,5,
102,华敏翰尊国际商务大厦,3,,1.0,4.87,24.0,4.0,0.0,4.0,13.0,0.0,5,
103,北上海创意港,3,,,1.83,3.0,0.0,0.0,0.0,4.0,1.0,4,
104,万科时一区,3,,15.0,3.65,10.0,2.0,0.0,0.0,4.0,0.0,4,8.75
105,东华大学科技园,2,14.0,6.0,3.5,8.0,0.0,4.0,2.0,12.0,1.0,6,2.79
106,燕兴大厦,1,16.0,24.0,2.84,56.0,6.0,3.0,3.0,18.0,1.0,7,
107,明园商务中心,2,11.0,6.0,4.15,229.0,15.0,0.0,19.0,36.0,1.0,6,
108,SOHO天山广场,3,2.0,31.0,6.08,38.0,0.0,7.0,8.0,33.0,1.0,6,4.5
109,灿虹精英大厦,3,,,3.04,25.0,3.0,1.0,1.0,16.0,0.0,6,
110,众城大厦,2,22.0,25.0,4.06,55.0,9.0,3.0,4.0,0.0,1.0,6,
111,长峰名光大厦,1,20.0,32.0,2.64,72.0,6.0,12.0,10.0,33.0,0.0,6,
112,大来大楼,3,,,7.79,92.0,3.0,6.0,5.0,34.0,0.0,6,6.3
113,尚凯商务大厦,2,10.0,21.0,3.55,13.0,1.0,2.0,5.0,22.0,1.0,7,3.8
114,海德堡中心,3,1.0,5.0,4.06,1.0,0.0,0.0,0.0,0.0,0.0,2,5.64
115,东华金融大厦,3,6.0,34.0,1.72,15.0,0.0,0.0,0.0,7.0,1.0,4,
116,和平国际商务港,3,6.0,15.0,4.22,23.0,0.0,2.0,1.0,7.0,0.0,5,11.0
117,解放日报大厦（闵行）,3,,,4.26,0.0,0.0,5.0,4.0,13.0,0.0,4,3.5
118,海洋石油大厦,2,26.0,28.0,3.55,79.0,18.0,1.0,7.0,25.0,1.0,7,
119,江苏路老洋房,3,,,4.0,83.0,16.0,2.0,9.0,33.0,0.0,6,3.15
120,文景楼,3,,,3.04,4.0,1.0,2.0,1.0,2.0,0.0,6,
121,经纬国际大厦,3,,,5.0,37.0,0.0,1.0,4.0,31.0,2.0,6,
122,长城大厦,3,9.0,44.0,5.78,34.0,2.0,0.0,6.0,30.0,5.0,6,
123,X2创意空间,3,12.0,7.0,4.06,52.0,0.0,4.0,4.0,22.0,1.0,6,
124,国盛中心,3,9.0,35.0,3.85,0.0,0.0,1.0,0.0,6.0,0.0,3,
125,平高国际广场,3,7.0,24.0,5.07,65.0,7.0,5.0,4.0,22.0,1.0,7,4.06
126,惠扬大厦,3,13.0,25.0,4.36,2.0,0.0,0.0,12.0,12.0,0.0,4,
127,安利大楼,2,35.0,7.0,7.24,115.0,17.0,16.0,10.0,50.0,1.0,7,
128,曙光大厦,2,18.0,26.0,4.31,49.0,7.0,21.0,17.0,40.0,3.0,7,
129,白金湾广场,3,7.0,20.0,0.03,43.0,0.0,2.0,0.0,20.0,1.0,5,6.55
130,新利商务中心,3,28.0,5.0,2.23,62.0,9.0,0.0,4.0,21.0,2.0,6,
131,申华金融大厦,3,19.0,28.0,6.08,141.0,5.0,18.0,11.0,53.0,1.0,7,9.3
132,彩生活时代广场,3,1.0,5.0,2.84,10.0,2.0,2.0,2.0,9.0,0.0,6,
133,中土大厦,3,21.0,27.0,3.38,0.0,8.0,3.0,2.0,45.0,1.0,6,5.25
134,机场城市航站楼,2,,11.0,5.07,99.0,4.0,15.0,0.0,31.0,1.0,6,4.03
135,中西大厦,3,5.0,20.0,4.56,63.0,10.0,5.0,3.0,26.0,2.0,7,9.08
136,上海湾鄂尔多斯大厦,3,11.0,22.0,6.08,73.0,0.0,9.0,1.0,26.0,1.0,6,3.22
137,曹杨尚城国际,3,10.0,15.0,3.48,41.0,2.0,7.0,6.0,40.0,3.0,7,3.85
138,文洋大厦,3,7.0,10.0,4.06,4.0,0.0,3.0,1.0,11.0,0.0,5,2.0
139,新概念大厦,3,13.0,20.0,3.38,17.0,8.0,2.0,3.0,19.0,0.0,6,4.55
140,协通大厦,3,5.0,16.0,1.72,9.0,0.0,0.0,0.0,3.0,0.0,3,
141,万科七宝国际,3,2.0,9.0,3.55,9.0,0.0,1.0,2.0,3.0,2.0,6,4.97
142,北外滩白玉兰广场,3,2.0,69.0,8.11,38.0,3.0,4.0,14.0,48.0,1.0,7,
143,航天大厦(南楼),2,18.0,24.0,3.04,34.0,11.0,2.0,4.0,17.0,1.0,7,
144,E仓创意园区（二期）,2,8.0,3.0,3.85,63.0,2.0,2.0,5.0,21.0,1.0,7,
145,谷泰滨江大厦,2,15.0,26.0,3.04,7.0,5.0,0.0,2.0,6.0,0.0,5,3.17
146,友力国际大厦,3,10.0,24.0,5.37,57.0,7.0,0.0,4.0,26.0,1.0,6,
147,大宁音乐广场,3,,,4.56,9.0,0.0,2.0,5.0,5.0,0.0,5,1.0
148,建国商务中心,2,,,8.78,75.0,4.0,9.0,7.0,30.0,3.0,7,
149,景源时尚产业园,2,,3.0,3.65,43.0,1.0,2.0,6.0,25.0,0.0,6,7.75
150,张江润和国际总部园,3,12.0,6.0,4.06,1.0,0.0,0.0,1.0,1.0,0.0,4,2.56
151,中环商务大厦,3,17.0,22.0,3.55,54.0,6.0,3.0,7.0,36.0,1.0,7,
152,世纪汇广场,3,,,10.97,53.0,6.0,2.0,5.0,21.0,1.0,7,
153,歆翱智慧谷,2,1.0,6.0,1.83,6.0,2.0,1.0,6.0,8.0,1.0,7,
154,巨丰国际商务广场,3,12.0,6.0,3.55,13.0,0.0,3.0,4.0,7.0,0.0,5,3.65
155,盛大天地青春里2.0,3,2.0,21.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,1,
156,华庆办公楼,2,,4.0,3.65,107.0,29.0,3.0,0.0,33.0,0.0,5,
157,中联大厦,2,20.0,30.0,2.64,38.0,2.0,5.0,6.0,38.0,3.0,7,
158,衡谷1976园区,3,1.0,5.0,3.55,1.0,0.0,0.0,0.0,0.0,0.0,2,
159,会德丰国际广场,3,8.0,54.0,10.35,95.0,19.0,11.0,6.0,28.0,1.0,7,
160,虹桥晶座,3,8.0,9.0,4.06,17.0,2.0,8.0,1.0,15.0,1.0,7,6.6
161,中达广场,3,21.0,28.0,5.07,37.0,1.0,0.0,4.0,32.0,2.0,6,6.0
162,龙湖郦城MOCO国际,3,7.0,29.0,2.53,18.0,11.0,0.0,9.0,24.0,0.0,5,
163,万得中心,3,2.0,18.0,7.1,1.0,0.0,0.0,0.0,0.0,0.0,2,
164,百丽国际广场,3,7.0,22.0,5.27,20.0,5.0,3.0,4.0,13.0,0.0,6,
165,阿里中心,3,1.0,15.0,4.56,22.0,2.0,2.0,3.0,11.0,0.0,6,
166,医谷・现代商务园,3,8.0,5.0,2.23,10.0,0.0,2.0,0.0,5.0,0.0,4,8.0
167,浦发财富广场,3,11.0,25.0,3.04,41.0,2.0,1.0,4.0,17.0,1.0,7,3.72
168,三九大厦,3,21.0,21.0,5.61,22.0,5.0,10.0,1.0,27.0,1.0,7,
169,外滩金融中心,3,,,9.13,24.0,4.0,13.0,9.0,37.0,0.0,6,3.4
170,宏慧视界BOX,3,2.0,6.0,3.85,0.0,7.0,0.0,2.0,21.0,1.0,5,1.6
171,之俊大厦主楼,3,13.0,28.0,3.4,61.0,0.0,2.0,4.0,19.0,1.0,6,
172,健康智谷,3,,,3.04,17.0,0.0,1.0,3.0,15.0,0.0,5,3.2
173,天科国际大厦,2,9.0,17.0,1.94,25.0,13.0,0.0,2.0,43.0,0.0,5,
174,顶禾商务广场,3,,,5.07,12.0,21.0,1.0,8.0,35.0,0.0,6,3.13
175,中房华东大厦,2,14.0,26.0,2.84,62.0,1.0,2.0,5.0,32.0,0.0,6,5.5
176,虹桥丽宝广场,3,2.0,8.0,6.59,0.0,0.0,3.0,0.0,5.0,0.0,3,
177,禹洲金桥国际二期,2,9.0,18.0,1.75,27.0,0.0,1.0,1.0,7.0,0.0,5,1.4
178,创新大楼,2,18.0,21.0,3.55,4.0,2.0,0.0,3.0,8.0,1.0,6,
179,虹口图书馆写字楼,3,,18.0,3.02,22.0,5.0,10.0,1.0,27.0,1.0,7,1.9
180,金大地商务楼,2,12.0,7.0,3.24,17.0,4.0,4.0,7.0,29.0,2.0,7,
181,悦达889中心,3,9.0,32.0,6.94,55.0,4.0,8.0,3.0,23.0,3.0,7,4.85
182,鲁能大厦,3,10.0,15.0,1.52,0.0,0.0,0.0,1.0,1.0,1.0,4,
183,长春商务楼,2,7.0,12.0,2.84,23.0,4.0,3.0,3.0,22.0,2.0,7,
184,绿地峰尚汇,3,3.0,8.0,1.48,0.0,0.0,1.0,2.0,4.0,0.0,4,4.0
185,斯米克大厦,3,21.0,22.0,4.36,55.0,8.0,10.0,3.0,24.0,2.0,7,
186,华诚大厦,2,21.0,9.0,3.85,52.0,8.0,14.0,6.0,29.0,1.0,7,
187,浦东假日酒店,2,17.0,36.0,4.56,0.0,0.0,5.0,5.0,6.0,1.0,5,1.7
188,亚龙国际广场,2,11.0,10.0,2.23,55.0,6.0,14.0,25.0,56.0,1.0,7,
189,南翔新华悦都酒店式公寓,3,2.0,15.0,1.93,16.0,3.0,5.0,4.0,0.0,0.0,5,10.65
190,统一企业大厦,2,11.0,8.0,4.06,16.0,2.0,2.0,2.0,17.0,1.0,7,6.07
191,燎申漕宝大厦,2,13.0,12.0,3.24,19.0,4.0,0.0,5.0,15.0,1.0,6,
192,红星国际广场,3,,,1.32,5.0,0.0,1.0,1.0,0.0,1.0,5,
193,浦东丰华园,2,9.0,8.0,4.06,11.0,2.0,0.0,1.0,15.0,1.0,6,6.0
194,新塘桥生活广场,1,12.0,22.0,2.75,42.0,19.0,8.0,2.0,27.0,2.0,7,
195,世达商务中心,3,1.0,5.0,3.55,16.0,3.0,2.0,1.0,22.0,1.0,7,5.8
196,龙之梦雅仕大厦,3,7.0,34.0,7.1,98.0,0.0,7.0,8.0,35.0,1.0,6,
197,融汇958创意园,3,,,4.38,13.0,2.0,6.0,10.0,18.0,0.0,6,7.0
198,日月光集团,3,1.0,9.0,5.07,0.0,0.0,0.0,1.0,2.0,0.0,3,4.18
199,惠达大厦,1,22.0,15.0,3.55,75.0,16.0,11.0,12.0,0.0,2.0,6,
200,国立大厦,3,18.0,24.0,5.11,76.0,25.0,9.0,4.0,37.0,1.0,7,3.6
201,华敏翰尊国际大厦,3,,25.0,4.87,95.0,16.0,1.0,9.0,23.0,1.0,7,5.33
202,徐汇易园,3,6.0,6.0,3.24,76.0,11.0,4.0,10.0,36.0,0.0,6,4.42
203,太湖世家国际大厦,3,12.0,25.0,5.27,10.0,0.0,2.0,3.0,5.0,0.0,5,3.0
204,半岛科技园,2,11.0,6.0,4.06,3.0,0.0,0.0,1.0,1.0,0.0,4,9.75
205,锦城大厦,3,23.0,26.0,2.83,42.0,1.0,0.0,4.0,28.0,2.0,6,9.0
206,开隆大厦,1,19.0,12.0,2.54,56.0,3.0,5.0,5.0,41.0,1.0,7,7.8
207,浦东嘉里城,3,8.0,43.0,8.11,0.0,0.0,4.0,12.0,9.0,1.0,5,4.03
208,梅陇镇新都会,3,11.0,10.0,2.03,10.0,1.0,4.0,1.0,5.0,0.0,6,9.31
209,宇航大厦,2,20.0,28.0,3.04,105.0,4.0,0.0,6.0,73.0,1.0,6,4.2
210,上海金虹桥商务广场,3,,1.0,3.85,21.0,1.0,0.0,0.0,12.0,0.0,4,8.85
211,尚嘉中心,3,6.0,31.0,7.71,33.0,3.0,10.0,8.0,22.0,0.0,6,
212,景明商务大厦,3,13.0,23.0,2.49,18.0,0.0,0.0,1.0,26.0,1.0,5,3.8
213,金外滩国际广场,3,,,7.1,41.0,4.0,5.0,6.0,28.0,0.0,6,
214,沪东金融大厦,3,18.0,21.0,3.55,30.0,3.0,20.0,3.0,28.0,3.0,7,9.2
215,晶采世纪大厦,3,13.0,25.0,6.08,140.0,9.0,17.0,26.0,43.0,3.0,7,4.5
216,中建时代广场,3,2.0,17.0,6.08,12.0,0.0,7.0,0.0,9.0,0.0,4,
217,国家电网,3,,,6.08,46.0,5.0,6.0,5.0,0.0,0.0,5,3.72
218,上海大中里,3,,,10.14,128.0,15.0,11.0,26.0,38.0,3.0,7,6.2
219,明天广场,3,15.0,55.0,6.5,105.0,12.0,12.0,22.0,34.0,1.0,7,
220,930创意园,2,9.0,8.0,3.55,37.0,7.0,1.0,7.0,0.0,1.0,6,5.8
221,天华信息科技园,3,10.0,10.0,4.06,41.0,6.0,0.0,4.0,16.0,4.0,6,
222,上海科技京城,3,21.0,33.0,3.55,96.0,3.0,17.0,0.0,57.0,2.0,6,3.9
223,金虹桥广场,3,7.0,15.0,3.35,21.0,1.0,0.0,0.0,12.0,0.0,4,
224,上海广场,3,20.0,36.0,6.0,57.0,7.0,24.0,29.0,43.0,3.0,7,7.47
225,上海开文大厦,2,6.0,5.0,3.45,1.0,0.0,0.0,0.0,0.0,0.0,2,
226,上海商城,3,28.0,48.0,9.94,0.0,22.0,19.0,9.0,36.0,1.0,6,4.5
227,云端电商家园,3,2.0,4.0,2.53,0.0,0.0,0.0,1.0,5.0,0.0,3,4.0
228,华闻国际大厦,2,12.0,20.0,4.16,30.0,3.0,1.0,5.0,19.0,1.0,7,4.17
229,太平金融大厦,3,7.0,38.0,10.14,18.0,2.0,6.0,9.0,15.0,1.0,7,3.55
230,嘉里中心,3,20.0,26.0,10.14,116.0,4.0,12.0,0.0,30.0,1.0,6,4.5
231,明申中心大厦,3,16.0,2.0,3.85,33.0,1.0,6.0,6.0,15.0,2.0,7,
232,1930鑫鑫创意园,2,14.0,5.0,3.55,26.0,12.0,2.0,8.0,46.0,1.0,7,
233,机电大厦,2,25.0,25.0,3.65,63.0,1.0,4.0,5.0,37.0,1.0,7,3.29
234,虹漕园,2,12.0,12.0,3.04,3.0,2.0,0.0,2.0,11.0,0.0,5,7.0
235,上海松川大厦,3,1.0,9.0,1.62,0.0,0.0,0.0,1.0,4.0,0.0,3,5.97
236,瑞都大厦,2,8.0,9.0,4.26,20.0,3.0,8.0,1.0,0.0,1.0,6,6.8
237,恒达广场,2,16.0,24.0,2.78,85.0,6.0,5.0,6.0,0.0,2.0,6,5.28
238,花园坊上海节能环保中心,2,11.0,8.0,3.55,22.0,5.0,10.0,1.0,27.0,1.0,7,3.56
239,复兴广场,2,20.0,6.0,6.76,0.0,15.0,6.0,15.0,32.0,1.0,6,
240,金城大厦,2,13.0,28.0,2.82,77.0,3.0,0.0,4.0,24.0,2.0,6,5.78
241,久事大厦,3,17.0,40.0,6.47,28.0,5.0,5.0,5.0,32.0,0.0,6,4.66
242,冠捷科技大楼,3,,,7.1,22.0,2.0,2.0,3.0,11.0,0.0,6,3.7
243,虹桥525创意园,2,7.0,5.0,3.35,21.0,5.0,7.0,0.0,12.0,0.0,5,7.05
244,世纪时空,3,16.0,30.0,4.33,0.0,6.0,15.0,6.0,36.0,1.0,6,
245,德宏大厦,3,11.0,13.0,3.55,38.0,1.0,1.0,3.0,10.0,0.0,6,
246,慧创国际C-2区,3,5.0,9.0,2.64,10.0,0.0,0.0,3.0,8.0,0.0,4,
247,新金桥大厦,3,20.0,39.0,2.84,3.0,0.0,0.0,2.0,1.0,0.0,4,
248,珠江创意中心,3,9.0,,4.06,17.0,0.0,1.0,3.0,14.0,1.0,6,
249,绿地蓝海,3,10.0,20.0,4.16,5.0,0.0,1.0,4.0,8.0,1.0,6,10.5
250,大吉地世贸大厦,2,11.0,9.0,4.58,70.0,14.0,3.0,12.0,23.0,0.0,6,
251,上海环球实业大厦,3,8.0,6.0,12.0,31.0,5.0,1.0,2.0,19.0,2.0,7,
252,外滩德必WE,3,,,8.05,32.0,0.0,20.0,11.0,34.0,0.0,5,
253,港汇恒隆广场,3,13.0,50.0,3.95,71.0,4.0,17.0,10.0,30.0,3.0,7,
254,东方世纪大厦,3,15.0,24.0,4.06,29.0,3.0,5.0,9.0,17.0,0.0,6,
255,宏伊国际广场,3,12.0,32.0,7.61,189.0,18.0,27.0,11.0,81.0,1.0,7,4.0
256,绿地公园广场,3,5.0,15.0,1.45,13.0,0.0,4.0,1.0,5.0,0.0,5,
257,嘉文国际中心,3,12.0,18.0,6.9,18.0,0.0,1.0,2.0,11.0,1.0,6,8.0
258,亚太企业大厦,3,7.0,19.0,4.06,81.0,4.0,16.0,12.0,28.0,1.0,7,
259,汇智创意园,2,,7.0,3.29,56.0,8.0,1.0,5.0,49.0,1.0,7,5.0
260,上海现代交通商务大厦,3,11.0,24.0,3.75,44.0,3.0,6.0,3.0,18.0,1.0,7,
261,青慧谷,3,,,4.11,2.0,0.0,0.0,20.0,12.0,0.0,4,
262,由由国际广场,3,11.0,37.0,6.08,44.0,22.0,8.0,2.0,27.0,3.0,7,
263,新华园,3,8.0,9.0,3.35,17.0,1.0,2.0,5.0,29.0,0.0,6,
264,尚品都汇,3,,8.0,4.56,7.0,0.0,3.0,1.0,11.0,0.0,5,6.1
265,阳明国际创业园,2,,6.0,1.52,1.0,0.0,0.0,0.0,2.0,0.0,3,9.61
266,新银大厦,3,21.0,22.0,3.35,3.0,3.0,0.0,3.0,9.0,0.0,5,2.63
267,同叶大厦,3,10.0,17.0,2.84,32.0,12.0,2.0,0.0,38.0,1.0,6,3.5
268,新一百大厦,3,20.0,22.0,5.07,190.0,5.0,20.0,7.0,62.0,1.0,7,
269,建工•汇豪商务广场,3,,,4.21,0.0,8.0,2.0,1.0,7.0,0.0,5,6.76
270,新凤城商务中心,2,14.0,3.0,2.67,39.0,9.0,2.0,5.0,0.0,1.0,6,7.54
271,民润大厦,2,9.0,16.0,3.75,6.0,5.0,0.0,3.0,8.0,1.0,6,3.8
272,恒大长青坊创新园,3,,4.0,3.19,13.0,2.0,1.0,4.0,28.0,1.0,7,
273,鑫达商务楼,2,11.0,8.0,5.68,5.0,0.0,3.0,0.0,0.0,0.0,3,
274,中国船舶大厦,3,21.0,24.0,7.61,0.0,5.0,2.0,5.0,31.0,0.0,5,
275,科苑大楼,2,17.0,15.0,4.56,6.0,0.0,0.0,2.0,6.0,0.0,4,
276,金陵商务广场,3,10.0,12.0,3.24,4.0,2.0,0.0,4.0,6.0,0.0,5,
277,东渡国际大厦,3,7.0,12.0,4.56,3.0,4.0,2.0,4.0,5.0,0.0,6,
278,银海大厦,2,24.0,12.0,2.84,103.0,0.0,4.0,8.0,26.0,1.0,6,
279,弘基创邑国际园,2,11.0,5.0,4.87,51.0,8.0,1.0,7.0,28.0,0.0,6,10.28
280,金阳大厦,2,19.0,22.0,3.0,35.0,2.0,4.0,5.0,29.0,3.0,7,
281,华依创新园,3,14.0,3.0,3.85,6.0,0.0,1.0,2.0,2.0,0.0,5,6.0
282,虹桥世界中心,3,4.0,9.0,4.06,85.0,0.0,0.0,0.0,4.0,0.0,3,
283,新世纪办公中心,2,23.0,21.0,5.58,50.0,7.0,13.0,6.0,28.0,0.0,6,
284,七莘红点城,3,2.0,25.0,3.55,27.0,2.0,1.0,2.0,15.0,0.0,6,3.91
285,舜元企业发展大厦A栋,3,11.0,30.0,6.08,0.0,0.0,0.0,5.0,22.0,2.0,4,6.5
286,环贸iapm,3,7.0,35.0,8.11,160.0,0.0,5.0,11.0,30.0,1.0,6,5.0
287,柳林大厦,3,,33.0,5.63,52.0,7.0,19.0,25.0,51.0,1.0,7,
288,漕河泾易园,2,5.0,6.0,3.24,76.0,11.0,4.0,10.0,35.0,0.0,6,1.64
289,中信五牛城,2,22.0,33.0,4.06,25.0,6.0,0.0,1.0,7.0,0.0,5,5.42
290,嘉春753园区,3,,10.0,6.29,70.0,0.0,1.0,7.0,21.0,2.0,6,
291,东华创意园,3,,,4.66,36.0,9.0,2.0,9.0,22.0,0.0,6,
292,君庭广场,2,4.0,12.0,4.06,4.0,3.0,1.0,0.0,9.0,2.0,6,7.5
293,平高广场,3,3.0,5.0,2.74,20.0,2.0,2.0,6.0,16.0,1.0,7,
294,鹰大虹桥科技园,3,7.0,6.0,3.55,3.0,1.0,3.0,1.0,7.0,0.0,6,5.53
295,中意国际,3,,,1.83,2.0,0.0,0.0,0.0,0.0,0.0,2,3.25
296,新曹杨高新技术工业园区,2,,5.0,3.04,10.0,0.0,0.0,6.0,21.0,1.0,5,3.3
297,加华商务中心,2,24.0,7.0,3.85,37.0,47.0,2.0,6.0,26.0,2.0,7,2.4
298,优豪创展中心,2,8.0,7.0,3.08,29.0,13.0,3.0,3.0,19.0,1.0,7,
299,乐都大厦,3,9.0,20.0,2.33,20.0,3.0,2.0,6.0,18.0,1.0,7,1.0
300,星创科技广场,3,2.0,11.0,5.17,8.0,1.0,1.0,0.0,1.0,0.0,5,6.5
301,江南造船大厦,2,17.0,28.0,4.06,31.0,7.0,1.0,6.0,27.0,2.0,7,
