,名称,地址,类型,级别,物业费,空调类型,客梯数,货梯数,车位月租金,地上车位数,网络通讯,地下车位数,物业公司,楼内配套,入驻企业,安防系统,楼层数,竣工时间,总面积,标准层面积,标准层高,地下车位数2,净高,开发商,大堂层高,是否涉外,可注册,开间面积,外墙,租金
1053,盛邦国际大厦,虹口-四川北路-四川北路1318号,商业综合体,甲级,25,集中式中央空调,6,1,1800,,电信、联通、长城、移动、卫通,130,戴德梁行房地产咨询（上海）有限公司,银行、ATM、餐饮、便利店,企业名称：东菱国际货物运输代理有限公司，所属行业：物流/运输、企业名称：大森回漕国际物流(上海)有限公司，所属行业：物流/运输、企业名称：边行（中国）有限公司，所属行业：政府/非赢利机构/其他、企业名称：上海拓洋国际物流有限公司，所属行业：物流/运输、企业名称：杭州加多宝饮料有限公司，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、便利店,33,2009年5月,56278,1728.88,3.9,130,2.5,雷富房地产（上海）有限公司,8,True,True,148m²、301m²、311m²、296m²、226m²,玻璃幕墙,6.08
1054,佳预信息科技大厦,松江-九亭-上海市沪松公路1177号,写字楼,甲级,15,集中式中央空调,12,4,500,126,电信、联通、移动,300,上海佳预科技发展有限公司,食堂、银行、ATM、便利店、商务中心、会议室、会展中心,,食堂、银行、ATM、便利店、商务中心、会议室、会展中心,10,2011年9月,77682,,,300,,上海佳预科技发展有限公司,,True,True,,玻璃幕墙,3.04
1056,上海证券大厦,浦东-陆家嘴-浦东南路528号,写字楼,甲级,29.1,集中式中央空调,12,2,1500,27,电信、联通、移动、卫通,197,上海保利物业酒店管理公司,银行,企业名称：浦利地产，所属行业：房地产/建筑、企业名称：汉沛达，所属行业：会计/金融/银行/保险、企业名称：尚璿餐饮管理有限公司，所属行业：贸易/消费/制造/营运、企业名称：江西铜业集团公司，所属行业：能源/原材料、企业名称：联创建筑设计有限公司，所属行业：房地产/建筑,银行,27,1997年12月,104000,1200,4,197,2.7,浦利房地产发展有限公司,8.5,True,True,100m²、200m²、300m²,玻璃幕墙,8.11
1057,中山万博国际中心,长宁-虹桥开发区-淮海西路666号,写字楼,甲级,28,集中式中央空调,12,2,1500,70,电信、联通、移动,330,戴德梁行,银行、ATM、餐饮、便利店、商务中心,企业名称：泰尔茂医疗产品(上海)有限公司上海分公司，所属行业：贸易/消费/制造/营运、企业名称：上海凯旋城市信用合作社，所属行业：会计/金融/银行/保险,银行、ATM、餐饮、便利店、商务中心,28,2011年3月,52895,1671.43,3.8,330,2.8,上海万博房地产开发有限公司,8,True,True,228m²、300m²、307m²,玻璃幕墙,6.29
1058,惠生中心,浦东-张江-中科路699号,写字楼,甲级,24,,,,,,,,,,,,10,,,,,,,,,True,True,,,4.06
1059,E仓创意园区（二期）,普陀-长寿路-叶家宅路116号,创意园区,乙级,3,分体空调,1,1,300,8,电信、长城、移动、卫通,35,周家桥文化创意有限公司,银行、食堂、会议室,企业名称：唐人电影制作公司，所属行业：广告/媒体、企业名称：罗浮紫艺术典藏，所属行业：贸易/消费/制造/营运、企业名称：人英网络，所属行业：计算机/互联网/通信/电子、企业名称：三圣建筑设计事务所，所属行业：专业服务/教育/培训、企业名称：比可蒙多广告公司.，所属行业：广告/媒体,银行、食堂、会议室,3,2010年6月,5700,1000,7.8,35,3.2,香港时尚生活中心集团公司,5,False,True,130-400m2m²、m²,玻璃幕墙,4.06
1062,禹洲金桥国际一期,浦东-金桥-金港路333号,写字楼,甲级,6.9,,,,,,,,,,,,19,,,,,,,,,True,True,,,1.47
1063,国金中心,浦东-陆家嘴-世纪大道8号,商业综合体,甲级,40,集中式中央空调,32,4,1500,300,电信、联通、长城、铁通、移动、卫通、有线通,1000,新鸿基物业管理公司,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,企业名称：富国基金，所属行业：会计/金融/银行/保险、企业名称：奇瑞量子汽车有限公司，所属行业：贸易/消费/制造/营运、企业名称：安迈铝业贸易（青岛）有限公司，所属行业：能源/原材料、企业名称：哈弗中心（上海）有限公司，所属行业：政府/非赢利机构/其他、企业名称：上海重阳投资管理有限公司，所属行业：会计/金融/银行/保险,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,45,2010年1月,370000,2500,4.2,1000,3,新鸿基地产发展有限公司,8,True,True,300m²,玻璃幕墙,10.14
1067,上海映巷创意工场,长宁-中山公园-定西路727号,创意园区,乙级,8,分体空调,1,1,400,14,电信、移动,50,,食堂、银行、ATM、会议室、会展中心,企业名称：上海尚映仓咖啡厅有限公司，所属行业：政府/非赢利机构/其他、企业名称：上海尚映仓咖啡厅有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海盖狮公关策划有限公司，所属行业：广告/媒体、企业名称：上海松果广告艺术设计有限公司，所属行业：广告/媒体、企业名称：上海宣念建筑设计咨询公司，所属行业：房地产/建筑、企业名称：上海盖狮公关策划有限公司，所属行业：广告/媒体、企业名称：上海英仕设计有限公司，所属行业：房地产/建筑、企业名称：上海宣念建筑设计咨询公司，所属行业：房地产/建筑、企业名称：上海思衡商务咨询有限公司，所属行业：专业服务/教育/培训、企业名称：祁刚时装设计工作室，所属行业：贸易/消费/制造/营运,食堂、银行、ATM、会议室、会展中心,4,2007年12月,13000,1000,3.5,50,3.5,上海映巷文化传播有限公司,3.5,False,True,100-1000m²,面砖,3.55
1068,漕河泾现代服务业园区,徐汇-漕河泾-古美路1528号,写字楼,甲级,27,集中式中央空调,4,2,600,80,电信、联通、长城,800,漕河泾物业,银行、ATM、餐饮、便利店、食堂、商务中心、会议室、会展中心,企业名称：上海淘米网络科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：标致雪铁龙集团，所属行业：贸易/消费/制造/营运、企业名称：腾讯科技上海有限公司，所属行业：计算机/互联网/通信/电子、企业名称：深圳迈瑞生物医疗电子股份有限，所属行业：贸易/消费/制造/营运、企业名称：美光半导体上海有限责任公司，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、便利店、食堂、商务中心、会议室、会展中心,16,2010年1月,155000,1332,4,800,3.9,漕河泾开发区联合发展有限公司,7,True,True,1200m²,大理石,5.07
1073,金穗大厦,浦东-八佰伴-浦东南路379号,写字楼,甲级,23.2,,5,1,1000,,电信、联通、长城、移动、卫通,249,金玉兰物业管理公司,,企业名称：中国农业银行，所属行业：会计/金融/银行/保险、企业名称：上海铁菱国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：鑫裕盛船舶管理有限公司，所属行业：物流/运输、企业名称：机百利国际采购部，所属行业：贸易/消费/制造/营运、企业名称：上海钜派投资管理有限公司，所属行业：会计/金融/银行/保险,,27,1997年12月,40000,1141.4,3.8,249,2.4,上海新金穗实业集团,4,True,True,90m²、161m²、286m²,玻璃幕墙,5.07
1074,中信泰富广场,静安-静安寺-南京西路1168号,商业综合体,甲级,31.5,集中式中央空调,18,2,1500,100,电信、联通、长城、移动、卫通,388,中信泰富(上海)物业管理有限公司,银行、ATM、餐饮、商务中心、会议室、会展中心,企业名称：摩托罗拉，所属行业：会计/金融/银行/保险、企业名称：惠氏爱立信，所属行业：贸易/消费/制造/营运、企业名称：马来西亚驻上海领事馆，所属行业：政府/非赢利机构/其他、企业名称：上海碧迪医疗器械（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海动量广告传媒有限公司，所属行业：广告/媒体,银行、ATM、餐饮、商务中心、会议室、会展中心,45,2000年5月,71300,2000,4,388,2.7,上海老西门新苑置业有限公司,12,True,True,300m²,玻璃幕墙,9.13
1078,长江软件园,宝山-共康-长江南路180号,创意园区,甲级,6,分体空调,9,,,230,电信、联通、移动,,上海逸仙实业发展有限公司,,,,6,2012年12月,68000,10000,3.5,,2.9,上海逸仙实业发展有限公司,6,False,True,100m²,玻璃幕墙,2.74
1079,金汇四季广场,闵行-龙柏-闵行区金汇538号,写字楼,甲级,16,,,,,,,,,,,,,,,,,,,,,True,True,,,4.26
1080,永新大厦,长宁-中山公园-淮海中路887,写字楼,丙级,25,分体空调,1,1,,,,,上海东湖物业管理有限公司,商务中心,企业名称：会计，所属行业：会计/金融/银行/保险、企业名称：贸易，所属行业：贸易/消费/制造/营运、企业名称：广告，所属行业：广告/媒体、企业名称：计算机，所属行业：计算机/互联网/通信/电子、企业名称：房地产，所属行业：房地产/建筑,商务中心,3,1996年01月,32400,,,,50,香港永新集团,,False,False,,大理石,6.19
1081,华富大厦,徐汇-万体馆-龙华西路585号,写字楼,乙级,6.2,,3,1,,20,,100,上海景隆物业,银行、ATM、便利店、会议室,企业名称：新加坡理事，所属行业：贸易/消费/制造/营运、企业名称：天力集团，所属行业：贸易/消费/制造/营运、企业名称：东洋物产，所属行业：房地产/建筑、企业名称：方大集团，所属行业：贸易/消费/制造/营运,银行、ATM、便利店、会议室,22,,20000,1000,2.29,100,2.5,上海华富房产开发有限公司,3.5,True,True,200m²,,2.33
1083,中设广场,宝山-淞南高境-殷高路1号,写字楼,甲级,19,,,,,,,,中设物业,,,,26,2017年06月,,,,,,中设集团,,True,True,,,2.74
1084,森宏旗臻,浦东-三林-长清路1200弄,商业综合体,乙级,6,集中式中央空调,,2,,200,电信,152,上海迈元物业管理有限公司,便利店,,便利店,16,2014年1月,25524,,4.5,152,,上海浦阳置业有限公司,6,False,True,35m²、79m²,玻璃幕墙,2.33
1085,BHC中环中心,浦东-浦东外环-浦东御北路618号,商业综合体,甲级,25,,,,,,,,,,,,,,,,,,,,,True,True,,,3.45
1087,华闻国际大厦,长宁-虹桥开发区-中山西路999号,写字楼,乙级,24,分体空调,5,1,1000,30,长城、铁通、卫通,200,上海中远物业管理发展有限公司..,ATM、餐饮、便利店、商务中心、会议室,企业名称：中国广庆集团中国广庆集团上海办事处上海办事处，所属行业：房地产/建筑、企业名称：上海宏司计算机信息有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海声联网络科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海亚细亚瓷砖，所属行业：贸易/消费/制造/营运、企业名称：上海尚嘉咨询有限公司，所属行业：专业服务/教育/培训,ATM、餐饮、便利店、商务中心、会议室,20,2006年8月,50362,2500,2.7,200,2.7,上海华闻房地产开发有限公司,8,False,True,130m²、170m²、260m²、300m²、370m²,玻璃幕墙,4.06
