,名称,地址,类型,级别,物业费,空调类型,客梯数,货梯数,车位月租金,地上车位数,网络通讯,地下车位数,物业公司,楼内配套,入驻企业,安防系统,楼层数,竣工时间,总面积,标准层面积,标准层高,地下车位数2,净高,开发商,大堂层高,是否涉外,可注册,开间面积,外墙,租金
0,宝华国际广场,静安-彭浦-广中西路555号,写字楼,甲级,25,集中式中央空调,5,1,1000,30,电信、联通、长城、铁通、移动、卫通、有线通,320,上海安荣物业管理有限公司,食堂、银行、ATM、便利店、商务中心、会议室,企业名称：上海乐兔网络科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：宝华集团，所属行业：房地产/建筑、企业名称：真旅网，所属行业：计算机/互联网/通信/电子、企业名称：新华资本，所属行业：会计/金融/银行/保险、企业名称：绍兴集团，所属行业：专业服务/教育/培训,食堂、银行、ATM、便利店、商务中心、会议室,23,2011年3月,58602,1475,3,320,3,上海全存置业有限公司,8,True,True,115m²、120m²、130m²、140m²、350m²,玻璃幕墙,5.07
1,世博宝钢大厦,浦东-世博-浦东世博大道1859号,写字楼,甲级,35,,,,,,,,仲量联行,,,,24,2011年07月,,,,,,宝钢集团(上海)置业有限公司,,True,True,,,6.08
2,复地四季广场,杨浦-控江-长阳路1568号,商业综合体,甲级,10,集中式中央空调,1,1,800,415,,,复地物业管理公司,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,6,2010年3月,58000,3800,4.5,,3,复地集团,5.5,True,True,110m²,大理石,3.89
6,大虹桥国际中心,闵行-莘庄-黎安路999号,写字楼,甲级,28,,,,,,,,中建信控股集团,,,,28,2016年12月,,,,,,中建信控股集团,,True,True,,,4.36
7,汾阳路3号,徐汇-衡山路-汾阳路3号,商业综合体,乙级,28,集中式中央空调,2,1,1800,15,电信、移动,65,申大物业管理公司,ATM、餐饮、便利店,企业名称：上海国际交流有限公司，所属行业：专业服务/教育/培训、企业名称：基础教育杂志编辑部，所属行业：广告/媒体、企业名称：上海润坤商贸发展有限公司分公司，所属行业：贸易/消费/制造/营运、企业名称：教育宾馆，所属行业：专业服务/教育/培训、企业名称：上海市高等师范三结合培训办公室，所属行业：专业服务/教育/培训,ATM、餐饮、便利店,7,2011年5月,10781,750,4.8,65,3,上海华东师范大学教育发展基金会,33,True,True,150m²、513m²、750m²,大理石,7.1
9,城开国际大厦,徐汇-徐家汇-虹桥路355号,写字楼,甲级,28,集中式中央空调,6,2,1500,,电信、联通、铁通、移动、卫通,200,上海金茂英泰物业管理有限公司,银行、ATM、商务中心、会议室,企业名称：中国银行徐汇支行，所属行业：会计/金融/银行/保险、企业名称：强生(中国)投资有限公司，所属行业：政府/非赢利机构/其他、企业名称：强生（上海）医疗器材有限公司，所属行业：贸易/消费/制造/营运、企业名称：爱克发医疗系统设备（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：悦游计算机软件开发（上海）有限公司，所属行业：计算机/互联网/通信/电子、企业名称：利士包装，所属行业：广告/媒体、企业名称：三星中国投资有限公司上海分公公司，所属行业：计算机/互联网/通信/电子,银行、ATM、商务中心、会议室,15,2007年11月,45430,2499,3.5,200,2.7,上海城开（集团）有限公司,20,True,True,1m²、103m²、001m²、000m²,玻璃幕墙,6.3
10,英雄大厦,徐汇-万体馆-斜土路2669号,写字楼,丙级,4,,2,1,300,20,电信、联通、铁通、移动、卫通,26,,银行、ATM,企业名称：拓得机电设备安装有限公司，所属行业：专业服务/教育/培训、企业名称：上海敏诚善律师事务所，所属行业：专业服务/教育/培训、企业名称：上海春擎机电设备发展有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海乾年服饰有限公司，所属行业：贸易/消费/制造/营运、企业名称：锦益光电，所属行业：贸易/消费/制造/营运,银行、ATM,26,1997年12月,28000,1000,3.2,26,2.5,上海英雄集团,4,False,True,,玻璃幕墙,3.04
11,同济逸仙大厦,杨浦-五角场-逸仙路25号,写字楼,甲级,22,集中式中央空调,5,1,1000,45,电信、联通、移动,389,上海同科物业管理有限公司,银行、ATM、餐饮、便利店、商务中心、会议室,企业名称：上海鼎盛钢贸有限公司，所属行业：房地产/建筑,银行、ATM、餐饮、便利店、商务中心、会议室,18,2011年12月,54000,1600,3.9,389,2.9,上海同文置业有限公司,8,False,True,70m²、100m²、200m²、250m²、300m²、500m²,玻璃幕墙,4.06
13,恒达广场,静安-静安寺-长寿路285号,商业综合体,乙级,20,集中式中央空调,3,1,300,30,电信,130,上海恒达物业管理有限公司,银行、ATM、餐饮、商务中心、会议室、会展中心,企业名称：上海棉纺织印染联合有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海开天建设集团有限公司上海分公司，所属行业：房地产/建筑、企业名称：上海机械设备成套(集团)公司，所属行业：贸易/消费/制造/营运、企业名称：上海恒达科技发展有限股份有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海金铖科技发展有限公司，所属行业：计算机/互联网/通信/电子,银行、ATM、餐饮、商务中心、会议室、会展中心,24,2002年12月,28000,1017,3.54,130,3.4,上海恒达房地产开放有限公司,8,True,True,120m²、130m²、170m²,玻璃幕墙,2.92
15,永新广场,黄浦-南京东路-上海黄浦区南京西路128号,写字楼,甲级,35,集中式中央空调,8,1,1000,,电信、联通、移动,70,,银行、ATM、餐饮,企业名称：电通，所属行业：计算机/互联网/通信/电子、企业名称：柯达，所属行业：贸易/消费/制造/营运、企业名称：欧姆龙，所属行业：贸易/消费/制造/营运、企业名称：高露洁棕榈（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：巍珂-庆余户外广告公司，所属行业：广告/媒体、企业名称：美国美亚保险上海分公司，所属行业：会计/金融/银行/保险,银行、ATM、餐饮,22,1996年5月,25000,1450,3.6,70,2.4,上海永泰房地产开发有限公司,6,True,True,,,6.08
16,中西大厦,长宁-中山公园-江苏路121号,写字楼,甲级,15,半集中式中央空调,3,,800,27,电信、联通、长城、移动,100,嘉育物业,银行、ATM、餐饮、便利店,企业名称：上海欧美嘉旅行社有限公司，所属行业：专业服务/教育/培训、企业名称：上海呈信航空票务代理有限公司，所属行业：专业服务/教育/培训、企业名称：晔欣国际贸易(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海凯永信息技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：富山广告，所属行业：广告/媒体,银行、ATM、餐饮、便利店,20,2013年3月,18000,800,3.6,100,2.6,中锐集团,3,False,True,88m²、152m²、159平米m²,玻璃幕墙,4.46
17,乐平方,静安-大宁绿地-灵石路721号,创意园区,甲级,15,半集中式中央空调,1,1,,,电信、移动,,,ATM,,ATM,5,2013年3月,16000,1200,3.1,,3,上海锦和商业经营管理股份有限公司,4.5,True,True,30-500m²,涂料,3.56
18,德必柏航创意园,虹口-曲阳-中山北一路1200号,写字楼,甲级,10.8,,,,,,,,上海海尚海酒店管理有限公司,,,,7,2013年10月,,,,,,上海德必文化创意产业发展（集团）有限公司,,True,True,,,3.35
19,开开大厦,静安-曹家渡-万航渡路888号,写字楼,乙级,27,,6,1,300,,电信,156,上海安胜物业管理有限公司,银行、餐饮,企业名称：两岸咖啡，所属行业：贸易/消费/制造/营运、企业名称：上海蓝剑佳企信息技术服务有限公司，所属行业：计算机/互联网/通信/电子、企业名称：盈丰数码有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海博科资讯股份公司，所属行业：计算机/互联网/通信/电子、企业名称：新加坡动力科技上海代表处，所属行业：计算机/互联网/通信/电子,银行、餐饮,30,1998年5月,,1300,2.45,156,2.7,开开房地产发展有限公司,4,True,True,1300m²,玻璃幕墙,3.85
20,东方金融园,浦东-上南地区-东方路2981号,创意园区,甲级,18,分体空调,3,1,600,66,电信,200,东方金融园物业管理,餐饮、便利店,企业名称：上海丰华（集团）股份有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海鼎盛港机有限公司，所属行业：贸易/消费/制造/营运、企业名称：创厨（上海）餐饮管理有限公司，所属行业：专业服务/教育/培训、企业名称：上海大龙千相广告有限公司，所属行业：广告/媒体、企业名称：魔亚动画设计（上海）有限公司，所属行业：广告/媒体,餐饮、便利店,6,2011年3月,15000,2000,3.2,200,2.8,香港柏佳创建控股有限公司,6,True,True,60m²,大理石,3.85
21,创智天地广场三期,杨浦-五角场-淞沪路333号,写字楼,乙级,25,集中式中央空调,3,1,800,20,电信、联通、移动,472,,餐饮、干洗店,,餐饮、干洗店,6,2010年1月,6817,3408.4,5,472,4,上海杨浦中央社区发展有限公司,6,True,True,80m²,,5.07
22,海琪商务大厦,闵行-七宝-中春路6818号,写字楼,甲级,6,,,,,,,,,,,,,,,,,,,,,True,True,,,2.23
23,白金湾广场,虹口-北外滩-东大名路948、952号,写字楼,甲级,28,集中式中央空调,6,1,1300,,电信、联通、长城、铁通、移动、卫通、有线通,174,世邦魏理仕,银行、ATM、餐饮、便利店、商务中心、会议室,企业名称：香港先讯电器，所属行业：贸易/消费/制造/营运、企业名称：上海东安国际，所属行业：会计/金融/银行/保险、企业名称：荷兰金利集团，所属行业：贸易/消费/制造/营运、企业名称：法国艾比利时装，所属行业：贸易/消费/制造/营运、企业名称：日本利信行顾问，所属行业：专业服务/教育/培训,银行、ATM、餐饮、便利店、商务中心、会议室,20,2011年02月,33856,1042,3.9,174,3.2,上海莱因思置业有限公司,6.5,True,True,174m²、360m²,玻璃幕墙,3.33
24,上企置业广场,徐汇-漕河泾-虹梅路1123号,写字楼,乙级,12,分体空调,1,1,400,20,电信、联通、长城、铁通、移动、卫通、有线通,,上企投资集团,,,,3,,,,,,,,5.55,False,True,,,3.85
25,曹杨尚城国际,普陀-曹杨-曹杨路505号,写字楼,甲级,8,分体空调,4,1,800,568,电信、有线通,186,广州创佳物业,银行、ATM、餐饮、便利店、商务中心、会议室,企业名称：宝原地产，所属行业：房地产/建筑,银行、ATM、餐饮、便利店、商务中心、会议室,15,2008年10月,46000,725,5.5,186,5,肇庆市钰宏房地产有限公司,12,True,True,72m²、88m²、105m²,玻璃幕墙,3.24
27,禹洲广场,浦东-金桥-金港路299号,写字楼,甲级,23,,,,,,,,,,,,23,,,,,,,,,True,True,,,4.06
29,世宏金源中心,闵行-莘庄-七莘路1111号,写字楼,甲级,22,,,,,,,,,,,,,,,,,,,,,True,True,,,3.55
31,华联发展大厦,长宁-延安西路-新华路728号,写字楼,乙级,25,,4,,800,40,电信、联通、移动,33,,ATM、会议室,企业名称：吉特立国际，所属行业：贸易/消费/制造/营运、企业名称：华顺投资，所属行业：会计/金融/银行/保险、企业名称：德国瑰泰贸易（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海步界律师事务所，所属行业：专业服务/教育/培训、企业名称：上海亚古亚商贸有限公司，所属行业：贸易/消费/制造/营运,ATM、会议室,13,1905年6月,13261,800,3.4,33,2.5,上海申冠置业发展有限公司,4,True,True,50m²、80m²、130m²,玻璃幕墙,4.05
32,飞乐大厦二期,静安-大宁绿地-永和路390号,创意园区,甲级,10,,,,,,,,上海漕河泾物业管理有限公司,,,,10,2015年6月,,,,,,上海临港企业发展有限公司,,True,True,,,2.84
33,星展银行大厦,浦东-陆家嘴-陆家嘴环路1318号,写字楼,甲级,34,集中式中央空调,8,1,1500,,电信、联通、长城、铁通、移动、卫通、有线通,300,陆家嘴物业管理有限公司,餐饮、便利店,企业名称：国联安基金管理有限公司，所属行业：会计/金融/银行/保险、企业名称：万邦有利上海代表处，所属行业：会计/金融/银行/保险、企业名称：普华永道，所属行业：会计/金融/银行/保险、企业名称：黑石集团，所属行业：会计/金融/银行/保险、企业名称：上海大三和弦城市环境艺术有限公司，所属行业：专业服务/教育/培训,餐饮、便利店,18,2009年12月,46000,2600,4,300,3,上海陆家嘴金融贸易区开发股份有限公司,8,True,True,200m²、300m²,玻璃幕墙,10.14
35,BETA创意园,徐汇-肇嘉浜路-小木桥路600号,写字楼,乙级,10,分体空调,1,1,600,4,电信、联通、移动,15,上海希科陶瓷有限公司,银行、餐饮、便利店,企业名称：上海朗汇电子科技发展有限公司徐汇分公司，所属行业：计算机/互联网/通信/电子、企业名称：希科陶瓷电器有限公司，所属行业：房地产/建筑,银行、餐饮、便利店,5,2011年6月,2280,350,3.5,15,3.5,上海希科陶瓷有限公司,6,True,True,357m²,涂料,3.55
36,海尚杰座,杨浦-黄兴公园-营口路588号,商业综合体,甲级,3.5,半集中式中央空调,3,1,400,40,电信、联通、铁通,160,家悦管理有限公司,银行、ATM、餐饮、便利店、会议室,,银行、ATM、餐饮、便利店、会议室,16,2006年07月,20000,900,3.2,160,2.8,上海建工佳龙房产有限公司,8,True,True,50m²,玻璃幕墙,3.21
38,温商大厦,松江-九亭-茸梅路（外浜街与茸梅路交叉口西南50米）,商业综合体,甲级,20,,,,,,,,上海温商企业物业管理 有限公司,,,,25,2017年10月,,,,,,温州企业商会管理有限公司,,True,True,,,2.94
40,海上硕和城SOHO商务中心,杨浦-五角场-营口路与安波路交汇处,商业综合体,丙级,15,分体空调,6,1,500,800,电信、联通、长城、铁通、移动、卫通、有线通,20,,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,14,2012年10月,87000,1500,2.8,20,3,上海硕和房地产开发有限公司,5,True,True,90m²、390m²,涂料,2.84
43,界龙总部园,浦东-世纪公园-南洋泾路578号,写字楼,甲级,21,,,,,,,,,,,,,,,,,,,,,True,True,,,5.58
49,欧莱雅商务中心,闵行-七宝-上海闵行区中春路8923号,商业综合体,甲级,10,,,,,,,,,,,,,,,,,,,,,True,True,,,3.04
55,欧银集心大楼,闵行-春申-春申路2525号,写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,2.84
56,旺旺大厦,静安-南京西路-石门一路211号,写字楼,甲级,30,集中式中央空调,4,1,1800,15,电信、联通、铁通、移动、卫通,155,第一太平戴维斯物业顾问（上海）有限公司,银行、ATM、餐饮,企业名称：上海仲加通商贸咨询有限公司，所属行业：专业服务/教育/培训、企业名称：上海合成发电机有限公司，所属行业：贸易/消费/制造/营运、企业名称：西日本贸易（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：太平人寿保险上海，所属行业：会计/金融/银行/保险、企业名称：上海步升大风音乐文化传播，所属行业：广告/媒体,银行、ATM、餐饮,20,2007年2月,30000,1100,4,155,2.8,上海市神旺地产有限公司,8,True,True,2m²、305m²、001m²、000m²,大理石,6.9
57,知识产业园,杨浦-平凉路-杨浦区军工路100号,写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,2.74
58,张江盛银大厦,浦东-张江-浦东银东路、盛夏路口,写字楼,甲级,13.8,,3,1,,,,349,新张江物业,,,,10,,53795,1500,4.5,349,,上海张江高科技园区开发股份有限公司,,True,True,,涂料,4.06
61,龙湖北城天街,宝山-顾村-陆翔路1018弄,商业综合体,甲级,4.5,,,,,,,,高力国际物业有限公司,,,,16,2017年12月,,,,,,上海恒青房地产有限公司,,True,True,,,2.32
68,伯爵居,黄浦-打浦桥-瑞金二路411号,综合写字楼,甲级,,,,,,,,,,,,,20,,,,,,,,,True,True,,,6.08
71,爱美高大厦,徐汇-淮海西路-淮海中路1325号,商业综合体,甲级,29,集中式中央空调,4,1,1860,36,电信、联通、长城、铁通、移动、卫通、有线通,400,上海永南物业,银行、ATM、餐饮、会议室,企业名称：拓扑思达(上海)国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：美国屹龙国际有限公司上海代表处，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、会议室,23,1997年1月,24525,994,3.2,400,2.6,上海金海大厦有限公司,3.5,True,True,104m²、118m²、136m²、156m²,玻璃幕墙,8.11
72,康桥EONE,浦东-浦东外环-康桥东路111号,写字楼,甲级,15,,,,,,,,证大物业,,,,5,2017年8月,,,,,,康桥实业发展(集团)有限公司,,True,True,,,3.04
73,电信实业大楼,长宁-中山公园-江苏路500号,写字楼,甲级,17.2,,,,,,,,,,,,,,,,,,,,,True,True,,,3.24
74,上海国际研发总部基地,宝山-上海大学-沪太路2999号,创意园区,甲级,10,集中式中央空调,2,,,181,电信、联通,613,上海复瑞物业管理有限公司,银行、餐饮、便利店,,银行、餐饮、便利店,5,2012年12月,109543,1800,3.7,613,,上海铁大场置业有限公司,3.7,True,True,1800m²、9200m²,玻璃幕墙,2.64
75,国盛中心二期,普陀-长风商务区-中江路388弄,写字楼,甲级,11.5,,,,,,,,上海上房物业有限公司,,,,,2015年12月,,,,,,上海新浩隆房地产开发有限公司,,True,True,,,3.55
77,德必WE静安文化创意园,静安-静安寺-延平路135号,写字楼,甲级,18.2,,,,,,,,,,,,,,,,,,,,,True,True,,,7.1
78,中区广场,黄浦-人民广场-黄陂北路227号,商业综合体,甲级,30,,8,2,150,15,电信、联通、铁通、移动、卫通,170,仲量联行物业,餐饮,企业名称：波士顿咨询，所属行业：贸易/消费/制造/营运、企业名称：AC尼尔森，所属行业：广告/媒体、企业名称：丹沙货运，所属行业：物流/运输、企业名称：埃梯梯工业，所属行业：贸易/消费/制造/营运、企业名称：盖尔玛贸易，所属行业：贸易/消费/制造/营运,餐饮,26,1998年3月,45228,1700,3.6,170,2.6,上海中区地产有限公司,7,True,True,,玻璃幕墙,8.11
80,聚安大厦,静安-南京西路-乌鲁木齐北路211号,写字楼,乙级,9,分体空调,2,,400,20,电信、联通、移动、有线通,20,,餐饮、便利店,企业名称：福冈日本料理，所属行业：贸易/消费/制造/营运、企业名称：萨莉亚南京西路店，所属行业：贸易/消费/制造/营运、企业名称：上海洛垦进出口有限公司，所属行业：贸易/消费/制造/营运、企业名称：高达(上海)工程咨询有限公司，所属行业：专业服务/教育/培训、企业名称：贝泽机电设备，所属行业：贸易/消费/制造/营运,餐饮、便利店,10,2000年8月,13000,1000,3.2,20,2.4,意创投资有限公司,4.5,False,True,30m²、46m²、75m²、150m²,玻璃幕墙,4.17
81,新业大楼,徐汇-漕河泾-田林路388号,写字楼,甲级,4.7,半集中式中央空调,4,1,500,55,电信、长城、铁通、移动,250,上海漕河泾开发区物业管理有限公司,ATM、餐饮、便利店、食堂,企业名称：金瑞教育，所属行业：专业服务/教育/培训,ATM、餐饮、便利店、食堂,12,1995年1月,13000,1300,2.6,250,2.4,上海漕河泾新兴技术开发区,4.2,True,True,757m²,面砖,3.35
82,上海滩国际大厦,虹口-北外滩-黄浦路99号,商业综合体,甲级,24,,10,2,130,175,电信、联通、长城、铁通、移动、卫通,175,仲量联行,食堂、银行、ATM、餐饮、便利店,企业名称：加德士石油，所属行业：能源/原材料、企业名称：美洲俱乐部，所属行业：专业服务/教育/培训、企业名称：美国格莱仕工业公司上海代表处，所属行业：政府/非赢利机构/其他、企业名称：香港威球船务（亚洲）有限公司，所属行业：物流/运输、企业名称：上海万升国际货运代理有限公司，所属行业：物流/运输,食堂、银行、ATM、餐饮、便利店,29,1997年12月,46500,1602,3.8,175,2.7,上海三丰置业有限公司,5,True,True,127m²、129m²、156m²、190m²、199m²,玻璃幕墙,5.37
84,运动Loft,虹口-虹口足球场-花园路128号,创意园区,甲级,30,分体空调,7,1,350,50,电信、联通、长城、铁通、移动,500,德必地产,ATM、餐饮、便利店、商务中心、会议室、会展中心,企业名称：上海世爵汽车租赁服务有限公司，所属行业：专业服务/教育/培训、企业名称：上海人杰文化传播有限公司，所属行业：广告/媒体、企业名称：艾罗照明有限公司上海分公司，所属行业：贸易/消费/制造/营运、企业名称：上海博图格菲文化传播有限公司，所属行业：广告/媒体、企业名称：上海佳乐美广告传播有限公司，所属行业：广告/媒体,ATM、餐饮、便利店、商务中心、会议室、会展中心,6,2008年9月,38480,2000,6,500,3.3,德必地产,7,False,False,50m²、100m²、200m²、300m²,花岗石,3.55
85,乾锦创业园,闵行-莘庄-七莘路50号,写字楼,甲级,,,,,,,,,上海乾锦物业管理公司,,,,5,2014年10月,,,,,,上海乾锦物业管理公司,,True,True,,,3.65
86,文通东外滩中心,杨浦-平凉路-平凉路2313号,写字楼,甲级,28,,,,,,,,戴德梁行物业有限公司,,,,6,2017年1月,,,,,,上海浦云房地产开发有限公司,,True,True,,,3.85
87,上海明珠创意园,虹口-曲阳-汶水东路291号,创意园区,乙级,15,分体空调,2,1,350,200,电信、联通、有线通,,,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心,企业名称：上海古玛文化传播有限公司，所属行业：广告/媒体、企业名称：上海致元自动化科技有限公司，所属行业：能源/原材料,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心,6,2011年2月,10000,1900,5,,3,上海科房投资有限公司,3.8,False,True,200m²,面砖,3.24
90,静安中华大厦,静安-静安寺-北京西路1071号,写字楼,甲级,24,,5,1,1200,15,电信、联通、长城、移动、卫通,150,上海中企物业管理有限公司,银行、ATM,企业名称：嘉圆教育信息咨询有限公司，所属行业：专业服务/教育/培训、企业名称：德国MAXBAHR公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：亚洲钢材冶金有限公司，所属行业：贸易/消费/制造/营运、企业名称：香港康达医药化工有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海完美珠宝商贸有限公司，所属行业：贸易/消费/制造/营运、企业名称：香港CST国际(香港)有限公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：奥地利安东帕中国有限公司，所属行业：贸易/消费/制造/营运、企业名称：博韦尔(上海)国际贸易有限公司，所属行业：贸易/消费/制造/营运,银行、ATM,30,2005年3月,40000,1300,3.6,150,2.7,上海中静房地产发展有限公司,6,True,True,100m²、150m²、200m²,玻璃幕墙,5.88
91,首东国顺大厦,杨浦-五角场-国顺东路19号,写字楼,甲级,15,,,,,,,,,,,,15,,,,,,,,,True,True,,,2.74
99,一佰杉杉大厦,浦东-竹园商贸区-东方路985号,写字楼,甲级,22,集中式中央空调,4,1,500,50,电信、卫通,100,上海一百物业管理有限公司,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,企业名称：上海恩可埃认证有限公司，所属行业：专业服务/教育/培训、企业名称：宁波杉杉集团，所属行业：贸易/消费/制造/营运、企业名称：上海地创网络技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：日京投资咨询服务(上海)有限公司，所属行业：计算机/互联网/通信/电子、企业名称：韦天文化传播有限公司，所属行业：广告/媒体,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,25,1996年1月,50000,1000,3,100,2.7,上海一百集团房地产有限公司,6.6,False,True,200m²,,4.06
100,快易名商商务中心,黄浦-新天地-徐家汇路126号,商业综合体,甲级,15,分体空调,3,1,800,10,电信、移动,,上海达润投资管理有限公司,商务中心、会议室,,商务中心、会议室,7,2012年3月,6600,1400,3.2,,2.6,上海达润投资管理有限公司,5,True,True,20m²、40m²、100m²、1100m²,涂料,2
104,上海北京大学微电子研究院孵化器,浦东-张江-盛夏路608号,写字楼,乙级,10,分体空调,4,1,800,50,电信、联通、移动,300,,会议室,,会议室,60,2007年6月,516546,8000,3,300,3,上海北京大学微电子研究院与上海张江高科集成电路产业区开发有限公司,5,False,True,112m²、210m²,面砖,4.16
105,陆家嘴基金大厦,浦东-竹园商贸区-竹林路101号,写字楼,甲级,32,集中式中央空调,6,2,1000,15,电信、联通、移动、卫通,191,上海陆家嘴物业管理有限公司,食堂、便利店,企业名称：费列罗贸易（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海中铝凯林铝业有限公司，所属行业：贸易/消费/制造/营运、企业名称：斯达拉格海科特上海商贸，所属行业：贸易/消费/制造/营运、企业名称：上海瑞德会计师事务所，所属行业：会计/金融/银行/保险,食堂、便利店,17,2011年7月,45000,2200,4.3,191,3.1,上海陆家嘴金融贸易区开发股份有限公司,8,True,True,360m²、470m²、500m²、593m²、650m²,玻璃幕墙,7.91
107,金阳大厦,普陀-曹杨-曹杨路362弄,综合写字楼,乙级,1.3,分体空调,2,1,300,1,电信、联通、长城、铁通、移动,65,,会议室、会展中心,,会议室、会展中心,22,1999年2月,,1640,3,65,,,3.6,False,True,68m²、203m²,面砖,2.84
108,凯迪克大厦,静安-江宁路-江宁路212号,商业综合体,甲级,24,,7,1,1250,10,电信、联通、移动、卫通,140,上海凯迪克大厦有限公司,ATM、便利店、干洗店、会议室,企业名称：上海航空公司总部，所属行业：物流/运输、企业名称：屈臣氏总部，所属行业：贸易/消费/制造/营运、企业名称：汉理资本，所属行业：会计/金融/银行/保险、企业名称：上海电气欧亚工业发展有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海亚奥茱莉化妆品有限公司，所属行业：贸易/消费/制造/营运,ATM、便利店、干洗店、会议室,28,2000年12月,51273,1534,3.6,140,2.4,上海中航房地产开发公司,8.5,True,True,383m²,玻璃幕墙,5.07
109,创智天地,杨浦-五角场-淞沪路252号,写字楼,甲级,25,集中式中央空调,4,1,700,280,电信、联通、长城、铁通、移动,472,上海丰诚物业管理有限公司,银行、ATM、餐饮、便利店,企业名称：甲骨文软件研究中心（北京）有限公司，所属行业：专业服务/教育/培训、企业名称：艾比森商务中心，所属行业：专业服务/教育/培训、企业名称：海信衫投资管理有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海四维图新信息技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海纳维信息技术有限公司，所属行业：计算机/互联网/通信/电子,银行、ATM、餐饮、便利店,10,2006年1月,39040,1668,5,472,3.4,瑞安房地产有限公司,6,True,True,500m²、100m²、015m²、002m²、000m²,玻璃幕墙,5.07
110,仲益大厦,静安-南京西路-南京西路580号,商业综合体,甲级,15,,,,,,,,上海百联集团股份有限公司,,,,40,2012年6月,,,,,,上海百联集团股份有限公司,,True,True,,,6.08
111,华夏银行大厦,浦东-陆家嘴-浦东南路256号,写字楼,甲级,25,,,1,150,10,,400,戴德梁行,银行、ATM、餐饮、便利店,企业名称：华夏银行，所属行业：会计/金融/银行/保险、企业名称：欧立旺展览设计咨询（上海）有限公司，所属行业：专业服务/教育/培训、企业名称：中豪律师集团（上海）事务所，所属行业：专业服务/教育/培训、企业名称：北京易观网络信息咨询有限公司上海分公司，所属行业：计算机/互联网/通信/电子、企业名称：上海盘固投资发展有限公司，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、便利店,39,2004年4月,70912,1420,39,400,2.6,上海京银大厦建设发展有限公司,5,True,True,183m²、231m²、269m²、293m²、448m²,玻璃幕墙,6.08
113,绿城·黄浦8号,黄浦-城隍庙-福佑路8号,写字楼,甲级,30,集中式中央空调,6,1,1300,10,电信、联通、移动、卫通,35,上海绿城物业有限公司,商务中心、会议室,企业名称：中飞贸易，所属行业：贸易/消费/制造/营运、企业名称：华比国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：永通投资，所属行业：会计/金融/银行/保险、企业名称：安顿广告传媒，所属行业：贸易/消费/制造/营运、企业名称：鹏华船务，所属行业：贸易/消费/制造/营运,商务中心、会议室,15,2012年12月,23600,1860,4,35,2.7,上海绿恒房地产开发有限公司,5,True,True,650m²、1210m²,玻璃幕墙,7.61
115,爱登堡科技园,闵行-浦江-恒西路88号,商业综合体,甲级,10,,,,,,,,,,,,,,,,,,,,,True,True,,,2.03
116,50智慧园,普陀-曹杨-武宁路423号,写字楼,甲级,12,,,,,,,,,,,,,,,,,,,,,True,True,,,2.74
119,银发大厦,静安-江宁路-北京西路1068号(近江宁路),写字楼,乙级,21.9,集中式中央空调,3,1,600,10,电信、联通、移动,30,,银行、ATM、餐饮、便利店、会议室,,银行、ATM、餐饮、便利店、会议室,27,2003年1月,66000,712,3.8,30,2.8,上海银发大厦有限公司,5,False,True,356m²、712m²,玻璃幕墙,3.85
120,尚街Loft上海双创产业园,浦东-塘桥-峨山路613号,写字楼,甲级,12,,,,,,,,,,,,,,,,,,,,,True,True,,,3.85
