,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,address_for_coordinate,latitude,longitude
1931,伟泰大厦,https://www.haozu.com/sh_xzl_12250/,11,20m²,浦东  塘桥峨山路91弄58号  ,9.9,6.81,塘桥,9.0,11600m²,4,2,,11600,浦东  塘桥峨山路91弄58号  ,31.2233772278,121.538070679
1932,陆家嘴商务广场,https://www.haozu.com/sh_xzl_30208/,5,570 - 1999m²,浦东  竹园商贸区世纪大道1600号  ,9.5,11.33,竹园商贸区,34.0,98130m²,,12,,98130,浦东  竹园商贸区世纪大道1600号  ,31.2299613953,121.541069031
1933,陆家嘴金融街区•星公馆,https://www.haozu.com/sh_xzl_23495/,56,47 - 1262m²,浦东  洋泾南洋泾路555号  ,7.95,8.67,洋泾,12.0,117780m²,3.9,,,117780,浦东  洋泾南洋泾路555号  ,31.2395801544,121.563293457
1934,98创意园,https://www.haozu.com/sh_xzl_2010/,1,440m²,静安  南京西路延平路98号  ,6.0,8.86,南京西路,6.0,14000m²,4.7,1,企业名称：豪艺设计咨询（上海）有限公司，所属行业：专业服务/教育/培训、企业名称：上海赵小蝶化妆品有限公司，所属行业：贸易/消费/制造/营运、企业名称：宏腾物业服务（上海）有限公司，所属行业：专业服务/教育/培训、企业名称：泰诺健（上海）国际贸易有限公司2F上海午未广告有限公司2F宏腾物业服务（上海）有限公司2F上海纯粹广告有限公司2F美播商务咨询（上海）有限公司2F上海赵小蝶化妆品有限公司3F宇宙运通有限公司4F苏州运通丝绸服饰有限公司上海分公司，所属行业：贸易/消费/制造/营运、企业名称：上海午未广告有限公司，所属行业：广告/媒体,14000,静安  南京西路延平路98号  ,31.2349185944,121.447967529
1935,博鸿大厦,https://www.haozu.com/sh_xzl_4952/,5,75 - 850m²,静安  江宁路江宁路495号  ,3.42,8.86,江宁路,26.0,21369m²,3.2,3,云鼎广告设计部、上海外经贸投资(集团)金属贸易有限公司、深圳成美五金制品有限公司,21369,静安  江宁路江宁路495号  ,31.2414302826,121.458015442
1936,紫竹信息数码港,https://www.haozu.com/sh_xzl_11628/,15,265 - 3098m²,闵行  吴泾东川路555号  ,2.26,2.85,吴泾,4.0,117373.64m²,4.5,1,,117373.64,闵行  吴泾东川路555号  ,31.0289669037,121.459335327
1937,绿地海外滩中心,https://www.haozu.com/sh_xzl_29416/,17,75 - 550m²,卢湾  五里桥龙华中路886号  ,5.89,10.1,五里桥,22.0,,4.2,19,,,卢湾  五里桥龙华中路886号  ,31.191904068,121.464042664
1938,东海园,https://www.haozu.com/sh_xzl_11351/,1,763m²,静安  昌平路西康路638号  ,5.0,8.36,昌平路,,29881m²,,,,29881,静安  昌平路西康路638号  ,31.242193222,121.451881409
1939,丽晟广场,https://www.haozu.com/sh_xzl_11975/,2,383 - 383.6m²,浦东  塘桥环龙路65弄1  ,5.0,6.81,塘桥,4.0,8000m²,3.6,,,8000,浦东  塘桥环龙路65弄1  ,31.2121582031,121.53515625
1940,筑梦空间,https://www.haozu.com/sh_xzl_41092/,4,56 - 119m²,普陀  长风新村泸定路866号2楼  ,5.63,5.04,长风新村,,,,,,,普陀  长风新村泸定路866号2楼  ,31.2407054901,121.396224976
