,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,store,mall,park,hotel,underground,park1500
1881,保安大厦,https://www.haozu.com/sh_xzl_16651/,1,147m²,浦东  陆家嘴杨高南路或东方路  ,5.8,13.92,陆家嘴,,,,,,,18.0,2.0,18.0,11.0,1.0,3.0
1882,复旦软件园,https://www.haozu.com/sh_xzl_5201/,31,86 - 1525m²,杨浦  长阳路隆昌路688号  ,3.92,5.44,长阳路,15.0,20000m²,3.5,4,上海黄浦拍卖行有限公司、上海引领电缆有限公司、上海营康计算机科技有限公司,20000,18.0,0.0,18.0,6.0,0.0,5.0
1883,众和创意园,https://www.haozu.com/sh_xzl_36532/,4,120m²,松江  九亭连富路1号  ,1.33,2.24,九亭,,,,,,,1.0,1.0,1.0,4.0,0.0,0.0
1884,静安高和大厦,https://www.haozu.com/sh_xzl_1204/,61,130 - 960m²,静安  南京西路华山路2号  ,7.85,8.86,南京西路,29.0,31000m²,3.3,5,企业名称：雷允上药业，所属行业：贸易/消费/制造/营运、企业名称：长春金赛药业有限责任公司，所属行业：贸易/消费/制造/营运、企业名称：新生代市场监测机构，所属行业：专业服务/教育/培训,31000,33.0,8.0,33.0,27.0,1.0,7.0
1885,尚光徐汇中心,https://www.haozu.com/sh_xzl_18440/,6,55 - 220m²,徐汇  万体馆宜山路407号尚光徐汇中...  ,7.98,5.67,万体馆,15.0,98700m²,4.5,5,,98700,18.0,3.0,18.0,18.0,1.0,6.0
1886,新虹桥捷运大厦,https://www.haozu.com/sh_xzl_1402/,7,98 - 236m²,长宁  天山路天山路600弄  ,3.68,4.88,天山路,30.0,29000m²,2.8,3,企业名称：法国溯高美电气，所属行业：物流/运输、企业名称：可樱服饰，所属行业：贸易/消费/制造/营运、企业名称：上海润世企业营销管理公司，所属行业：会计/金融/银行/保险、企业名称：上海飞沃化工有限公司，所属行业：能源/原材料、企业名称：上海元耀国际贸易有限公司，所属行业：(贸易/消费/制造/营运),29000,18.0,3.0,18.0,11.0,0.0,8.0
1887,星汇大厦,https://www.haozu.com/sh_xzl_2482/,4,45 - 170m²,松江  九亭沪松公路1223号  ,2.65,2.24,九亭,,,3.8,,,,4.0,14.0,4.0,4.0,0.0,1.0
1888,国际航运金融大厦,https://www.haozu.com/sh_xzl_11773/,41,126.8 - 1967m²,浦东  源深竹园浦东大道720号  ,8.41,11.33,源深竹园,15.0,125000m²,3.4,10,印趣信息技术有限公司、泓明国际物流有限公司,125000,17.0,0.0,17.0,24.0,1.0,1.0
1889,118广场基地,https://www.haozu.com/sh_xzl_36474/,3,122m²,普陀  金沙江路1685号  ,4.0,5.04,金沙江路,,,,,,,8.0,2.0,8.0,1.0,1.0,1.0
1890,中环科技园,https://www.haozu.com/sh_xzl_1987/,4,78 - 380m²,闵行  春申兴梅路485号  ,2.48,2.85,春申,13.0,22000m²,,3,,22000,3.0,2.0,3.0,1.0,0.0,1.0
1891,台尚创意园,https://www.haozu.com/sh_xzl_24438/,114,36.6 - 3700m²,闵行  七宝吴宝路428号  ,3.37,16.23,七宝,2.0,23000m²,5.5,,,23000,15.0,6.0,15.0,6.0,0.0,2.0
1892,大宁商务中心,https://www.haozu.com/sh_xzl_36160/,85,121 - 7400m²,闸北  大宁路广中西路699号  ,6.27,4.91,大宁路,,48000m²,4.2,,飞利浦，博纳影业，梨视频，暖流文化，滴滴打车，宝燕集团等,48000,8.0,2.0,8.0,0.0,0.0,4.0
