,buildingN,store_num,store
10,祥腾财富广场,9.0,"[711便利店(共和新路店)@(121.453353,31.299815), 罗森便利店(万荣路店)@(121.445987,31.299219), 喜士多便利店(大宁德必易园店)@(121.453466,31.293214), 快客便利店(no.6657)@(121.447951,31.296364), 永和便利@(121.452101,31.294532), 光明便利(永和店)@(121.450968,31.294372), 易捷便利店(中环路出口店)@(121.443468,31.296165), 怡宝便利店@(121.444327,31.293606), 上海华美水果超市(永和路店)@(121.448017,31.294188)]"
11,北岸长风,5.0,"[全家便利店(大渡河路NO.4)@(121.401834,31.227238), 好德便利店@(121.400348,31.2275), wotsons@(121.402304,31.229261), 和祥生活馆@(121.397773,31.22207), 长风公园小卖部@(121.404858,31.229183)]"
12,正大喜马拉雅中心,11.0,"[售货亭(NO.6店)@(121.558423,31.218436), 世纪公园-小卖部@(121.553904,31.222852), 售货亭(NO.1店)@(121.560264,31.22547), 售货亭(NO.8店)@(121.554093,31.222221), 售货亭@(121.558926,31.225084), 售货亭(NO.2店)@(121.55704,31.223643), 售货亭(NO.3店)@(121.559914,31.221154), 售货亭(NO.4店)@(121.562456,31.221532), 售货亭(NO.5店)@(121.557982,31.220405), 世纪公园-售货亭(NO.5)@(121.553455,31.220274), 售货亭(NO.9店)@(121.562591,31.224959)]"
13,盛大天地源创谷,4.0,"[全家便利店(创新园店)@(121.595551,31.211218), 罗森便利店(芬华创新中心东)@(121.59208,31.207018), 罗森便利店(碧波路店)@(121.589972,31.207978), 满意果园（碧波路店）@(121.592639,31.214123)]"
14,智造局,,
15,虹桥丽宝广场,8.0,"[全家便利店(虹桥天地购物中心)@(121.321935,31.198462), 全家@(121.319358,31.199448), 全家便利店@(121.321252,31.201851), 7-ELEVEN便利店(虹桥店)@(121.322301,31.202392), 爱购便利(虹桥天地购物中心)@(121.32195,31.19963), Family Mart@(121.32198,31.198489), ishop便利店@(121.321961,31.199623), 怡家乐便利超市(龙湖虹桥天街店)@(121.318825,31.19668)]"
16,天华信息科技园,29.0,"[全家便利店(亚都店)@(121.444899,31.195036), 全家便利店(漕溪北路五店)@(121.443688,31.196328), 全家便利店(零陵路店)@(121.446359,31.190095), 全家便利店(天钥桥路三店)@(121.4482,31.194565), 喜士多便利店(双峰路店)@(121.452411,31.19434), 罗森便利店(南丹东路店)@(121.449919,31.196495), 罗森便利店(圣爱大厦店)@(121.44346,31.198258), 快客便利店(上实店)@(121.444164,31.198896), 罗申便利店@(121.445729,31.198538), 好德便利(宛平店)@(121.453833,31.197357), 全家便利@(121.449362,31.192254), 快客no.5241@(121.452402,31.195546), 良友(天钥店)@(121.451547,31.192577), 喜士多便利店(双峰店)@(121.449437,31.193635), 711便利店(永新坊店)@(121.449517,31.198925), 快客便利店(斜峰店)@(121.452441,31.195694), 洪生百货商店@(121.450722,31.194209), 萍萍综合商店@(121.452555,31.193643), 集米杂货店@(121.452885,31.19918), 一品便利（天钥桥路店）@(121.44843,31.196979), 好德便利店(NO.434店)@(121.446522,31.196007), 圣和杂品便利店@(121.450465,31.19402), 万体综合商店@(121.447499,31.190457), 便利店@(121.453906,31.197037), 伊万商店@(121.447897,31.196846), 列吉塞酒类旗舰店@(121.443575,31.192457), 创意便利店@(121.451718,31.192043), 麒麟便利店@(121.450637,31.194131), 家佳备便利百货店@(121.450596,31.192631)]"
17,钱江大厦,21.0,"[光明便利(NO160店)@(121.53473,31.226372), 快客便利店(no.1223)@(121.531455,31.228507), 711便利店(投资大厦店)@(121.536707,31.228335), 罗森便利店(同盛大厦)@(121.537897,31.229201), 全家便利店(东方三店)@(121.53397,31.229088), 711便利店(杨高店)@(121.539013,31.224192), 崂山便利@(121.53213,31.226737), 全家便利店(中达广场店)@(121.535678,31.227329), 全家便利@(121.53563,31.229844), 7-ELEVEN便利店(长泰店)@(121.541307,31.230983), 快客便利店(向城路)@(121.536783,31.229582), 迪亚天天便利店(NO.5184店)@(121.532663,31.226474), 全家便利店(竹林路店)@(121.539848,31.22909), 好德便利(和记店)@(121.534027,31.226077), 全家便利福山路二店@(121.538676,31.230635), 全家便利店(向城店)@(121.535545,31.229865), LUCKYDAY弈银便利店@(121.534739,31.23223), 东方便利@(121.53875,31.23105), 瑞木芳禾胡麻油@(121.535552,31.229985), 联华快客(浦铁店)@(121.535643,31.226091), 邮海烟酒便利店@(121.533048,31.226177)]"
18,春之声大厦,26.0,"[全家便利@(121.418511,31.237464), 全家便利店(长城弘基广场一店)@(121.421737,31.243963), 全家便利店(宁夏路店)@(121.419892,31.236976), 好德便利店@(121.419664,31.235865), 好德便利（梅岭南路店）@(121.415266,31.23921), 可的便利店(梅岭店)@(121.416309,31.24249), 快客便利店(no.5346)@(121.420849,31.242565), 好德便利(梅岭南路店)@(121.415379,31.240111), 迪亚天天(梅岭店)@(121.414649,31.239855), 良友便利@(121.423316,31.239002), 快客便利店(no.5391)@(121.417464,31.240423), 玉兰调剂商店@(121.422032,31.241295), 易捷便利店(明海店)@(121.416599,31.237675), 好德便利(金江店)@(121.415186,31.237159), 好客便利店@(121.417037,31.235785), 光明便利(No.1008)@(121.421046,31.24261), 中运酒店便利@(121.420816,31.243031), 海城便利店@(121.422008,31.241356), 亚马逊网购全家新中山北路五店自提点@(121.421863,31.244107), 上海盛璨食品商店@(121.42093,31.243289), 多购便利连锁(金沙江店)@(121.415584,31.237547), 光明便利店@(121.421037,31.24124), 长风便利店@(121.417037,31.235625), china 56@(121.417684,31.237507), 通源综合商店@(121.415524,31.238556), 迪亚天天兰溪店@(121.417931,31.24416)]"
19,SOHO天山广场,42.0,"[汇金百货娄山关路(入口)@(121.411411,31.217506), 全家便利店@(121.413852,31.216263), 全家便利店(天山二店)@(121.414653,31.216561), 喜士多便利店@(121.409563,31.217427), 快客便利店(no.1238)@(121.416786,31.213348), 全家便利店(玉屏南路店)@(121.410649,31.21975), 好德便利(玉屏南路店)@(121.418878,31.218381), 好德便利(娄山店)@(121.411714,31.221911), 光明牛奶批发@(121.414081,31.220884), 好德便利店(紫宁店)@(121.417658,31.213916), 良友金伴(天山店)@(121.414666,31.216576), 龙妹便利店@(121.417604,31.213485), 长宁劳防商店@(121.413441,31.214), 全家便利店(天山二村店)@(121.413333,31.21377), 纯琴烟杂店@(121.416154,31.218585), 良友(娄山关一店)@(121.410955,31.219324), 良友金伴(玉屏南店)@(121.416797,31.218824), 可的便利店(玉娄店)@(121.41088,31.219866), 可的便利店(NO.342)@(121.414492,31.217578), 志刚便利店(中山西路)@(121.41875,31.219992), 松鼠便利(紫云路店)@(121.415955,31.214385), 可的便利店(长遵店)@(121.414992,31.221194), 尚茶@(121.418151,31.21893), 好德便利(遵义店)@(121.4144,31.216862), 汇金百货娄山关路B2(出入口)@(121.411355,31.21724), 合衣物·生活综合@(121.410291,31.216697), 好德便利店(遵二店)@(121.415081,31.219946), kai beauty care(汇金百货虹桥店)@(121.411668,31.217223), 久壹品农副产品@(121.410849,31.217905), 小何便利店@(121.414154,31.220876), 长宁顺心劳防商店@(121.413365,31.213909), 阿明食品(汇金百货娄山关路)@(121.411492,31.217347), 邻居@(121.418151,31.21893), 小胖肉庄批零中心@(121.414155,31.21903), 遵中便利店@(121.416806,31.221332), 庆风烟杂店@(121.415377,31.218661), 快客龙便利店@(121.417967,31.213455), 天富茶庄@(121.418605,31.218849), Ole food hall@(121.414261,31.213256), 海客乐有机食品 中山公园店@(121.418777,31.220064), 金鸿食品店@(121.410006,31.220329), 小夏百货@(121.415921,31.21442)]"
