,buildingN,hotel_num,hotel
10,祥腾财富广场,3.0,"[汉庭酒店(上海市北工业园区店)@(121.446639,31.298123), 海友酒店(永和路)@(121.44866,31.294337), 上海盛政公寓酒店永和路店@(121.452172,31.294553)]"
11,北岸长风,4.0,"[上海新发展亚太JW万豪酒店@(121.402594,31.22727), 上海国丰酒店@(121.401311,31.230458), 上海服务式连锁公普通公寓古北路分店@(121.403924,31.222918), 晟曜行服务式公寓(新天地河滨花园店)@(121.402719,31.222427)]"
12,正大喜马拉雅中心,6.0,"[尚元雍景台服务公寓@(121.559241,31.217319), 雍景台@(121.559171,31.217274), 上海源涞国际酒店式公寓世纪雅苑@(121.559518,31.217419), 上海新国际酒店式公寓银霄路店@(121.561763,31.218248), 上海优帕克服务式公寓浦东世纪花园店@(121.562567,31.217647), 上海源涞国际酒店式公寓(四季全景台店)@(121.560488,31.217192)]"
13,盛大天地源创谷,4.0,"[如家快捷酒店(上海新国际博览中心张江高科地铁站店)@(121.594688,31.210931), 上海中科大招待所@(121.588727,31.210247), 上海80时空公寓碧波路店@(121.592864,31.2141), 上海吉祥短租公寓张江站@(121.590267,31.209089)]"
14,智造局,40.0,"[全季酒店(新天地店)@(121.479974,31.215243), 如家快捷酒店(上海徐家汇路蒙自路店)@(121.485658,31.208931), 华美达和平大酒店@(121.479471,31.208125), 锦江之星酒店(白玉兰上海徐家汇店)@(121.484278,31.209573), 金湾大酒店@(121.488805,31.215714), 如家快捷酒店(上海新天地徐家汇路店)@(121.488265,31.216667), 海友酒店(上海制造局路店)@(121.489499,31.214774), 福地大酒店卢湾店@(121.480273,31.215421), 时尚捷缘宾馆@(121.489063,31.21178), 汉庭酒店(上海田子坊店)@(121.478965,31.209077), 与非商务宾馆@(121.483744,31.212438), 锦江之星酒店(卢湾丽园店)@(121.48352,31.213007), 白云公寓@(121.483949,31.209354), 居然宾馆@(121.482666,31.212418), 广发大厦酒店@(121.479261,31.21335), 雨晰旅馆@(121.488401,31.21), 安佳公寓@(121.486567,31.209738), 上海Stone House家庭旅馆@(121.484971,31.215967), 上海人民广场新天地田子坊酒店式公寓@(121.483352,31.214842), 上海Go Native新天地@(121.488301,31.215762), 上海罗尼民宿新天地马当路地铁站店@(121.481972,31.214146), 上海myfriend普通公寓徐家汇路分店@(121.481942,31.214182), 玖佳家公寓@(121.480461,31.208839), 上海优帕克服务式公寓（永业公寓）@(121.485019,31.214522), 上海优帕克服务式公寓海悦花园店@(121.480367,31.208388), 上海罗尼民宿徐家汇路分店@(121.482002,31.21419), 上海优帕克五星级公寓大同花园三期店@(121.479547,31.2127), 上海新房特惠田子坊法租界普通公寓分店@(121.48698,31.212137), 上海优帕克五星级公寓大同花园一期店@(121.479778,31.211719), 优帕克商旅公寓（上海卢湾都市花园店）@(121.483829,31.207509), 马非商务宾馆@(121.483748,31.212521), 上海城中酒店公寓@(121.480071,31.215004), 优帕克商旅公寓(上海汇龙新城店)@(121.481682,31.214201), 上海伟联实业发展有限公司招待所@(121.481256,31.213214), 上海后来居上家庭公寓丽园路分店@(121.488304,31.213104), 上海GoNative公寓徐家汇路店@(121.488382,31.21657), 上海Luca普通公寓丽园路分店@(121.481109,31.212171), 上海N2haus普通公寓局门后路店@(121.486307,31.214872), 上海愚园路岐山村历史文化故居普通公寓丽园路分店@(121.488304,31.213069), 上海Go Native班玛家普通公寓蒙自路分店@(121.482682,31.214014)]"
15,虹桥丽宝广场,1.0,"[上海虹桥商务区凯悦嘉轩酒店@(121.322881,31.196515)]"
16,天华信息科技园,70.0,"[上海建国宾馆@(121.444539,31.19603), 新东亚酒店@(121.445769,31.195236), 锦江之星酒店(宛平南路店)@(121.453131,31.196522), 上海礼和酒店@(121.446522,31.195525), 如家精选酒店(上海徐家汇店)@(121.447787,31.193656), 富驿时尚酒店(上海徐家汇店)@(121.448447,31.192064), 汉庭酒店(徐家汇天钥桥路店)@(121.445551,31.194005), 上海源涞国际酒店式公寓福源汇居@(121.447536,31.195177), 汉庭酒店(南丹路店)@(121.449852,31.196965), 汉庭酒店(万体馆店)@(121.445433,31.191417), 源涞国际服务公寓@(121.449204,31.195319), 上海乐客青年旅舍@(121.453205,31.194638), 上海徐家汇实业酒店@(121.444411,31.198903), 上海FreeLand斐岚青年旅舍@(121.446107,31.19366), 天科商务宾馆@(121.44785,31.196659), 海天公寓@(121.448143,31.197769), 峰铃宾馆@(121.452653,31.193569), 上海君逸宾馆@(121.453593,31.197665), 上海北海公寓@(121.450337,31.190087), 玉石公寓@(121.451327,31.195603), 上海极光青年旅舍体育馆店@(121.448592,31.19321), 上海温馨家庭公寓(龙山公寓店)@(121.450295,31.190311), 上海佳佳阳光酒店式短租公寓徐家汇店@(121.446312,31.190186), 上海嘉汇华美达广场大酒店@(121.44918,31.195349), 上海雅居青年公寓@(121.450399,31.194393), 上海玛耘酒店式公寓(宛平小区店)@(121.452939,31.199235), 上海玛耘酒店式公寓尊园店@(121.446288,31.197685), 上海回家的诱惑酒店式公寓@(121.445849,31.190125), 易佰良品酒店@(121.453369,31.197661), 上海温馨青年公寓万体馆店@(121.449348,31.193356), 上海中和旅馆天钥桥路店@(121.445375,31.194371), 上海温馨酒店式家庭公寓海螺花园店@(121.453333,31.197221), 上海玛耘酒店式公寓(上影公寓店)@(121.44771,31.190689), 上海浪漫电动圆床房普通公寓@(121.445792,31.190171), 上海法租界钢琴房公寓@(121.445528,31.197885), 源涞国际酒店（上海莱诗邸店）@(121.444637,31.19578), 源涞国际酒店式公寓(福源汇居)@(121.447748,31.195627), 上海罗尼民宿天钥桥路分店@(121.445465,31.194438), 玛耘酒店式公寓(龙山新村店)@(121.450728,31.191085), 上海myfriend普通公寓天钥桥路380弄分店@(121.444913,31.194937), 源涞国际酒店（上海福源汇居店）@(121.44736,31.19549), 上海伊家家庭公寓爱和大厦店@(121.453091,31.194709), 思迪家服务式公寓(上海电影华苑店)@(121.446263,31.190097), 上海玛耘家庭公寓(亚都商务楼店)@(121.44492,31.19488), 上海精装温馨公寓天钥桥路分店@(121.446954,31.197156), 航空招待所@(121.446399,31.198227), 鑫宏酒店式公寓@(121.450276,31.190437), 上海伊美民宿公寓南丹东路店@(121.44478,31.194902), 上海可可世纪公寓@(121.444141,31.190866), 泽众优然居服务式公寓（上海国际名园店）@(121.444956,31.19511)]"
17,钱江大厦,28.0,"[上海浦东假日酒店@(121.535463,31.229042), 汉庭酒店(东方路店)@(121.535701,31.227843), 上海齐鲁万怡大酒店@(121.532375,31.231826), 上海红塔豪华精选酒店@(121.534843,31.229668), 上海中油阳光大酒店@(121.535348,31.228335), 7天连锁酒店(上海八佰伴店)@(121.531798,31.226593), 汉庭酒店(八佰伴店)@(121.532671,31.226503), 海上小窝宾馆@(121.531714,31.226087), 缘澳城市酒店@(121.538895,31.228677), 上海中油阳光大酒店-花店@(121.535471,31.228515), 上海ok·home可意居时尚公寓@(121.535419,31.232397), 上海馨亨商务宾馆@(121.533981,31.229175), 新港大厦-服务式公寓@(121.54031,31.233226), 上海怡荷园青年公寓@(121.535336,31.232417), 堡龙阁海鲜大酒店-客房部@(121.531842,31.232645), 嘉年CEO服务式公寓酒店（上海陆家嘴店）@(121.535688,31.230736), 上海中海阳光大酒店@(121.536009,31.228803), 上海兴业家园国际金融家酒店公寓@(121.539224,31.228567), 上海可儿poppy普通公寓东方路分店@(121.534663,31.231314), 紫罗兰便捷客房@(121.531212,31.229342), 上海好客来精装酒店公寓世纪大道店浦东新区@(121.531246,31.229562), 上海Anna安娜民宿分店@(121.535346,31.230834), 上海爱上租房生活酒店式公寓@(121.53901,31.22873), 上海优乐家自助服务公寓世纪大道店@(121.539209,31.228573), 上海生活在别处普通公寓东方路店@(121.532092,31.230669), 上海sisi之家普通公寓浦电路店@(121.534063,31.2248), 上海优乐家自助服务公寓潍坊路店@(121.532142,31.229381), 上海全家自助式短租公寓(陆家嘴店)@(121.53912,31.228579)]"
18,春之声大厦,,
19,SOHO天山广场,42.0,"[上海君丽大酒店@(121.414869,31.217859), 汉庭酒店(上海虹桥中山西路店)@(121.41803,31.213701), 如家酒店(国际体操中心中山公园地铁站店）@(121.418805,31.220065), 海友酒店(上海中山公园店)@(121.419589,31.216247), 绿洲大厦@(121.419148,31.219853), 泊客小栈上海中山公园玉屏南路店@(121.41278,31.218761), 隆晨精品酒店@(121.41131,31.219421), 温馨青年公寓@(121.409112,31.216742), 上海紫云宾馆@(121.416051,31.215423), 速登精品酒店(天山店)@(121.411847,31.221094), 上海天山客栈@(121.409175,31.216555), 海探招待所@(121.41452,31.217025), 上海城市月光温馨国际公寓@(121.409455,31.216871), 上海虹桥天都酒店公寓@(121.412887,31.216386), 鼎天瑞力公寓酒店@(121.413704,31.216068), 上海南南公寓@(121.417042,31.219278), 蓝火佰圆酒店@(121.41135,31.220166), 上海云雾山旅馆@(121.413944,31.220532), 上海星程上服假日酒店虹桥店@(121.418027,31.213705), 上海虹桥豪苑日租公寓@(121.415552,31.214371), 九华汇智尚都公寓@(121.410577,31.214389), 暖途旅店@(121.411353,31.21822), 上海优帕克服务式公寓（虹桥豪苑店）)@(121.415599,31.214356), 800虹桥公寓@(121.417428,31.213956), 上海X公寓玉屏南路店@(121.410721,31.219954), 上海翠庭精品酒店@(121.4119,31.213354), 3/3THREE THIRDS COFFEE@(121.415454,31.216433), 上海阳光居久屋普通公寓天山小区店@(121.412451,31.218216), 上海金耀招待所@(121.419455,31.216309), 上海X·公寓娄山关路分店@(121.410722,31.219919), 上海友谊公寓@(121.416718,31.217926), 茶城宾馆@(121.418363,31.219239), 上海温馨舒适小家普通公寓娄山关路分店@(121.413333,31.222034), 上海艾家家庭公酒店式公寓中山西路分店@(121.419162,31.219882), 冬暖夏凉玉屏南路店@(121.417686,31.220452), 上海波拉服务公寓@(121.413841,31.215796), 上海新风之家@(121.414658,31.221323), 上海阳光居久屋普通公寓玉屏南路分店@(121.413413,31.220701), 上海伊美民宿公寓玉屏南路店@(121.418399,31.218271), 上海景禾公寓@(121.415565,31.221231), 上海Kristy Home普通公寓中山西路800弄分店@(121.417704,31.213763), 上海玉屏之家公寓二店@(121.414041,31.21886)]"
20,汇京国际广场,25.0,"[三湘大厦@(121.424594,31.20043), 格林豪泰酒店(上海市虹桥路地铁站快捷酒店)@(121.426697,31.198853), 汉庭酒店(徐家汇交大店)@(121.434778,31.201098), 海友酒店(上海徐汇交大店)@(121.432861,31.205495), 魔方公寓(交通大学店)@(121.434245,31.202107), 上海亿客宾馆(徐家汇店)@(121.428426,31.201168), 美港宾馆@(121.433226,31.204537), 虹辉旅馆@(121.425679,31.198807), 汇宜精英公寓@(121.429933,31.199825), 番禺招待所@(121.433734,31.204326), 上海优佳酒店公寓@(121.433907,31.199119), 上海MUJI风普通公寓@(121.434078,31.205195), 上海海螺宾馆@(121.426602,31.197602), 上海B-612 民宿@(121.429285,31.200998), 上海宜家城市酒店式公寓虹桥路店@(121.432615,31.200064), 上海徐家汇慵懒公寓@(121.434835,31.204311), 上海双环生活服务公司-招待所@(121.432321,31.204608), 上海MorningGloryHomestay普通公寓@(121.425813,31.20382), 上海东家短租公寓@(121.433667,31.204724), 凯翔宾馆@(121.433448,31.205449), 上海HanHan s Home - Huaihai Road@(121.43112,31.202671), 上海猕猴桃的小家复式公寓@(121.424831,31.20488), 上海LULLABY眠宿普通公寓番禺路分店@(121.434837,31.204313), 上海西第科Cityhome普通公寓新华名门店@(121.432124,31.206522), 上海满满正能量的阳光小屋长虹小区店@(121.427768,31.201067)]"
21,绿地汇中心,2.0,"[金龙花苑@(121.46171,31.174821), 上海amy温馨之家酒店@(121.461554,31.173432)]"
22,现代广场,16.0,"[上海虹桥迎宾馆@(121.400834,31.208344), 锦江之星酒店(茅台路店)@(121.405005,31.21541), 东方世纪宾馆@(121.40455,31.212111), 佰威大酒店@(121.406737,31.215482), 上海茅台花园酒店@(121.404529,31.215467), 君泰精品酒店@(121.406345,31.211905), 虹桥迎宾馆-6号楼@(121.401091,31.208456), 上海利嘉宾馆@(121.406448,31.212393), 上海对外贸易学院古北校区-国际交流中心宾馆@(121.404604,31.212936), 虹桥迎宾馆15号楼@(121.403217,31.208341), 上海艺芙小居普通公寓古北路分店@(121.407534,31.21501), 上海天山一号普通公寓@(121.407564,31.21512), 上海老街精装公寓芙蓉江路分店@(121.400393,31.214788), 上海老街精装公寓古北路分店@(121.40794,31.213708), 上海艾家家庭公寓茅台路分店@(121.398569,31.216108), 上海仙逸之家公寓@(121.401129,31.211819)]"
23,绿地海外滩中心A幢,9.0,"[上海绿地万豪酒店@(121.479334,31.197958), 海外滩@(121.479624,31.199193), 驿居酒店(上海徐汇滨江打浦桥店)@(121.477195,31.199494), 美奂大酒店@(121.47379,31.198858), 在路上旅业@(121.479216,31.199157), 天歌集团上海天歌招待所@(121.478811,31.201816), SHANNON@(121.480227,31.199186), 上海月湾儿公寓@(121.478751,31.202027), 上海盛爱之家普通公寓零陵路分店@(121.472984,31.200414)]"
24,虹桥天地,17.0,"[扬子江万丽大酒店@(121.412449,31.208654), 虹桥锦江大酒店@(121.411959,31.209475), 古北湾大酒店@(121.408487,31.204825), 福泰商务酒店@(121.413557,31.205867), 君泰精品酒店@(121.406345,31.211905), 申康宾馆@(121.409304,31.204702), 上海利嘉宾馆@(121.406448,31.212393), 赛嘉虹桥皇家公寓@(121.413244,31.205315), 太湖花园度假村@(121.409218,31.208774), 蓬莱@(121.414127,31.209333), 上海天远酒店式服务公寓虹桥长发公寓@(121.414921,31.203472), 特来电充电站(上海虹桥宾馆)@(121.416583,31.209841), 锦江国际@(121.416281,31.209683), 上海中紫恒公寓@(121.414523,31.212094), 上海K7艺术公寓@(121.41346,31.210763), 虹桥锦江大酒店-会议室@(121.412055,31.209515), 虹桥锦江大酒店-礼宾部@(121.412055,31.209515)]"
