,buildingN,hotel_num,hotel
74,上海陇盛科技大楼,1.0,"[上海希尔福酒店@(121.425779,31.114552)]"
75,汇针751创意园,53.0,"[全季酒店(新天地店)@(121.479974,31.215243), 莫泰酒店(上海徐家汇路店)@(121.488243,31.216735), 金湾大酒店@(121.488805,31.215714), 如家快捷酒店(上海新天地徐家汇路店)@(121.488265,31.216667), 福地大酒店卢湾店@(121.480273,31.215421), 吉泰连锁酒店@(121.483335,31.220667), 亿客旅馆@(121.487943,31.219706), 布丁酒店(新天地红房子店)@(121.48931,31.218435), 顺昌宾馆@(121.485988,31.217627), 上海Stone House家庭旅馆@(121.484971,31.215967), 上海屋桐.新天地住宿@(121.483542,31.220844), 上海海尚馨宿新天地店@(121.479928,31.22245), 梵舍西城里(上海新天地马当路一店)@(121.480812,31.222797), 莎玛luxe(新天地店)@(121.48381,31.223381), 通纯招待所@(121.488822,31.223467), 上海人民广场新天地田子坊酒店式公寓@(121.483352,31.214842), 上海华艺公寓马当路分店@(121.481903,31.221301), 茄子脱口秀@(121.483537,31.220104), 上海印家MyHome老洋房复兴中路店@(121.479458,31.221388), 上海Go Native新天地@(121.488301,31.215762), 上海myfriend普通公寓淡水路分店@(121.479947,31.222943), 上海老弄堂里的天窗小白屋老洋房@(121.47983,31.223589), 上海优帕克服务式公寓（永业公寓）@(121.485019,31.214522), 上海精益模具厂招待所@(121.482843,31.220774), 上海海尚馨宿公寓分店@(121.483972,31.219751), 上海地中海主题民宿@(121.487227,31.219429), 上海法租界新天地老弄堂普通公寓@(121.487107,31.219115), 上海秘境法租界马当路老洋房智能奇妙屋住宿@(121.480983,31.222643), 上海隅法租界新天地花园洋房老洋房@(121.482454,31.221402), 上海醒山民宿@(121.479439,31.221456), 上海罐头小姐-秘密花园法租界独栋LOFT老洋房分店@(121.479451,31.222116), 上海石库门地中海风情小馆住宿@(121.48339,31.220602), 上海法租界小苑普通公寓分店@(121.48757,31.222133), 上海闹中取静法租界清新小木屋分店@(121.484748,31.220061), 上海Ann sweet home老洋房民宿马当路分店@(121.480983,31.222643), 上海城中酒店公寓@(121.480071,31.215004), 绿果林大酒店@(121.482171,31.21773), 巴士公寓@(121.480798,31.217052), 上海摄影师的家-外滩普通公寓分店@(121.482512,31.219243), 上海浙天招待所@(121.483224,31.218027), 上海Isis apt公寓黄陂南路分店@(121.483215,31.219339), 上海南京新街口茶艺师之家公寓马当路分店@(121.480608,31.223251), 上海屋瓦大师酒店式公寓分店@(121.479883,31.220871), 上海Hiroom复式永年路分店@(121.484929,31.217149), 上海GoNative公寓徐家汇路店@(121.488382,31.21657), 上海Hoshare禾舍民宿黄陂南路分店@(121.483091,31.221832), Hiroom（上海黄陂南路店）@(121.484988,31.216907), 上海静的民宿马当路分店@(121.480512,31.223565), 上海怡庭老洋房@(121.482661,31.221409), 上海Locals路客复式马当路店@(121.480608,31.223251)]"
76,诺诚1895创意园,3.0,"[香郁商务宾馆(高平路店)@(121.433743,31.299279), 上海青客中环V领地酒店式公寓@(121.42625,31.298451), 舒格国际青年社区@(121.427341,31.298509)]"
77,明谷科技园,5.0,"[悦隆酒店@(121.356235,31.139041), 如家快捷酒店(上海闵行中春路店)@(121.353356,31.145019), 众庭快捷连锁酒店中春路店@(121.356119,31.139615), 华君旅馆(七宝分店)@(121.352853,31.145028), 汉庭酒店@(121.351692,31.146313)]"
78,浦江高科技园,2.0,"[上海笑猫酒店@(121.528763,31.092138), 血宁糖浆主题宾馆@(121.529804,31.093286)]"
79,光启城,21.0,"[上海徐家汇亚朵酒店@(121.438931,31.191858), 大众大厦大酒店上海@(121.429739,31.193547), 汉庭酒店(万体馆西店)@(121.436124,31.188469), 技贸宾馆@(121.430358,31.193155), 汉庭酒店(徐家汇店)@(121.430941,31.194167), 吉泰连锁精品酒店(徐家汇店)@(121.438355,31.192121), 欧逸商务宾馆@(121.438948,31.186587), 绿汇商务酒店@(121.432328,31.193682), 柠檬公寓@(121.429673,31.187629), 上海化工招待所@(121.439979,31.189556), 上海约会吧主题酒店@(121.431344,31.18954), 上海Dream-Catcher国际青年旅社@(121.439669,31.188266), 安徽金孔雀温泉旅游度假村@(121.432046,31.192627), 凯宜旅馆@(121.433904,31.193276), 上海龙岩大酒店@(121.432816,31.188019), 上海起点青年公寓(徐汇店)@(121.439977,31.189693), 上海职达求职青年旅社文定路店@(121.438468,31.192085), 上海纽宝凯精品国际酒店@(121.438292,31.190863), 筑梦居公寓(上海体育馆店)@(121.439957,31.189659), 上海孔二家的小陈普通公寓凯旋路分店@(121.433239,31.194388), 上海Bobo的屋子复式@(121.43616,31.193338)]"
80,曹杨尚城国际,30.0,"[汉庭酒店(上海华师大店)@(121.425574,31.240659), 万里路连锁酒店(上海武宁店)@(121.428592,31.247229), 君满堂宾馆@(121.427239,31.240579), 如家商旅酒店(上海环球港曹杨路地铁站店)@(121.427052,31.240926), 上海城家公寓酒店金沙江路店@(121.421234,31.240987), 缘森主题酒店@(121.427918,31.23836), 上海zhotels智尚酒店(曹杨路地铁站店)@(121.427457,31.241652), 上海奥克伍德华庭酒店公寓@(121.429139,31.244514), 迈家(上海)酒店(曹杨路店)@(121.424266,31.243541), 海友酒店(上海曹杨路店)@(121.424121,31.243728), 上海十年青年旅社@(121.427472,31.239222), Oakwood@(121.428988,31.244396), 上海汽车公寓青年旅舍曹杨路地铁站店@(121.42375,31.243238), 上海火星私人影吧主题酒店@(121.424601,31.244163), 橙子公寓(宁夏路)@(121.420304,31.238392), 南光旅馆@(121.422948,31.240306), 宁新招待所@(121.428047,31.246753), 上海先达公寓酒店@(121.429059,31.244448), 润星公寓@(121.424613,31.241722), 奥克伍德华庭服务式公寓-酒吧@(121.42906,31.244448), 上海心安即是家酒店式公寓上海华师大店@(121.424208,31.239374), 上海L341113近环球港粉色异想世界直达迪士尼酒店式公寓@(121.423747,31.24048), 链家旅居展厅(绿地和创店)@(121.426601,31.243143), 上海青田公寓兰溪店@(121.420165,31.245331), 上海宜家城市酒店式公寓宁夏路分店@(121.424297,31.23943), 品申大酒店@(121.424693,31.243036), 久缘坊酒店@(121.425595,31.247101), 上海喵客公寓宁夏路分店@(121.423974,31.239414), 上海佳佳阳光酒店式短租公寓中山公园店@(121.424439,31.239487), 上海屋瓦大师普通公寓宁夏路分店@(121.42416,31.240278)]"
81,沃力创业园,6.0,"[御都宾馆@(121.583733,31.155992), 上海尚宾时尚宾馆@(121.584787,31.156145), 上海迪斯尼后来居上公寓@(121.586947,31.155922), 上海喜院精品民宿2号院@(121.583853,31.148161), 上海隐境独栋别墅@(121.582016,31.154132), 上海安硕之家普通公寓@(121.586276,31.154648)]"
82,复旦科技园大厦,14.0,"[锦江都城白玉兰宾馆四平路店@(121.513904,31.29075), 天益宾馆@(121.515798,31.295053), 锦江之星酒店(同济大学店)@(121.513852,31.291191), 上海悠然青年旅社@(121.515341,31.295986), 上海白玉兰宾馆停车场(出入口)@(121.514437,31.291011), 金坛招待所@(121.516977,31.295994), 上海石榴青年旅舍@(121.511334,31.295226), 上海温馨舒适地铁零距离公寓国顺路分店@(121.516628,31.297978), 上海Tina文静普通公寓@(121.51586,31.297062), 上海莘子苑连锁公寓-同济大学店@(121.515161,31.295333), 天益宾馆餐厅@(121.516227,31.295214), 上海DE House普通公寓@(121.513782,31.295291), 天益礼堂@(121.515948,31.294696), 天益宾馆-主楼@(121.516103,31.294955)]"
83,衡安大楼,77.0,"[衡山宾馆@(121.449513,31.207309), 上海衡山路十二号豪华精选酒店@(121.452684,31.21139), 富豪环球东亚酒店@(121.450113,31.208024), 上海建业里嘉佩乐酒店@(121.457545,31.209519), 上海雅诗阁衡山服务公寓@(121.454302,31.211867), 联艺凯文精品酒店@(121.450067,31.207049), 上海隐居繁华雅集公馆@(121.450516,31.209254), 首长公寓@(121.452274,31.207924), 吴兴公寓@(121.451676,31.207452), 上海WeLive衡山路老洋房@(121.452659,31.208903), 庆余别墅@(121.452152,31.210718), 众联别墅@(121.447461,31.212997), 上海喜唐复式乌鲁木齐南路分店@(121.456421,31.20752), 上海广州木西民宿淮海中路1670弄分店@(121.449751,31.214196), 安亭别墅·花园酒店-1号楼@(121.453559,31.209562), 上海法租界老洋房公寓建国西路506弄店@(121.457279,31.209404), 高安公馆@(121.45332,31.211148), 上海SWEETHOME公寓安亭路店@(121.454917,31.209932), 上海欢墅度假别墅御席花园巨如公馆店@(121.456822,31.209113), 上海幸福驿站康平路分店@(121.449088,31.209655), 上海爱旅之舍老洋房分店@(121.458074,31.210637), 上海鹿驻民宿法租界图书馆工业风店@(121.450644,31.213871), 上海花遇之海上巴黎情老洋房民宿@(121.455675,31.210722), 上海友家公寓泓园店@(121.456397,31.208098), 上海Lane Boutique Inn   Cafe 里璞@(121.450726,31.212184), 上海温馨民宿衡山路分店@(121.452083,31.209891), 上海合硕综合经营部招待所@(121.45457,31.211152), 上海南京西路毛爷爷旧居旁边整间公寓高安路分店@(121.45193,31.208531), 上海法租界衡山路地铁站口高层简欧公寓@(121.45238,31.209469), 上海闲屋公寓永嘉路分店@(121.456628,31.212252), 上海梦想中的家园复式@(121.453011,31.214138), 上海梦想中的家园老洋房永嘉路580弄分店@(121.456074,31.212553), 上海云画的月光普通公寓@(121.456212,31.206499), 上海Nita3的房屋普通公寓乌鲁木齐南路分店@(121.457279,31.209404), 上海hanna复式建国西路506弄分店@(121.457197,31.209343), 汇都公寓-一期@(121.455865,31.207175), 上海风味普通公寓衡山路店@(121.456088,31.213538), 梧桐洋宿(上海衡山路店)@(121.452378,31.210661), 上海法租界湖南路20弄安家公寓@(121.44863,31.214682), 凡舍民宿（上海图书馆建国西路店）（原轻奢民宿）@(121.454195,31.207575), 上海七月小居老洋房分店@(121.454662,31.210541), Naked Retreats@(121.452412,31.207347), 上海隐居LOFT洋房庭院阳光房公寓建国西路分店@(121.453415,31.208623), 上海Penny House公寓@(121.452324,31.209341), 上海法租界老洋房公寓高安路分店@(121.453249,31.206417), 上海懿园遗梦老洋房@(121.45655,31.210278), 上海Shau s studios老洋房民宿@(121.453146,31.214705), 上海罗尼法租界公寓吴兴路店@(121.447994,31.212109), 上海法租界特色民宿@(121.452686,31.209794), 上海源涞国际酒店式公寓阿麦伦店@(121.450754,31.211706)]"
84,宝地广场,19.0,"[上海瀚海明玉大酒店@(121.521604,31.271249), 锦江之星酒店(北外滩店)@(121.522026,31.266219), 上海海烟大酒店@(121.516158,31.264176), 99旅馆(北外滩店)@(121.516944,31.263565), 汉庭酒店(上海大连路店)@(121.513186,31.267937), 零点依精致酒店@(121.519802,31.271902), 上海拾加拾酒店公寓周家嘴路店@(121.521979,31.271885), 上海悦君旅馆@(121.519556,31.272224), 爱华酒店@(121.519029,31.270256), 上海涂料公司招待所@(121.516623,31.264224), 森南酒店@(121.515793,31.265786), 上海宏旭公寓@(121.517601,31.26457), 上海北美广场日租公寓@(121.516944,31.263564), 上海大花园普通公寓@(121.517811,31.27028), 接待中心@(121.520601,31.26922), 海烟大酒店-双喜厅@(121.516343,31.264141), 美瑶白领公寓@(121.51571,31.268754), 金沪酒店@(121.512438,31.271544), 富驿商旅酒店（上海北外滩店）@(121.521651,31.270639)]"
85,建滔企业广场,1.0,"[瑞的公寓（通协路店）@(121.360209,31.233786)]"
86,虹桥世界中心,28.0,"[上海墅家精品民宿@(121.321313,31.176044), 光联公寓@(121.323002,31.17119), 浦江之星酒店@(121.316979,31.176082), 如家派柏云酒店(上海虹桥会展诸光路店)@(121.316979,31.176081), 上海明珠花园普通公寓@(121.316453,31.179847), 上海虹桥别墅@(121.315884,31.17923), 上海雅轩别墅国家会展中心店@(121.315799,31.179755), 上海3加2公寓@(121.314542,31.180059), 自然星连锁酒店公寓（上海虹桥国家会展中心店）@(121.315706,31.179752), 上海康虹花园别墅住宿@(121.321225,31.179838), 上海如梦公寓@(121.314437,31.178568), 上海西区特色民宿虹桥商务区别墅单间店@(121.322858,31.177239), 上海大屋小房庭院小屋公寓@(121.320892,31.178288), 上海东方明珠花园酒店式公寓@(121.315666,31.17972), 上海都市港湾酒店式公寓@(121.314535,31.178265), 上海JHouse农家乐诸光路分店@(121.315701,31.179756), 上海墅家（中国）精品民宿独栋别墅@(121.316206,31.178008), 上海凯宾公寓@(121.314406,31.1781), 上海薇薇小屋住宿@(121.314314,31.178112), 上海vincent的飞行驿站民宿@(121.320125,31.179797), 上海福民招待所@(121.317668,31.17327), 上海明燕之家公寓@(121.314714,31.177756), 上海绿野仙踪公寓@(121.314714,31.177755), 上海北欧公寓G318沪青平公路分店@(121.314762,31.177495), 上海Vincent普通公寓康虹花园店@(121.320808,31.17968), 上海众和一家人联排别墅分店@(121.317967,31.179734), 上海礼拜九公寓@(121.314335,31.178149), 上海西区会展中心高级公寓@(121.321927,31.176294)]"
87,800秀创意园区,36.0,"[汉庭酒店(静安寺店)@(121.44842,31.236337), 莫泰168酒店(昌平路店)@(121.452994,31.242116), f1精品酒店@(121.454146,31.239998), 海友酒店(安远路)@(121.446962,31.244368), 7天酒店(静安寺店)@(121.452365,31.236712), 上海乐途国际青年旅舍(静安店)@(121.448245,31.235601), 上海浦江之星精品酒店@(121.452761,31.244569), 曼之雅主题酒店@(121.450635,31.244263), 尚元君御豪庭服务公寓@(121.45177,31.241264), 如家快捷酒店(昌化路店)@(121.45484,31.241629), 上海喵大侠青旅@(121.45109,31.237399), 泛洋酒店-浴场主楼@(121.449386,31.242495), 上海西第科Cityhom普通公寓武定路分店@(121.450717,31.236801), 上海源涞国际酒店式公寓静安枫景常德路店@(121.452935,31.236422), 上海源涞国际酒店式公寓(静安豪景店)@(121.454351,31.239562), 上海市总工会-休养度假中心@(121.446156,31.241151), 上海泛洋酒店@(121.449348,31.24233), 上海棋.恒民宿@(121.448136,31.238268), 上海第一帆布厂招待所@(121.445596,31.237479), 上海市农林局招待所@(121.445775,31.243069), 上海静安宜家公寓一店@(121.449169,31.240308), 上海恒力招待所@(121.446878,31.235917), 上海静安寺石库门老洋房@(121.447096,31.237729), 优帕克服务式公寓(静安凤凰苑)@(121.448335,31.239866), 康村之星旅馆@(121.454506,31.240005), 上海静安豪景苑日租公寓@(121.454255,31.23851), 上海西第科Cityhome普通公寓昌平路店@(121.450276,31.241595), 上海优帕克服务式公寓（静安枫景店）@(121.452744,31.23679), 上海优帕克五星服务公寓(静安区店)@(121.45375,31.236673), 佳佳阳光自助公寓上海海防路店@(121.451616,31.243928), 优帕克商旅公寓(上海静安国际广场店)@(121.453976,31.23712), 上海西第科Cityhome酒店式公寓西康路店@(121.451311,31.243571), 中国石油化工总公司乌鲁木齐石油化工总厂驻沪联络处招待所@(121.453652,31.240503), 上海桐花里弄老洋房常德路分店@(121.452466,31.236222), 上海第十机床厂招待所@(121.447864,31.239448), 上海家全公寓德安大厦店@(121.449162,31.240385)]"
88,复城国际,32.0,"[上海柏阳君亭酒店@(121.496882,31.293841), 7天连锁酒店(上海大柏树店)@(121.496606,31.294755), 汉庭酒店(大柏树店)@(121.496984,31.295753), 上海云顶之星酒店@(121.492717,31.294976), 上海艾享时尚精品酒店大柏树店@(121.497014,31.295056), 熊家（复旦大学店）@(121.501482,31.300273), 海友良品酒店(上海大柏树店)@(121.493655,31.297754), 魔方公寓(大柏树)@(121.494117,31.296246), 天山宾馆@(121.496948,31.293568), 佰圆宾馆(邯郸路店)@(121.498482,31.298761), 上海酒钢大酒店@(121.495419,31.292444), 英凯大酒店@(121.498117,31.29998), 宇翔宾馆@(121.497023,31.296674), 上海思影旅馆@(121.495791,31.292647), 上海山东省政府驻沪办招待所@(121.497033,31.296415), 友家公寓(邯郸路店)@(121.498397,31.299519), 上海天翔大酒店有限公司@(121.496642,31.291937), 上海平泉客房@(121.49761,31.29733), 上海顶星公寓酒店大柏树地铁站店@(121.492711,31.294991), 复旦大学南校门精装日租公寓@(121.498139,31.299466), 上海沪办大厦招待所@(121.49569,31.296651), 上海友家连锁精品小居@(121.498366,31.299425), 上海jewele普通公寓@(121.502995,31.293169), 上海精致的小屋@(121.497018,31.296103), 山东省人民政府驻上海办事处招待所@(121.497032,31.296185), 益玖公寓@(121.49915,31.299541), 启忠@(121.501427,31.29597), 上海太鸿旅馆@(121.499691,31.298799), 上海海上小喔普通公寓@(121.497785,31.293219), 上海海欢乐旅途民宿@(121.500155,31.299164), 上海五角场复旦财大居家民宿邯郸路分店@(121.500436,31.298719), 上海悦乐假日公寓@(121.49847,31.299444)]"
89,张江国创中心,,
90,莲谷产业园,1.0,"[魔方公寓@(121.440563,31.070151)]"
91,上海合生国际广场,21.0,"[凯悦酒店@(121.525942,31.306193), 蓝天宾馆@(121.52347,31.304296), 汉庭酒店(上海五角场店)@(121.527138,31.300299), 7天连锁酒店(上海五角场万达广场店)@(121.5191,31.300735), 格林豪泰酒店(上海五角场店)@(121.526868,31.304917), 华仁宾馆@(121.52712,31.305257), 雪拉同时尚宾馆(五角场店)@(121.527074,31.302473), 澜悦主题宾馆@(121.524723,31.299561), 金米萝大酒店4楼@(121.524802,31.307345), 上海和芝宾馆@(121.520472,31.299612), 上海阳光青年旅社邯郸路店@(121.518336,31.305338), 富东旅馆@(121.518411,31.300047), 上海豪为U家@(121.525835,31.308349), 上海五角场10号线温馨一居复旦财大最佳选择普通公寓@(121.518033,31.307869), 上海0578精品酒店@(121.526396,31.307876), 怡情旅馆@(121.517852,31.305082), 喜来登(淞沪路店)@(121.523489,31.307003), 爱久久公寓@(121.522482,31.307884), 易佰酒店上海五角场万达广场店@(121.522559,31.308006), 爱玖宾馆@(121.522868,31.307693), 上海医华招待所@(121.524146,31.307812)]"
92,永银大厦,36.0,"[锦江之星酒店(淮海东路店)@(121.488612,31.231655), 如家快捷酒店(上海人民广场金陵东路店)@(121.488264,31.233206), 华美国际酒店@(121.488274,31.228121), 上海新天地安达仕酒店@(121.481997,31.228062), 全季酒店(淮海路店)@(121.488968,31.23131), 爱舍空间主题概念酒店淮海东路店@(121.487932,31.232039), 上海中星君亭酒店@(121.491353,31.233314), 老陕客栈@(121.48652,31.2346), 辉盛庭国际公寓酒店@(121.487184,31.229514), 新黄浦酒店公寓@(121.487975,31.234207), Zhotels智尚酒店@(121.487201,31.233758), 百时快捷酒店(上海淮海东路店)@(121.488647,31.231569), 汇江假日酒店@(121.486686,31.234392), 商悦青年会大酒店@(121.486257,31.233232), 上海九久假日酒店@(121.483397,31.227939), 海上小喔连锁酒店@(121.486897,31.234798), 财路通旅馆(宁海东路)@(121.487912,31.234622), 上海苏州河畔新闸路地铁口观景房普通公寓分店@(121.487729,31.234735), 海上小屋酒店@(121.48699,31.234848), 上海宏泉艾瑞精品酒店@(121.488435,31.233396), 汇泾假日酒店@(121.490579,31.23249), 海上星喔连锁酒店@(121.488062,31.233672), 巴卡拉济南路8号-东楼@(121.484767,31.227663), 上海小水瓶之家酒店式公寓@(121.49016,31.234478), 宝翠旅社@(121.489496,31.234298), 上海MiMiGin复式人民路店@(121.491966,31.232958), 晟曜行服务式公寓(淮海晶华苑店)@(121.485917,31.230037), 上海市西第科Cityhome普通公寓人民路分店@(121.492299,31.233271), 上海优帕克服务式公寓黄浦众鑫城店@(121.48919,31.225871), 九九假日酒店@(121.483522,31.227831), 上海橼邸住宿@(121.490158,31.225624), 上海老城隍庙饮食经营服务公司招待所@(121.491923,31.230966), 上海西第科Cityhom普通公寓人民路分店@(121.492299,31.233271), 上海松雪居普通公寓西藏南路分店@(121.489082,31.225735), 上海丽缘居住宿@(121.490153,31.225615), 上海Locals路客普通公寓大境路店@(121.490158,31.225624)]"
93,阿里中心,17.0,"[上海舜邦精品酒店@(121.331811,31.227829), 上海翠廷酒店(虹桥枢纽火车站店)@(121.33716,31.232803), 易佰酒店上海虹桥枢纽店@(121.339731,31.229393), 上海宁泰连锁酒店虹桥店@(121.333108,31.23276), 格林联盟上海虹桥枢纽七莘路酒店@(121.339611,31.229452), 上海心醉之夜精品酒店@(121.331646,31.227873), 上海葡萄酒品鉴中心@(121.332302,31.228027), 金广快捷酒店虹桥枢纽七莘路店@(121.334356,31.223912), 东美旅馆@(121.340387,31.228885), 颖上商会酒店@(121.333374,31.23255), 上海红梅旅社@(121.332166,31.228973), 灿发公寓@(121.335014,31.223973), 宿适轻奢酒店（上海虹桥机场店）@(121.332614,31.228048), 上海农业科学院华苑宾馆@(121.331699,31.22805), 易佰酒店(上海虹许广场国家会展中心店)@(121.339729,31.229397), 连升宾馆@(121.339295,31.229248), 上海温馨之家公寓北翟路分店@(121.339374,31.231791)]"
94,久合科技园,4.0,"[汉庭酒店(上海市北工业园区店)@(121.446639,31.298123), 大宁858国际公寓@(121.448695,31.290131), 海友酒店(永和路)@(121.44866,31.294337), 上海盛政公寓酒店永和路店@(121.452172,31.294553)]"
95,嘉里中心,85.0,"[静安香格里拉大酒店@(121.456842,31.229389), 延安饭店@(121.45457,31.226956), 上海宏安瑞士大酒店@(121.453482,31.231181), 璞丽酒店@(121.454805,31.228691), 禧睿酒店@(121.461196,31.23494), 上海金鹰全套房酒店公寓@(121.461469,31.234992), 上海铂睿全套房酒店@(121.461033,31.235013), 天悦宾馆@(121.461301,31.229743), 贝轩大公馆@(121.456802,31.234666), 莫泰酒店(襄阳北路店)@(121.460952,31.226854), 上海天华酒店公寓@(121.461185,31.234894), 上海太平洋酒店公寓@(121.461087,31.234981), 爱维斯酒店公寓(上海南京西路店)@(121.461338,31.234921), 上海金影国际全套房酒店@(121.461078,31.234904), 上海忆昔徐志摩故居住宿@(121.459525,31.228277), 嘉里公寓@(121.456889,31.230298), 上海锦沧文华大酒店@(121.459955,31.232993), 上海静庭时尚民宿金鹰店@(121.461362,31.234654), 上海纽斯曼全套房酒店公寓@(121.461316,31.234855), 上海ZSunshine民宿@(121.459328,31.228828), 上海茶园酒店式公寓(南京西路店)@(121.460966,31.23498), 上海大露台老洋房@(121.460602,31.227545), 上海商城酒店式服务公寓@(121.457821,31.232808), 上海金凯悦酒店式公寓@(121.461136,31.234947), 上海徒者民宿巨鹿店@(121.461438,31.227637), 上海法租界洋房住宿@(121.452663,31.225852), 上海静安艺术公寓@(121.461211,31.230662), 上海忆昔鸟语花香民宿@(121.456378,31.233711), 上海嗯哼酱民宿@(121.461175,31.227308), 上海巨鹿欣格居服务公寓@(121.458868,31.226814), 上海悠存民宿@(121.460105,31.227771), 上海A家酒店公寓@(121.461406,31.234523), E短租公寓(南京西路二店)@(121.461694,31.233949), 后窗日租公寓（上海延安中路店）@(121.460211,31.229484), 上海出版印刷有限公司招待所@(121.453348,31.234653), 上海巨鹿路浪漫蝴蝶屋@(121.461481,31.22669), 上海方知有绿野老洋房@(121.459259,31.229059), 上海静安寺老洋房Loft三房一厅带花园小院子复式@(121.458137,31.2276), 上海斑斓·家普通公寓富民路店@(121.45616,31.227472), 上海明东大酒店@(121.454382,31.233155), 上海忆昔雅雀住宿@(121.453917,31.227036), 上海文艺花园复式分店@(121.459261,31.229057), 上海南京西路loft时尚家庭套房复式分店@(121.456241,31.234362), 上海梓舍公寓淮海路店@(121.461688,31.228481), 上海丹诺酒店@(121.453474,31.231606), 上海Luca普通公寓延安中路955弄分店@(121.45841,31.227996), 上海怡丰招待所@(121.451778,31.231785), 上海ZSunshine老洋房延安中路分店@(121.459328,31.228829), 锦沧文华大酒店-金酒吧@(121.460549,31.233234), 上海繁华公寓南京西路店@(121.460287,31.232335)]"
96,星联研发楼,13.0,"[漕河泾万丽酒店@(121.403622,31.171166), 上海新园华美达广场酒店@(121.412155,31.169665), 上海宿适精选酒店(漕河泾开发区店)@(121.406091,31.166319), 浦江精选酒店@(121.405829,31.166162), 上海艾尚主题酒店@(121.406978,31.1667), 艾尚精选酒店@(121.40507,31.166117), 上海浦江之星酒店(古美店)@(121.405881,31.165968), 上海华美达广场新园酒店b楼@(121.412858,31.169886), 东北情农家院@(121.406256,31.164818), RAMADA PLAZA@(121.413061,31.170178), 上海爱伦海宾馆@(121.40581,31.166239), 上海聚安宾馆@(121.412774,31.167682), 上海新谷酒店@(121.41187,31.16973)]"
97,静安设计中心,53.0,"[上海国际贵都大饭店@(121.451144,31.226357), 上海日航饭店@(121.443566,31.22404), 上海静安寺和颐酒店@(121.442716,31.233043), 浦江精选酒店(上海南京西路店)@(121.449849,31.22822), 全季酒店(静安寺中心店)@(121.448916,31.231682), 上海静安宾馆@(121.451488,31.225274), 海友酒店(上海静安寺店)@(121.44892,31.231659), 几木筱筑酒店@(121.447971,31.232685), 百乐门·联艺精品酒店@(121.451147,31.228907), 上海地平线世纪时空酒店公寓@(121.449166,31.228884), 上海美丽园龙都大酒店-会议厅@(121.444083,31.224845), 国际丽都公馆酒店公寓@(121.449553,31.229597), 上海斑斓·家老洋房酒店静安寺店@(121.448152,31.229267), 汉庭酒店(静安寺二店)@(121.449689,31.231613), 曼福楼宾馆乌北店@(121.447211,31.230788), 上海世纪时空宜家酒店公寓（静安寺店）@(121.44786,31.230226), 上海兮若家老洋房@(121.450177,31.224299), 静宾新楼@(121.450457,31.22568), 上海御品世纪时空酒店式公寓@(121.449084,31.228984), 上海宾馆-嘉会堂@(121.450504,31.22444), 上海好家服务公寓乌鲁木齐北路分店@(121.449143,31.228857), 上海浪漫小院特色民宿@(121.446636,31.231658), 上海老弄堂xzy普通公寓分店@(121.442164,31.226023), 上海斑斓家民宿老里弄万航渡路店@(121.443306,31.231698), 静安宾馆-哥伦布厅@(121.451465,31.225267), N2house民宿（上海静安寺店）@(121.449152,31.228829), 心安即是家酒店式公寓(上海世纪时空一店)@(121.44914,31.228867), 上海静安居洋房民宿@(121.448952,31.224278), 上海屋桐住宿静安寺愚园坊店@(121.446011,31.227935), 上海国内连锁公寓@(121.447749,31.231772), 云峰大饭店-北楼@(121.449303,31.232909), 上海祥安阁公寓静安寺店@(121.450788,31.229928), 上海斑斓·家公寓@(121.442934,31.228165), 上海温迪的家普通公寓乌鲁木齐北路分店@(121.450485,31.224591), 天际线 - 世联服务公寓@(121.448881,31.229735), 上海斑斓家别墅乌鲁木齐北路分店@(121.449575,31.224682), 上海老弄堂xzy复式乌鲁木齐北路468弄分店@(121.449305,31.22412), 上海龙珠园酒店公寓@(121.444653,31.224442), 上海怡丰招待所@(121.451778,31.231785), 上海欣格居复式愚园路分店@(121.444468,31.22768), 梦想de房子（上海静安寺店）@(121.450975,31.232841), 全丰服务式公寓及商务办公室@(121.443763,31.225405), 上海法租界几间普通公寓@(121.450053,31.230409), 上海市Ann-sweet-home普通公寓乌鲁木齐北路分店@(121.447494,31.230911), 上海今寓-分散式酒店公寓愚园路分店@(121.446145,31.228589), 上海Ann-sweet-hom普通公寓乌鲁木齐北路分店@(121.447494,31.230911), 上海Joan s home普通公寓愚园路店@(121.45084,31.229976), 上海广州木西民宿愚园路分店@(121.44543,31.228813), 上海小小民宿@(121.448521,31.226444), 上海LexLin普通公寓万航渡路分店@(121.446831,31.231655)]"
98,帝宝国际大厦,9.0,"[帝璟丽致大酒店@(121.379118,31.175255), 汉庭酒店(吴中路新店)@(121.376468,31.180914), 吉祥酒店@(121.382573,31.176343), 新东苑国际酒店式公寓@(121.379687,31.174692), 银廷悦莱酒店@(121.382054,31.176832), 上海易佰良品酒店(井亭天地店)@(121.380065,31.175874), 希想精品酒店（虹桥店）@(121.381707,31.177489), 景上境服务式公寓@(121.375359,31.177972), 上海中和旅馆虹泉店@(121.381678,31.17601)]"
