,name,hotel,hospital,mall,park1500,store,underground,rent
82,上海传奇商业广场,1.0,0.0,0.0,0.0,0.0,0.0,4.36
83,凯科国际大厦,3.0,1.0,0.0,1.0,9.0,1.0,5.07
84,上海世茂大厦,13.0,2.0,6.0,10.0,18.0,1.0,8.11
85,漕河泾浦江科技广场,0.0,0.0,2.0,1.0,2.0,1.0,2.84
86,金博尚品,2.0,0.0,0.0,20.0,11.0,0.0,4.06
87,越界明园,81.0,4.0,0.0,12.0,28.0,1.0,4.06
88,屹源产业园,13.0,0.0,3.0,2.0,23.0,0.0,1.83
89,智苑文创空间,19.0,0.0,0.0,3.0,14.0,0.0,3.49
90,上海华电大厦,1.0,0.0,0.0,0.0,0.0,0.0,6.08
91,雅居乐国际广场,180.0,4.0,10.0,11.0,58.0,2.0,3.33
92,800秀创意园区,63.0,2.0,2.0,5.0,0.0,1.0,6.08
93,华融大厦,63.0,6.0,13.0,5.0,0.0,1.0,5.07
94,悦达国际大厦,55.0,5.0,8.0,3.0,21.0,3.0,3.85
95,沧源科技园,4.0,1.0,0.0,1.0,4.0,0.0,1.62
96,瑞金大厦,189.0,19.0,5.0,12.0,39.0,1.0,6.26
97,全方位数码城,12.0,3.0,1.0,1.0,0.0,1.0,1.72
98,D1国际创意空间,29.0,4.0,1.0,2.0,12.0,2.0,4.06
99,新业大楼,2.0,1.0,0.0,3.0,8.0,1.0,3.55
100,东方金融广场,37.0,1.0,3.0,4.0,18.0,0.0,7.61
101,优房商务中心,7.0,0.0,0.0,2.0,5.0,1.0,2.23
102,华敏翰尊国际商务大厦,24.0,4.0,0.0,4.0,13.0,0.0,4.87
103,北上海创意港,3.0,0.0,0.0,0.0,4.0,1.0,1.83
104,万科时一区,10.0,2.0,0.0,0.0,4.0,0.0,3.65
105,东华大学科技园,8.0,0.0,4.0,2.0,12.0,1.0,3.5
106,燕兴大厦,56.0,6.0,3.0,3.0,18.0,1.0,2.84
107,明园商务中心,229.0,15.0,0.0,19.0,36.0,1.0,4.15
108,SOHO天山广场,38.0,0.0,7.0,8.0,33.0,1.0,6.08
109,灿虹精英大厦,25.0,3.0,1.0,1.0,16.0,0.0,3.04
110,众城大厦,55.0,9.0,3.0,4.0,0.0,1.0,4.06
111,长峰名光大厦,72.0,6.0,12.0,10.0,33.0,0.0,2.64
112,大来大楼,92.0,3.0,6.0,5.0,34.0,0.0,7.79
113,尚凯商务大厦,13.0,1.0,2.0,5.0,22.0,1.0,3.55
114,海德堡中心,1.0,0.0,0.0,0.0,0.0,0.0,4.06
115,东华金融大厦,15.0,0.0,0.0,0.0,7.0,1.0,1.72
116,和平国际商务港,23.0,0.0,2.0,1.0,7.0,0.0,4.22
117,解放日报大厦（闵行）,0.0,0.0,5.0,4.0,13.0,0.0,4.26
