,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,floors_hz,surface_hz,floor_height_hz
651,华拓大厦,3,5.0,20.0,2.41,9.0,1.0,2.0,3.0,14.0,0.0,6,20.0,51367.0,4.7
652,福建天安大厦,3,20.0,28.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,1,28.0,42067.0,3.4
653,武夷商务中心,2,13.0,9.0,4.0,17.0,4.0,11.0,10.0,34.0,0.0,6,,9366.0,
654,盛邦国际大厦,3,9.0,33.0,6.69,15.0,12.0,16.0,9.0,32.0,1.0,7,33.0,56278.0,3.9
655,莲花大厦,2,14.0,18.0,4.11,11.0,0.0,0.0,5.0,9.0,1.0,5,18.0,18000.0,3.6
656,漕河泾开发区智汇园南区,1,15.0,6.0,3.84,6.0,1.0,0.0,1.0,7.0,0.0,5,6.0,120000.0,3.0
657,丽晶阳光大厦,2,12.0,26.0,3.75,35.0,2.0,4.0,5.0,22.0,3.0,7,26.0,35000.0,3.2
658,旭辉虹桥国际,3,7.0,6.0,4.97,2.0,1.0,3.0,1.0,9.0,0.0,6,6.0,64707.0,5.0
659,宝虹中心,3,8.0,9.0,3.2,8.0,0.0,0.0,2.0,2.0,2.0,5,9.0,21093.0,3.7
660,杨浦商城,3,21.0,28.0,5.04,25.0,14.0,5.0,7.0,35.0,1.0,7,28.0,56000.0,3.5
661,华虹科技园,3,14.0,5.0,4.3,4.0,0.0,0.0,0.0,5.0,0.0,3,5.0,26000.0,
662,虹桥国际商务广场,3,6.0,16.0,6.71,3.0,1.0,3.0,1.0,5.0,2.0,7,16.0,37293.0,3.5
663,金光外滩中心,3,16.0,50.0,10.16,29.0,13.0,25.0,12.0,69.0,2.0,7,50.0,190000.0,3.0
664,梓坤科技园,3,,,1.86,3.0,0.0,0.0,4.0,1.0,0.0,4,15.0,40000.0,
665,徐汇万科中心,3,,,6.0,10.0,0.0,1.0,6.0,10.0,1.0,6,22.0,700000.0,4.2
666,新汇园,2,,11.0,3.95,2.0,1.0,0.0,1.0,5.0,0.0,5,11.0,,3.0
667,汤米创意园,3,1.0,4.0,4.63,23.0,2.0,2.0,9.0,17.0,1.0,7,,,
668,创意大厦,2,12.0,8.0,3.6,19.0,1.0,0.0,3.0,23.0,0.0,5,8.0,10000.0,3.8
669,海泰大厦,3,9.0,,4.3,63.0,12.0,14.0,10.0,70.0,1.0,7,,,
670,星汇大厦,3,,,2.66,12.0,0.0,0.0,1.0,5.0,0.0,4,,,3.8
